cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.1483980359147,116.993070496633,323.0,423.0,2.2642676767676835,1.7708333333333452,78.99848484848509,33.333333333333336,3
1,-32.153114962121215,116.99048819444445,463.0,547.0,1.5725524475524462,1.5725524475524462,66.05594405594398,42.0,2
2,-32.15444194444444,116.98891194444445,547.0,647.0,1.6761145104895054,1.6761145104895054,81.73653846153826,50.0,2
3,-32.156201060606065,116.98539174242424,647.0,723.0,2.331060606060616,2.331060606060616,87.56363636363675,38.0,2
4,-32.1593783001258,116.98306738529989,723.0,991.0,1.936163241520376,1.7159090909090846,72.11748727462985,38.285714285714285,7
5,-32.15405368881118,116.99608797494173,1075.0,1239.0,2.1661963036963137,2.3022727272727295,87.35924075924117,41.0,4
6,-31.908428101851854,117.02280046296296,2098.0,2194.0,2.83281024531025,2.8121212121212107,90.31212121212134,32.0,3
7,-31.90721849747475,117.01809974747474,2226.0,2310.0,2.3473776223776164,2.3473776223776164,99.4755244755242,42.0,2
8,-31.57544146825397,117.08237757936507,3346.0,3390.0,1.9330357142856975,1.9330357142856975,42.249999999999666,22.0,2
9,-31.57375231481482,117.08087962962962,3390.0,3458.0,3.418371212121184,3.418371212121184,117.96969696969606,34.0,2
10,-31.545296190476193,117.07952095238095,3682.0,3742.0,4.704220779220828,4.704220779220828,145.13766233766356,30.0,2
11,-31.544033101851856,117.07794907407407,3742.0,3818.0,4.066025641025596,4.066025641025596,153.30512820512652,38.0,2
12,-31.22939015151515,117.13520071969697,5234.0,5430.0,4.203219696969704,4.1200757575757585,155.5590909090912,37.0,4
13,-31.229843939393938,117.12982518939396,5474.0,5558.0,3.868006993006982,3.868006993006982,161.21503496503448,42.0,2
14,-31.337123280423288,117.22325298941799,5982.0,6230.0,3.0399558774558915,3.3257575757576174,110.09182484182513,35.42857142857143,7
15,-31.528400864197533,117.51012518518519,7226.0,7326.0,4.853156565656571,4.763636363636362,161.6525252525254,33.333333333333336,3
16,-31.86146553030303,118.08218208333332,9002.0,9154.0,3.339393939393946,3.303787878787876,126.23181818181843,38.0,4
17,-32.21104668911335,118.27665775533109,10703.0,10811.0,2.527525252525219,2.4666666666666712,89.87878787878675,36.0,3
18,-32.37642873809524,117.81567253174603,12023.0,12203.0,2.4000965700965513,2.3590909090909205,83.50831168831103,36.0,5
19,-32.49773315972222,117.55501666666667,13255.0,13379.0,3.0178571428571423,3.0148809523809437,93.41666666666661,31.0,4
20,-32.57958960016835,117.33737847643097,14019.0,14179.0,2.1761471861472064,1.954545454545499,70.74969696969762,32.0,5
21,-32.7311609375,116.93147488425926,15143.0,15267.0,2.43154761904761,2.4860119047619076,75.5624999999997,31.0,4
22,-32.72593541666667,116.92033325231482,15371.0,15643.0,2.141037087912085,2.1590909090909216,72.48358100233088,34.0,8
23,-32.763604828042325,116.91351728174602,15787.0,15911.0,3.400121753246739,3.394940476190464,103.95140692640648,31.0,4
