lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.655169914000048,117.30817558880003,4.4,110.0,25.0,4,5,-31.65533649466676,117.30809651093338,-31.655003333333333,117.30825466666667,39.95611310778211,25.0,1.0
-31.706379252252518,117.38389727967095,3.272727272727273,72.0,22.0,6,7,-31.706140388563004,117.3839358636897,-31.706618115942028,117.3838586956522,53.62018744676633,22.0,1.0
-31.518670123080398,117.1129744568654,2.7857142857142856,78.0,28.0,9,13,-31.51866061653117,117.1124952100271,-31.518679629629624,117.1134537037037,90.88064553799508,8.0,0.2857142857142857
-31.400171182868995,117.04863293545009,4.206896551724138,122.0,29.0,10,16,-31.399881254626884,117.04885142645574,-31.40046111111111,117.04841444444445,76.66429843813286,29.0,1.0
-31.28445401108609,116.96759482948681,2.78,139.0,50.0,11,20,-31.284213250930357,116.9676158027645,-31.284694771241828,116.96757385620914,53.69085909561161,42.0,0.84
-31.037493811022145,116.77556575626423,2.909090909090909,64.0,22.0,12,25,-31.037202114797914,116.77494238209367,-31.03778550724638,116.7761891304348,135.3435519416379,22.0,1.0
-30.90435949413564,116.61735652775917,4.444444444444445,120.0,27.0,13,27,-30.904445178747473,116.61567257932785,-30.90427380952381,116.61904047619048,321.88967077181337,27.0,1.0
-30.95439854212055,116.87864993023136,2.730769230769231,71.0,26.0,15,33,-30.954490294117647,116.8788412184874,-30.954306790123454,116.87845864197533,41.800473494338014,26.0,1.0
-30.950632457158456,116.87675547924222,4.041666666666667,97.0,24.0,16,36,-30.950940247650248,116.87650362515112,-30.950324666666667,116.87700733333332,83.62220953204357,24.0,1.0
-31.079959817051822,117.52487043942577,3.1315789473684212,119.0,38.0,19,44,-31.079856398809522,117.52489136904762,-31.08006323529412,117.52484950980391,23.342115101600726,33.0,0.868421052631579
-31.180399834142182,118.10405063957613,2.8,56.0,20.0,20,52,-31.180821890506586,118.1028695331205,-31.17997777777778,118.10523174603176,243.53626625727284,20.0,1.0
-31.277205201925987,118.48567434226672,2.64,132.0,50.0,21,57,-31.27722739731602,118.48564149499094,-31.277183006535953,118.4857071895425,7.958811954255947,45.0,0.9
-31.419905281586317,118.3933223567497,2.95,59.0,20.0,22,63,-31.419381991744068,118.39288836429307,-31.42042857142857,118.39375634920634,142.5720142944459,20.0,1.0
-31.511142979037313,118.16283620028534,4.551724137931035,132.0,29.0,24,66,-31.511247624741298,118.16247406723733,-31.511038333333328,118.16319833333334,72.49591915248249,29.0,1.0
-31.588046422871244,117.81429329891108,4.202702702702703,311.0,74.0,25,70,-31.58820817907582,117.81435659782213,-31.587884666666664,117.81423000000002,37.91896957822267,74.0,1.0
