cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.6279,117.18741666666666,172.0,200.0,1.25,35.0,28.0
1,-31.62995,117.20358958333333,228.0,256.0,1.5357142857142858,43.0,28.0
2,-31.631398148148143,117.20764444444444,288.0,320.0,1.5,48.0,32.0
3,-31.632985185185184,117.21103703703703,352.0,384.0,1.875,60.0,32.0
4,-31.63337619047619,117.21285,388.0,412.0,1.7083333333333333,41.0,24.0
5,-31.636930555555555,117.21554166666668,468.0,488.0,2.65,53.0,20.0
6,-31.6377537037037,117.2182351851852,500.0,532.0,1.4375,46.0,32.0
7,-31.640820833333333,117.21960000000001,552.0,580.0,1.5,42.0,28.0
8,-31.64163095238095,117.22173571428571,592.0,616.0,1.5,36.0,24.0
9,-31.637855555555557,117.21972777777778,772.0,792.0,1.85,37.0,20.0
10,-31.637251388888888,117.22089166666666,796.0,840.0,2.0454545454545454,90.0,44.0
11,-31.638095238095236,117.22106190476191,844.0,868.0,3.125,75.0,24.0
12,-31.639175,117.22191833333333,872.0,908.0,2.75,99.0,36.0
13,-31.640881034482756,117.22464942528737,912.0,1024.0,2.5892857142857144,290.0,112.0
14,-31.642102083333334,117.22813541666667,1032.0,1060.0,3.357142857142857,94.0,28.0
15,-31.643158823529408,117.22908529411765,1064.0,1128.0,2.84375,182.0,64.0
16,-31.64490606060606,117.22987575757575,1132.0,1172.0,2.625,105.0,40.0
17,-31.648725000000002,117.23551833333332,1236.0,1256.0,2.1,42.0,20.0
18,-31.588301851851853,117.23272222222221,1900.0,1932.0,1.65625,53.0,32.0
19,-31.587795333333332,117.23669466666666,1936.0,2032.0,2.125,204.0,96.0
20,-31.588295238095238,117.23959047619046,2048.0,2072.0,2.75,66.0,24.0
21,-31.589895833333333,117.24072916666667,2092.0,2120.0,2.7142857142857144,76.0,28.0
22,-31.590158333333335,117.24168888888887,2148.0,2168.0,3.25,65.0,20.0
23,-31.63948888888889,117.2320037037037,2464.0,2496.0,1.46875,47.0,32.0
24,-31.927625925925927,117.51414074074074,3429.0,3461.0,2.0625,66.0,32.0
25,-31.92977916666667,117.51669895833334,3465.0,3525.0,2.3833333333333333,143.0,60.0
26,-31.93232111111111,117.51973444444444,3529.0,3585.0,3.1785714285714284,178.0,56.0
27,-31.933799999999998,117.52197142857142,3589.0,3613.0,3.375,81.0,24.0
28,-31.933790476190474,117.52333809523809,3617.0,3641.0,2.5833333333333335,62.0,24.0
29,-31.935066666666668,117.52417083333333,3645.0,3673.0,2.7142857142857144,76.0,28.0
30,-31.93547037037037,117.52609074074076,3677.0,3709.0,2.09375,67.0,32.0
31,-31.948166666666665,117.52808333333333,3801.0,3821.0,2.75,55.0,20.0
32,-31.9558380952381,117.53195238095238,3853.0,3877.0,2.1666666666666665,52.0,24.0
33,-32.027899999999995,117.56807619047619,4025.0,4049.0,5.75,138.0,24.0
34,-32.02855,117.57298055555556,4093.0,4113.0,2.8,56.0,20.0
35,-32.04298095238095,117.5824619047619,4161.0,4185.0,1.2916666666666667,31.0,24.0
36,-32.04439285714286,117.58996428571429,4225.0,4249.0,3.4583333333333335,83.0,24.0
37,-32.04275714285715,117.59248333333333,4305.0,4329.0,4.0,96.0,24.0
38,-32.04348541666667,117.59344583333333,4337.0,4365.0,3.75,105.0,28.0
39,-32.04611944444444,117.59508055555557,4373.0,4393.0,3.5,70.0,20.0
40,-32.04805972222223,117.59573055555556,4405.0,4449.0,3.25,143.0,44.0
41,-32.11293958333333,117.66401666666667,4669.0,4697.0,3.4285714285714284,96.0,28.0
42,-32.12167222222222,117.67195833333334,4809.0,4829.0,4.45,89.0,20.0
43,-32.12277727272727,117.67294242424242,4833.0,4873.0,2.4,96.0,40.0
44,-32.124327604166666,117.6761546875,4883.0,4923.0,1.825,73.0,40.0
45,-32.139926190476196,117.6820142857143,4971.0,4995.0,3.2916666666666665,79.0,24.0
46,-32.32235625,117.84179791666668,5395.0,5423.0,3.2142857142857144,90.0,28.0
47,-32.32584259259259,117.84384814814815,5431.0,5463.0,2.25,72.0,32.0
48,-32.33414761904762,117.84960714285714,5467.0,5491.0,3.625,87.0,24.0
49,-32.33658333333334,117.85155416666666,5495.0,5555.0,2.75,165.0,60.0
50,-32.34087041666667,117.85393708333334,5559.0,5715.0,3.08974358974359,482.0,156.0
51,-32.34436041666667,117.8576875,5719.0,5747.0,3.4285714285714284,96.0,28.0
52,-32.34637333333334,117.85935333333332,5751.0,5787.0,3.0277777777777777,109.0,36.0
53,-32.35116597222222,117.90259930555555,5859.0,5951.0,3.369565217391304,310.0,92.0
54,-32.39565,117.95169814814815,6055.0,6087.0,5.53125,177.0,32.0
55,-32.398488888888885,117.95247962962964,6095.0,6127.0,3.59375,115.0,32.0
56,-32.39812638888889,117.95637222222224,6135.0,6179.0,3.159090909090909,139.0,44.0
57,-32.481855555555555,118.01353888888889,6339.0,6359.0,2.3,46.0,20.0
58,-32.52261904761905,118.03419999999998,6419.0,6443.0,2.0833333333333335,50.0,24.0
59,-32.544805555555556,118.04168333333332,6467.0,6487.0,6.4,128.0,20.0
60,-32.5464619047619,118.0424857142857,6495.0,6519.0,2.2916666666666665,55.0,24.0
61,-32.55733518518519,118.04777777777775,6531.0,6563.0,2.46875,79.0,32.0
62,-32.624966666666666,117.92880909090913,6835.0,6875.0,2.275,91.0,40.0
63,-32.63122857142857,117.91288968253966,6879.0,6959.0,2.55,204.0,80.0
64,-32.65211851851851,117.8806537037037,7023.0,7055.0,3.5,112.0,32.0
65,-32.68900714285714,117.76962619047619,7231.0,7255.0,2.7916666666666665,67.0,24.0
66,-32.7027375,117.72984791666667,7311.0,7339.0,1.9285714285714286,54.0,28.0
67,-32.721805833333335,117.68371333333332,7403.0,7479.0,3.5526315789473686,270.0,76.0
68,-32.72188205128205,117.67619487179488,7487.0,7535.0,3.6458333333333335,175.0,48.0
69,-32.72266875,117.67638958333333,7539.0,7567.0,3.9285714285714284,110.0,28.0
70,-32.723058333333334,117.67631458333334,7571.0,7599.0,4.178571428571429,117.0,28.0
71,-32.72391785714286,117.67579642857142,7603.0,7655.0,3.673076923076923,191.0,52.0
72,-32.726418018018016,117.67763873873874,7659.0,7803.0,3.5347222222222223,509.0,144.0
73,-32.794571875,117.57611458333334,8003.0,8063.0,3.1,186.0,60.0
74,-32.81121666666666,117.54166111111111,8111.0,8131.0,4.7,94.0,20.0
75,-32.831691666666664,117.45951180555556,8265.0,8300.0,3.7142857142857144,130.0,35.0
76,-32.83464814814815,117.45441851851852,8308.0,8340.0,2.4375,78.0,32.0
77,-32.83342142857143,117.45633571428571,8348.0,8372.0,2.25,54.0,24.0
78,-32.849445833333334,117.39956666666667,8484.0,8512.0,1.4285714285714286,40.0,28.0
79,-32.86469583333333,117.35125208333334,8596.0,8624.0,6.321428571428571,177.0,28.0
80,-32.863180303030305,117.3471606060606,8664.0,8704.0,3.075,123.0,40.0
81,-32.86434722222222,117.3487888888889,8720.0,8740.0,4.2,84.0,20.0
82,-32.87301666666667,117.29686999999997,8824.0,8880.0,2.2857142857142856,128.0,56.0
83,-32.89798787878788,117.19037575757578,9028.0,9068.0,3.05,122.0,40.0
84,-32.899525,117.15530333333331,9108.0,9144.0,5.611111111111111,202.0,36.0
85,-32.89857028985507,117.15497536231882,9156.0,9244.0,3.1136363636363638,274.0,88.0
86,-32.89762142857143,117.1548238095238,9264.0,9316.0,2.2884615384615383,119.0,52.0
87,-32.90590714285714,117.10520952380952,9392.0,9416.0,5.0,120.0,24.0
88,-32.934404166666674,116.86639166666667,9836.0,9880.0,3.5,154.0,44.0
89,-32.935516666666665,116.8651238095238,9884.0,9908.0,2.7083333333333335,65.0,24.0
90,-32.9347,116.86394166666668,9912.0,9932.0,4.55,91.0,20.0
91,-32.93429880952381,116.86408690476192,9936.0,9988.0,3.3846153846153846,176.0,52.0
92,-32.934527777777774,116.86387222222221,10004.0,10024.0,3.1,62.0,20.0
93,-32.93463125,116.86395833333334,10028.0,10056.0,3.142857142857143,88.0,28.0
94,-32.93420833333333,116.86312708333332,10064.0,10092.0,2.4642857142857144,69.0,28.0
95,-32.93176666666666,116.86304791666667,10152.0,10180.0,1.75,49.0,28.0
96,-32.8982858974359,116.78921538461537,10388.0,10436.0,4.354166666666667,209.0,48.0
97,-32.89292380952381,116.79480714285714,10460.0,10484.0,3.1666666666666665,76.0,24.0
98,-32.80864523809524,116.8332095238095,10648.0,10672.0,2.0,48.0,24.0
99,-32.76144861111111,116.83422083333333,10732.0,10776.0,3.0454545454545454,134.0,44.0
100,-32.75111666666667,116.82910277777778,10780.0,10800.0,2.7,54.0,20.0
101,-32.696425,116.85071041666666,10936.0,10964.0,2.2857142857142856,64.0,28.0
102,-32.424283333333335,117.06413888888889,11788.0,11820.0,2.6875,86.0,32.0
103,-32.42291944444444,117.06797777777776,11832.0,11852.0,1.55,31.0,20.0
104,-32.40644242424242,117.07746818181816,11920.0,11960.0,2.35,94.0,40.0
105,-32.40625,117.08110625,11988.0,12016.0,1.8214285714285714,51.0,28.0
106,-32.40555555555556,117.08322777777778,12020.0,12040.0,2.15,43.0,20.0
107,-32.406586363636364,117.08850833333332,12064.0,12148.0,1.4404761904761905,121.0,84.0
108,-32.37829027777778,117.10337499999999,12208.0,12252.0,3.3863636363636362,149.0,44.0
109,-32.3768625,117.10668333333334,12280.0,12308.0,1.8571428571428572,52.0,28.0
110,-32.37618125,117.10845208333333,12316.0,12344.0,2.0714285714285716,58.0,28.0
111,-32.377079629629634,117.1098648148148,12348.0,12380.0,1.78125,57.0,32.0
112,-32.377694444444444,117.11141111111111,12384.0,12416.0,1.375,44.0,32.0
113,-32.37798888888889,117.11261111111112,12420.0,12440.0,2.0,40.0,20.0
114,-32.379891666666666,117.11796944444444,12452.0,12472.0,1.65,33.0,20.0
115,-32.37812878787879,117.12175757575757,12476.0,12516.0,2.625,105.0,40.0
116,-32.38000784313725,117.12290294117646,12520.0,12584.0,3.09375,198.0,64.0
117,-32.382246428571435,117.12572619047619,12604.0,12656.0,2.7115384615384617,141.0,52.0
118,-32.383855555555556,117.1282388888889,12668.0,12700.0,2.40625,77.0,32.0
119,-32.38039047619048,117.13241904761902,12708.0,12732.0,2.4166666666666665,58.0,24.0
120,-32.37342291666667,117.13171041666666,12776.0,12804.0,5.571428571428571,156.0,28.0
121,-32.373703703703704,117.13223333333333,12808.0,12840.0,3.28125,105.0,32.0
122,-32.373606249999995,117.13340416666668,12844.0,12872.0,3.9285714285714284,110.0,28.0
123,-32.3740125,117.133875,12876.0,12904.0,3.392857142857143,95.0,28.0
124,-32.373804166666666,117.13482708333333,12916.0,12944.0,3.2142857142857144,90.0,28.0
