lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.64009920304233,117.22134752594629,1.5,36.0,24.0,0,8,-31.638567453703708,117.22095933760686,-31.64163095238095,117.22173571428571,348.4846273247933,24.0,1.0
-31.640616113053614,117.22418067016318,2.75,99.0,36.0,1,12,-31.642057226107227,117.22644300699301,-31.639175,117.22191833333333,534.9620456827043,36.0,1.0
-31.642966267825308,117.2289917379679,2.84375,182.0,64.0,2,15,-31.642773712121212,117.22889818181817,-31.643158823529408,117.22908529411765,46.34123494006481,56.0,0.875
-31.587813529137527,117.23702106876456,2.125,204.0,96.0,3,19,-31.587831724941726,117.23734747086246,-31.587795333333332,117.23669466666666,61.966034621400986,92.0,0.9583333333333334
-31.589412735042735,117.24143643162392,3.25,65.0,20.0,4,22,-31.588667136752136,117.24118397435896,-31.590158333333335,117.24168888888887,172.57289068643058,20.0,1.0
-32.33655375,117.85161416666665,2.75,165.0,60.0,5,49,-32.33652416666666,117.85167416666665,-32.33658333333334,117.85155416666666,13.053339129761657,60.0,1.0
-32.724075566077445,117.6766809301347,4.178571428571429,117.0,28.0,6,70,-32.72509279882156,117.67704727693604,-32.723058333333334,117.67631458333334,236.3779018305528,28.0,1.0
-32.863623425099206,117.34799366319446,4.2,84.0,20.0,7,81,-32.86289962797619,117.34719843750001,-32.86434722222222,117.3487888888889,219.03508222917006,20.0,1.0
-32.89837647208803,117.15486345276435,3.1136363636363638,274.0,88.0,8,85,-32.89818265432098,117.15475154320988,-32.89857028985507,117.15497536231882,47.90142152164968,64.0,0.7272727272727273
-32.93450065832316,116.86373331679894,2.4642857142857144,69.0,28.0,9,94,-32.93479298331298,116.86433955026455,-32.93420833333333,116.86312708333332,130.4994014661508,28.0,1.0
-32.37843698653198,117.12181499158248,2.625,105.0,40.0,10,115,-32.37874518518518,117.12187240740741,-32.37812878787879,117.12175757575757,69.38345900640091,32.0,0.8
-32.3738315530303,117.13434195075757,3.2142857142857144,90.0,28.0,11,124,-32.37385893939394,117.13385681818183,-32.373804166666666,117.13482708333333,91.32316201795747,28.0,1.0
