cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.65043798809524,117.21586676190478,419.0,571.0,1.1710930735930818,1.1339285714285885,35.0664935064937,30.4,5
1,-31.648090824915826,117.21960446127946,571.0,975.0,1.1636363636363596,1.1636363636363596,40.145454545454434,36.0,2
2,-31.646267400793654,117.22305265873015,611.0,1079.0,1.5013486513486574,1.7499999999999918,41.66648351648365,29.6,5
3,-31.642396640720392,117.22613219474968,655.0,1127.0,1.2214993339993365,1.0565476190476317,39.353829503829616,33.714285714285715,7
4,-31.584160416666666,117.23891689814815,1647.0,1715.0,2.730158730158714,2.52857142857142,58.92063492063459,22.666666666666668,3
5,-31.583356944444443,117.24278125000001,1715.0,1799.0,1.0396825396825664,0.732142857142907,29.111111111111857,28.0,3
6,-31.668754830109126,117.24551708209326,2132.0,2360.0,1.627987132352954,1.388392857142878,43.746192226891075,28.5,8
7,-31.634421793831166,117.22291005516475,2508.0,2632.0,0.9608495670995735,0.9577380952380974,26.951244588744753,31.0,4
8,-31.60443246031746,117.18157041666669,2913.0,3029.0,1.3946428571428546,1.1071428571428428,31.05,23.2,5
9,-31.62063420138889,117.1246076512897,3273.0,3461.0,1.3462053571428547,1.352678571428589,30.629464285714242,23.5,8
10,-31.633478333333336,117.14948523809524,3708.0,3824.0,1.7435714285714443,1.741071428571433,40.08571428571467,23.2,5
11,-31.73223779761905,117.14784702380952,4124.0,4200.0,2.059523809523825,2.1339285714285823,52.273809523809916,25.333333333333332,3
12,-31.845234325396827,117.15783644179895,4552.0,4680.0,2.409821428571416,2.395535714285714,51.29761904761881,21.333333333333332,6
13,-31.890141005291003,117.15082341269841,4832.0,4964.0,3.2494047619047612,3.2723214285714484,72.19047619047619,22.0,6
14,-32.270659668109666,116.94262098665223,6502.0,6738.0,3.616774891774885,3.8499999999999694,76.05735930735922,21.454545454545453,11
15,-32.42673095238095,116.89053412698411,7238.0,7382.0,3.5803571428571757,3.5312500000000293,85.92857142857223,24.0,6
16,-32.51278348214285,117.21268928571428,8422.0,8474.0,2.214285714285717,2.214285714285717,57.50000000000005,26.0,2
17,-32.50000873015873,117.41122857142857,8866.0,9010.0,3.1309523809523903,3.0758928571428568,75.14285714285735,24.0,6
18,-32.495104166666664,117.41040178571427,9010.0,9106.0,2.7589285714286023,2.8973214285714484,66.21428571428646,24.0,4
19,-32.486429985119045,117.60761941964287,9498.0,9598.0,3.2425595238095157,3.297619047619035,80.95238095238076,25.0,4
20,-32.47535,118.09982460317461,11507.0,11579.0,2.806547619047622,2.7410714285714364,67.35714285714293,24.0,3
21,-32.19369365079365,117.91088068783068,12736.0,12804.0,3.4232142857142915,3.437500000000037,77.64285714285735,22.666666666666668,3
22,-31.978097916666663,117.70064523809523,13554.0,13606.0,3.0937500000000178,3.0937500000000178,80.2678571428576,26.0,2
23,-31.97422825396825,117.7025986309524,13606.0,13722.0,3.122619047619048,3.267857142857181,71.36904761904769,23.2,5
24,-31.968649404761905,117.70327261904762,13722.0,13818.0,2.816964285714288,2.8258928571428585,67.60714285714292,24.0,4
