cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.62108086419753,117.20726111111111,276.0,373.0,2.9896907216494846,290.0,97.0
1,-31.604674074074076,117.21150000000002,382.0,414.0,1.375,44.0,32.0
2,-31.59565185185185,117.20557777777779,444.0,479.0,2.142857142857143,75.0,35.0
3,-31.610858730158732,117.22919444444447,547.0,633.0,2.9651162790697674,255.0,86.0
4,-31.60913981481482,117.23355370370372,712.0,931.0,2.9360730593607305,643.0,219.0
5,-31.609547727272727,117.23308560606061,935.0,1024.0,1.9550561797752808,174.0,89.0
6,-31.609498484848483,117.23388939393939,1028.0,1070.0,1.6428571428571428,69.0,42.0
7,-31.609624999999998,117.23471805555552,1074.0,1120.0,1.173913043478261,54.0,46.0
8,-31.611618749999998,117.23354583333332,1136.0,1165.0,1.8275862068965518,53.0,29.0
9,-31.61289761904762,117.23497142857141,1210.0,1267.0,1.3859649122807018,79.0,57.0
10,-31.613611111111112,117.23540833333334,1486.0,1506.0,3.3,66.0,20.0
11,-31.613861111111117,117.2334,1522.0,1543.0,2.142857142857143,45.0,21.0
12,-31.5499,117.31006904761907,1774.0,1798.0,4.291666666666667,103.0,24.0
13,-31.550969999999996,117.31062333333334,1803.0,1842.0,1.7692307692307692,69.0,39.0
14,-31.552344444444447,117.31084166666666,1867.0,1889.0,1.8181818181818181,40.0,22.0
15,-31.550820512820508,117.31088717948718,1897.0,1946.0,2.795918367346939,137.0,49.0
16,-31.55152222222222,117.30955555555556,1950.0,1971.0,2.380952380952381,50.0,21.0
17,-31.551488888888894,117.309375,1975.0,1995.0,2.25,45.0,20.0
18,-31.551173529411766,117.31063235294117,2004.0,2072.0,2.426470588235294,165.0,68.0
19,-31.550154761904764,117.32549285714285,2111.0,2136.0,3.64,91.0,25.0
20,-31.550908333333336,117.32650833333332,2141.0,2162.0,2.857142857142857,60.0,21.0
21,-31.54863703703704,117.32691851851853,2166.0,2199.0,2.212121212121212,73.0,33.0
22,-31.51137254901961,117.38605784313725,2337.0,2404.0,3.3134328358208953,222.0,67.0
23,-31.511093809523807,117.38621333333332,2408.0,2549.0,2.921985815602837,412.0,141.0
24,-31.381564506172836,117.58664043209875,3048.0,3271.0,4.434977578475336,989.0,223.0
25,-31.378903333333334,117.58647666666666,3276.0,3319.0,2.13953488372093,92.0,43.0
26,-31.155852083333333,117.93716875,4262.0,4292.0,2.566666666666667,77.0,30.0
