lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.150068108465604,116.96811854166667,2.515151515151515,83.0,33.0,0,3,-32.14950080026455,116.96840791666668,-32.15063541666666,116.96782916666666,137.4263769263515,33.0,1.0
-31.970995859375,116.938038583416,1.5454545454545454,51.0,33.0,1,8,-31.970289635416666,116.93769175016534,-31.971702083333334,116.93838541666666,170.14231069756448,33.0,1.0
-31.97055716435185,116.93440485339507,1.9761904761904763,83.0,42.0,2,13,-31.969877662037035,116.93362804012345,-31.971236666666663,116.93518166666668,210.50688991713452,42.0,1.0
-31.950162533068784,116.92580372850529,3.1311475409836067,191.0,61.0,3,18,-31.949922685185186,116.92560150462964,-31.950402380952386,116.92600595238095,65.5842482713633,43.0,0.7049180327868853
-31.765348244047622,116.87832265873016,2.111111111111111,57.0,27.0,4,22,-31.765867916666668,116.8786738888889,-31.764828571428573,116.87797142857143,133.29195621876983,27.0,1.0
-31.76248404872134,116.87695764329806,1.7692307692307692,46.0,26.0,5,24,-31.76282047839506,116.87727719135802,-31.762147619047617,116.87663809523808,96.16962543950577,26.0,1.0
-31.553246113945583,116.79306090561224,2.6163522012578615,416.0,159.0,6,27,-31.55325603741497,116.79293371598638,-31.55323619047619,116.7931880952381,24.20461438750239,159.0,1.0
-31.45183501984127,116.7464000843254,3.75,105.0,28.0,7,30,-31.452486706349205,116.74625254960317,-31.451183333333336,116.74654761904763,147.60672401787312,28.0,1.0
-31.448454718137253,116.74696618668301,2.7333333333333334,205.0,75.0,8,31,-31.44802708333333,116.74713923611111,-31.448882352941176,116.74679313725491,100.60941538930547,56.0,0.8
-31.183179001322753,116.67955919863314,2.6315789473684212,100.0,38.0,9,34,-31.183149669312172,116.67967673059964,-31.183208333333333,116.67944166666666,23.293469293194846,38.0,1.0
-31.17597063657407,116.67590544560184,2.6815642458100557,480.0,179.0,10,36,-31.17542835648148,116.67572505787037,-31.17651291666666,116.67608583333333,125.38692163435313,131.0,0.9703703703703703
-30.963634325396825,116.65547814153439,2.675925925925926,289.0,108.0,11,42,-30.963797123015873,116.65541669973544,-30.963471527777774,116.65553958333332,38.05333935343615,108.0,1.0
-30.95711773809524,116.65738160714287,3.7865168539325844,337.0,89.0,12,43,-30.95621547619048,116.65766071428573,-30.958019999999998,116.65710250000002,207.59433649721234,38.0,0.6666666666666666
-30.95438989494302,116.65931260090218,3.017857142857143,169.0,56.0,13,44,-30.953740046296293,116.65927391975309,-30.955039743589744,116.65935128205129,144.7081084747726,42.0,0.75
-30.62163954425204,116.60479268904321,4.142857142857143,116.0,28.0,14,49,-30.622340993265993,116.60445204475307,-30.620938095238092,116.60513333333334,169.06956062155334,28.0,1.0
-30.252322791666664,116.54503679960317,4.625,111.0,24.0,15,55,-30.253006694444444,116.54596248809523,-30.251638888888888,116.54411111111112,233.99852516394668,24.0,1.0
-30.25138777006173,116.54450466820988,4.625,111.0,24.0,16,55,-30.25113665123457,116.54489822530864,-30.251638888888888,116.54411111111112,93.9939967376624,24.0,1.0
-29.603769511278195,116.34581396929826,3.176470588235294,270.0,85.0,17,71,-29.603910952380954,116.34581916666667,-29.60362807017544,116.34580877192984,31.471159271778046,70.0,1.0
-29.60393595568783,116.34868496279762,3.2857142857142856,92.0,28.0,18,72,-29.60401476851852,116.34919135416666,-29.603857142857144,116.34817857142856,99.47196005481742,28.0,1.0
-29.61127276936027,116.6839915246212,4.147766323024055,1207.0,291.0,19,79,-29.61061574074074,116.68589618055556,-29.611929797979798,116.68208686868685,396.18563139827677,71.0,1.0
-29.796457007575757,116.91967960858587,3.6690647482014387,510.0,139.0,20,81,-29.79639583333333,116.91937083333335,-29.796518181818183,116.91998838383839,61.12357303454177,61.0,1.0
-30.75565407000407,117.80555314916565,2.8596491228070176,163.0,57.0,21,112,-30.755797883597882,117.80534219576718,-30.755510256410258,117.80576410256411,51.46122711921627,47.0,0.8245614035087719
-30.75343348214286,117.8074970734127,1.8484848484848484,61.0,33.0,22,114,-30.753889880952382,117.80723789682541,-30.752977083333334,117.80775625,112.94017279749453,33.0,1.0
-30.980496181318678,117.76368097985349,1.8076923076923077,47.0,26.0,23,118,-30.980244743589743,117.76348576923075,-30.980747619047616,117.76387619047621,67.17180470156595,26.0,1.0
