cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.14950080026455,116.96840791666668,524.0,782.0,1.315590248023567,1.5204027556968611,45.46577328198604,36.857142857142854,7
1,-31.970289635416666,116.93769175016534,1766.0,2038.0,1.0679550510464457,1.2479311265932287,34.177763692720475,34.0,8
2,-31.969877662037035,116.93362804012345,2038.0,2258.0,1.217695575734764,1.2563070791835105,45.22445086547919,36.666666666666664,6
3,-31.949922685185186,116.92560150462964,2333.0,2404.0,2.4008739419489857,2.4008739419489857,84.56632123062124,35.5,2
4,-31.765867916666668,116.8786738888889,3009.0,3112.0,2.3710901509271918,2.356418918918948,79.20157814378224,34.333333333333336,3
5,-31.76282047839506,116.87727719135802,3112.0,3220.0,1.2523579012936568,1.2157339142091288,44.71708197789635,36.0,3
6,-31.55325603741497,116.79293371598638,3918.0,4134.0,2.572410591002946,2.6261467889908015,78.59721704061472,30.857142857142858,7
7,-31.452486706349205,116.74625254960317,4419.0,4612.0,3.334201352295569,3.692891279886491,103.55073017700585,32.166666666666664,6
8,-31.44802708333333,116.74713923611111,4612.0,4682.0,2.358565580898582,2.358565580898582,81.25844742594501,35.0,2
9,-31.183149669312172,116.67967673059964,5301.0,5393.0,2.1483842976370666,2.378960709759191,65.49934738500473,30.666666666666668,3
10,-31.17542835648148,116.67572505787037,5498.0,5633.0,2.5550983994568113,2.653179868669395,85.3174326824699,33.75,4
11,-30.963797123015873,116.65541669973544,6135.0,6267.0,2.618143735531411,2.662200826150534,86.75458108614716,33.0,4
12,-30.95621547619048,116.65766071428573,6313.0,6370.0,3.4507537505119714,3.4507537505119714,98.11631872760321,28.5,2
13,-30.953740046296293,116.65927391975309,6370.0,6478.0,2.635890034726398,2.60232945091517,94.70466017170027,36.0,3
14,-30.622340993265993,116.60445204475307,7177.0,7368.0,3.929441630370697,3.7293132871587824,122.53513233049166,31.833333333333332,6
15,-30.253006694444444,116.54596248809523,8287.0,8568.0,3.596611454568607,3.576014381099086,126.58034686257079,35.6,5
16,-30.25113665123457,116.54489822530864,8385.0,8488.0,2.86968552868249,2.672238075825476,97.63209468762805,34.333333333333336,3
17,-29.603910952380954,116.34581916666667,10406.0,10476.0,3.011959790805499,3.011959790805499,106.89303969065229,35.0,2
18,-29.60401476851852,116.34919135416666,10476.0,10622.0,2.2289271476832333,2.539456470918789,78.38190505815537,36.5,4
19,-29.61061574074074,116.68589618055556,12309.0,12380.0,3.6535797815193236,3.6535797815193236,129.46798718263088,35.5,2
20,-29.79639583333333,116.91937083333335,12972.0,13033.0,4.052194674792764,4.052194674792764,123.80805985623155,30.5,2
21,-30.755797883597882,117.80534219576718,18503.0,18568.0,2.5739026534087595,2.5739026534087595,82.3020587265828,32.5,2
22,-30.753889880952382,117.80723789682541,18568.0,18662.0,2.4533892064109026,2.400662251655615,76.96074005880043,31.333333333333332,3
23,-30.980244743589743,117.76348576923075,19502.0,19595.0,0.9001091162239738,0.9001091162239738,42.62850265118874,46.5,2
24,-31.135262615740743,117.56753958333333,20542.0,20612.0,1.2853533434212752,1.2853533434212752,45.112089197822506,35.0,2
