cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.149637894834626,117.01159345503531,582.0,665.0,0.4146097605430942,0.4146097605430942,15.26584003415586,41.5,2
1,-32.14537990552326,116.95640754028967,936.0,1091.0,0.45528993080901214,0.2992008919159149,16.287611449287716,38.75,4
2,-32.13892003500451,116.95257180120016,1182.0,1302.0,0.8963571501291273,0.8510655538448981,35.68297139615904,40.0,3
3,-32.06746712454213,116.94594519846625,1616.0,1725.0,1.1072548988957782,1.0535069482437964,40.708270676692145,36.333333333333336,3
4,-31.82784069520757,116.98506327838827,2494.0,2651.0,1.6782291804383263,1.818339587242014,65.35135438157957,39.25,4
5,-31.733072467728586,116.97352699705904,3015.0,3141.0,2.1507695459440073,2.0629719118091514,89.0145524537251,42.0,3
6,-31.60501954013284,116.93743319261512,3501.0,3638.0,2.285724083541726,2.45918131359853,103.27793833249031,45.666666666666664,3
7,-31.426922480620156,116.8898831842576,4154.0,4234.0,2.561307297353811,2.561307297353811,102.31336802732164,40.0,2
8,-31.263262931412402,116.83831880858442,4731.0,4843.0,2.193236223365357,2.4037523452157297,81.24121063059397,37.333333333333336,3
9,-30.946678841744674,116.82778547449465,5901.0,6008.0,3.080859040920988,3.0002801120448597,109.7206613206623,35.666666666666664,3
10,-30.454605513055895,116.60183053855569,7546.0,7625.0,3.4906226130216647,3.4906226130216647,138.21600859361087,39.5,2
11,-30.45391693957115,116.60458991228069,7625.0,7706.0,2.738426196435369,2.738426196435369,110.93593264096772,40.5,2
12,-30.04658877425044,116.49996481922398,8830.0,8940.0,3.943126512356809,3.9711484593838446,144.88634381890338,36.666666666666664,3
13,-29.46695734245565,116.41450261747164,11136.0,11303.0,2.348509891723367,2.346653222553858,97.72921151421347,41.75,4
14,-29.47494460784314,116.43182621758382,11500.0,11563.0,2.8653324379605376,2.8653324379605376,89.81161561398807,31.5,2
15,-29.780222239422084,117.450646749226,14303.0,14373.0,3.5154212284244033,3.5154212284244033,123.52635321335289,35.0,2
16,-30.161659094684385,118.0577834752215,15936.0,16033.0,2.2652378832917908,2.2652378832917908,105.18722281390802,48.5,2
17,-30.699872042483655,117.94432965686272,18482.0,18559.0,1.7445926196565833,1.7445926196565833,63.95199123127606,38.5,2
18,-31.149650279106858,117.49636318447634,22534.0,22603.0,1.678476356398179,1.678476356398179,57.8982441706899,34.5,2
