cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13590144927536,116.96801014492753,181.0,203.0,3.090909090909091,68.0,22.0
1,-32.14820937500001,116.96823125,243.0,274.0,4.451612903225806,138.0,31.0
2,-32.152899999999995,117.00875940170943,356.0,394.0,3.236842105263158,123.0,38.0
3,-31.82875138888889,116.98518888888889,2510.0,2533.0,2.3043478260869565,53.0,23.0
4,-31.82835857142857,116.98485333333333,2538.0,2572.0,1.9411764705882353,66.0,34.0
5,-31.73394277777778,116.97318555555556,3007.0,3066.0,2.5084745762711864,148.0,59.0
6,-31.605562037037032,116.93849675925925,3498.0,3533.0,3.0,105.0,35.0
7,-31.606112345679012,116.93707777777779,3544.0,3570.0,3.3846153846153846,88.0,26.0
8,-31.60366363636364,116.93733712121211,3616.0,3637.0,2.9523809523809526,62.0,21.0
9,-31.425861904761906,116.88915297619046,4202.0,4229.0,2.7777777777777777,75.0,27.0
10,-31.265482692307693,116.83762051282051,4671.0,4722.0,4.176470588235294,213.0,51.0
11,-31.26405888888889,116.83777833333333,4725.0,4754.0,2.793103448275862,81.0,29.0
12,-31.26379761904762,116.83720000000001,4758.0,4778.0,2.95,59.0,20.0
13,-31.263017619047616,116.83847904761905,4781.0,4815.0,2.7941176470588234,95.0,34.0
14,-31.19986190476191,116.83492585034014,4981.0,5029.0,5.3125,255.0,48.0
15,-31.19959347826087,116.8341275362319,5085.0,5107.0,2.9545454545454546,65.0,22.0
16,-30.951162857142858,116.82493142857142,5810.0,5844.0,5.617647058823529,191.0,34.0
17,-30.947396354166667,116.8272921875,5882.0,5913.0,3.4516129032258065,107.0,31.0
18,-30.94648666666667,116.82830666666665,5939.0,5968.0,3.413793103448276,99.0,29.0
19,-30.946071428571432,116.82818666666668,5970.0,6004.0,2.8529411764705883,97.0,34.0
20,-30.920797435897438,116.81890000000001,6075.0,6100.0,6.6,165.0,25.0
21,-30.875293333333335,116.809336,6174.0,6198.0,6.833333333333333,164.0,24.0
22,-30.79384444444445,116.76666388888887,6413.0,6442.0,6.413793103448276,186.0,29.0
23,-30.757042857142853,116.7526044217687,6610.0,6658.0,5.979166666666667,287.0,48.0
24,-30.75564462365592,116.75388602150537,6665.0,6695.0,3.7333333333333334,112.0,30.0
25,-30.711673015873014,116.71436984126984,6845.0,6865.0,9.1,182.0,20.0
26,-30.457087654320983,116.60126111111111,7476.0,7502.0,7.6923076923076925,200.0,26.0
27,-30.456409722222222,116.5999701388889,7504.0,7527.0,3.0,69.0,23.0
28,-30.454996666666666,116.60195904761906,7552.0,7586.0,3.588235294117647,122.0,34.0
29,-30.454260606060604,116.60245656565657,7587.0,7619.0,3.4375,110.0,32.0
30,-30.453181666666666,116.60499100000001,7650.0,7699.0,3.061224489795918,150.0,49.0
31,-30.093038690476188,116.53626071428572,8623.0,8650.0,2.925925925925926,79.0,27.0
32,-30.04593525641025,116.49943974358976,8792.0,8817.0,3.0,75.0,25.0
33,-30.047094339622642,116.49939685534589,8833.0,8885.0,4.0,208.0,52.0
34,-30.046425,116.50046410256412,8890.0,8915.0,4.24,106.0,25.0
35,-30.046034343434343,116.50124343434344,8916.0,8948.0,3.65625,117.0,32.0
36,-29.897802898550722,116.39528768115942,9362.0,9384.0,6.045454545454546,133.0,22.0
37,-29.638930952380957,116.30470476190473,10155.0,10175.0,6.65,133.0,20.0
38,-29.491630208333333,116.26469374999999,10647.0,10678.0,3.032258064516129,94.0,31.0
39,-29.466696794871797,116.41232435897435,11145.0,11170.0,3.32,83.0,25.0
40,-29.467566666666663,116.41700533333335,11285.0,11309.0,2.9166666666666665,70.0,24.0
41,-29.470336419753085,116.42176234567903,11364.0,11390.0,3.0,78.0,26.0
42,-29.47331085271318,116.43026550387596,11473.0,11515.0,3.4523809523809526,145.0,42.0
43,-29.47543968253968,116.43135158730158,11520.0,11540.0,3.75,75.0,20.0
44,-29.496499242424246,116.53967727272726,11796.0,11817.0,6.238095238095238,131.0,21.0
45,-29.52353566666666,116.62363799999999,12044.0,12093.0,4.857142857142857,238.0,49.0
46,-29.523844270833333,116.62640625,12095.0,12126.0,4.161290322580645,129.0,31.0
47,-29.523269444444445,116.62895,12129.0,12165.0,4.166666666666667,150.0,36.0
48,-29.52265245098039,116.63173137254903,12169.0,12202.0,3.8181818181818183,126.0,33.0
49,-29.522158536585366,116.63380243902441,12203.0,12243.0,2.85,114.0,40.0
50,-29.531776923076926,116.83197307692308,12582.0,12607.0,6.52,163.0,25.0
51,-29.529060714285713,116.85626011904763,12637.0,12664.0,4.37037037037037,118.0,27.0
52,-29.52601296296296,116.95997824074074,12903.0,12938.0,4.571428571428571,160.0,35.0
53,-29.52583863636363,116.96114242424241,12960.0,12981.0,3.9523809523809526,83.0,21.0
54,-29.536069135802467,117.04588333333334,13110.0,13136.0,7.5,195.0,26.0
55,-29.571323809523808,117.1078863095238,13233.0,13260.0,7.074074074074074,191.0,27.0
56,-29.70389621212121,117.31489772727272,13641.0,13662.0,6.380952380952381,134.0,21.0
57,-29.764594594594598,117.38585810810811,13995.0,14031.0,5.333333333333333,192.0,36.0
58,-29.78138205128205,117.43969166666669,14155.0,14180.0,6.88,172.0,25.0
59,-29.78194240196078,117.44510073529412,14199.0,14266.0,4.029850746268656,270.0,67.0
60,-29.78082910447761,117.44882089552239,14267.0,14333.0,3.696969696969697,244.0,66.0
61,-29.78002777777778,117.4514235042735,14336.0,14374.0,3.473684210526316,132.0,38.0
62,-29.90949333333333,117.60404133333333,14733.0,14757.0,10.708333333333334,257.0,24.0
63,-29.912073484848484,117.60878484848486,14785.0,14806.0,3.9047619047619047,82.0,21.0
