lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.82829604204823,116.98512608363858,2.3043478260869565,53.0,23.0,4,3,-31.82784069520757,116.98506327838827,-31.82875138888889,116.98518888888889,101.95762593512507,23.0,1.0
-31.733507622753184,116.9733562763073,2.5084745762711864,148.0,59.0,5,5,-31.733072467728586,116.97352699705904,-31.73394277777778,116.97318555555556,102.0192981405153,51.0,0.864406779661017
-31.60434158824824,116.93738515691362,2.9523809523809526,62.0,21.0,6,8,-31.60501954013284,116.93743319261512,-31.60366363636364,116.93733712121211,151.0440997287751,21.0,1.0
-31.426392192691033,116.88951808022404,2.7777777777777777,75.0,27.0,7,9,-31.426922480620156,116.8898831842576,-31.425861904761906,116.88915297619046,136.77753058894612,27.0,1.0
-31.26353027523001,116.83775940429221,2.95,59.0,20.0,8,12,-31.263262931412402,116.83831880858442,-31.26379761904762,116.83720000000001,121.83286606684014,20.0,1.0
-30.946375135158053,116.82798607058066,2.8529411764705883,97.0,34.0,9,19,-30.946678841744674,116.82778547449465,-30.946071428571432,116.82818666666668,77.6252545254365,34.0,1.0
-30.454433059558248,116.60214355210613,3.4375,110.0,32.0,10,29,-30.454605513055895,116.60183053855569,-30.454260606060604,116.60245656565657,71.21601200544131,32.0,1.0
-30.45354930311891,116.60479045614035,3.061224489795918,150.0,49.0,11,30,-30.45391693957115,116.60458991228069,-30.453181666666666,116.60499100000001,90.34707577912631,49.0,1.0
-30.046841556936542,116.49968083728493,4.0,208.0,52.0,12,33,-30.04658877425044,116.49996481922398,-30.047094339622642,116.49939685534589,78.41461534889744,52.0,1.0
-29.466827068663726,116.413413488223,3.32,83.0,25.0,13,39,-29.46695734245565,116.41450261747164,-29.466696794871797,116.41232435897435,212.8601163144472,25.0,1.0
-29.475192145191407,116.4315889024427,3.75,75.0,20.0,14,43,-29.47494460784314,116.43182621758382,-29.47543968253968,116.43135158730158,71.7041724498581,20.0,1.0
-29.78012500859993,117.45103512674976,3.473684210526316,132.0,38.0,15,61,-29.780222239422084,117.450646749226,-29.78002777777778,117.4514235042735,78.02118672696238,37.0,0.9736842105263158
-30.162356820069462,118.05858264670167,3.0952380952380953,65.0,21.0,16,70,-30.161659094684385,118.0577834752215,-30.163054545454543,118.05938181818183,218.379565001351,21.0,1.0
-31.149750139553426,117.49658313544805,1.8846153846153846,49.0,26.0,18,93,-31.149650279106858,117.49636318447634,-31.149849999999997,117.49680308641976,47.38824608734848,26.0,1.0
