cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.1230234375,116.94889583333334,184.0,230.0,1.9782608695652173,91.0,46.0
1,-32.10537660256411,116.95777532051282,257.0,322.0,3.2,208.0,65.0
2,-32.13695984848484,116.95747121212122,793.0,814.0,2.9047619047619047,61.0,21.0
3,-32.1394626984127,116.95712142857144,828.0,848.0,2.75,55.0,20.0
4,-32.13225238095238,116.95381607142859,1006.0,1033.0,2.888888888888889,78.0,27.0
5,-32.045563440860214,116.9476817204301,1567.0,1597.0,3.6,108.0,30.0
6,-32.04737708333334,116.94746319444444,1600.0,1623.0,3.130434782608696,72.0,23.0
7,-32.04890634920634,116.94816349206349,1631.0,1651.0,4.25,85.0,20.0
8,-31.861632716049385,116.94761851851851,3042.0,3123.0,2.074074074074074,168.0,81.0
9,-31.868436507936515,116.94634126984127,3361.0,3402.0,3.975609756097561,163.0,41.0
10,-31.871814285714283,116.94712777777778,3452.0,3474.0,3.772727272727273,83.0,22.0
11,-31.87483402777778,116.94731041666667,3511.0,3535.0,2.7083333333333335,65.0,24.0
12,-31.879276190476183,116.94745714285715,3604.0,3624.0,2.3,46.0,20.0
13,-31.793444166666667,116.96877633333334,4060.0,4159.0,4.232323232323233,419.0,99.0
14,-31.795453645833334,116.9682984375,4175.0,4206.0,4.258064516129032,132.0,31.0
15,-31.578490579710145,116.97146811594202,5233.0,5255.0,3.272727272727273,72.0,22.0
16,-31.579170634920636,116.97046746031745,5266.0,5286.0,3.2,64.0,20.0
17,-31.58072733333333,116.96863600000002,5473.0,5497.0,2.5833333333333335,62.0,24.0
18,-31.465082575757574,116.9666196969697,6034.0,6055.0,2.8095238095238093,59.0,21.0
19,-31.46833253968253,116.96263095238096,6203.0,6223.0,2.55,51.0,20.0
20,-31.467997333333333,116.961736,6236.0,6260.0,2.875,69.0,24.0
21,-31.445908333333335,116.95754362745097,6459.0,6492.0,3.242424242424242,107.0,33.0
22,-31.445629545454548,116.95828106060607,6531.0,6552.0,3.0,63.0,21.0
23,-31.446745454545454,116.96041590909091,6577.0,6598.0,2.8095238095238093,59.0,21.0
24,-31.447014880952388,116.9572767857143,6642.0,6669.0,3.4814814814814814,94.0,27.0
25,-31.360941269841266,116.97320555555555,6898.0,6918.0,4.35,87.0,20.0
26,-31.368665999999997,116.96451466666666,7147.0,7171.0,2.625,63.0,24.0
27,-31.365312820512827,116.95641346153845,7210.0,7235.0,2.6,65.0,25.0
28,-31.363528205128205,116.95894358974357,7237.0,7262.0,3.96,99.0,25.0
29,-31.2446515625,116.94154114583333,7690.0,7721.0,3.870967741935484,120.0,31.0
30,-31.2462696969697,116.93669242424242,7744.0,7765.0,4.9523809523809526,104.0,21.0
31,-31.243813888888884,116.93752152777779,7819.0,7842.0,3.9565217391304346,91.0,23.0
32,-31.245342528735634,116.93303505747124,7881.0,7909.0,4.178571428571429,117.0,28.0
