cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.11275555555556,116.93356740740738,180.0,225.0,4.311111111111111,194.0,45.0
1,-32.11148815789475,116.93462456140354,226.0,263.0,3.4594594594594597,128.0,37.0
2,-32.11561054421769,116.93220544217688,264.0,312.0,3.9583333333333335,190.0,48.0
3,-32.11985780141844,116.92786241134753,314.0,360.0,2.1956521739130435,101.0,46.0
4,-32.127459027777775,116.92036180555556,369.0,392.0,2.0434782608695654,47.0,23.0
5,-32.13327051282051,116.9374467948718,693.0,718.0,3.24,81.0,25.0
6,-32.13656212121213,116.93797878787878,744.0,765.0,3.4285714285714284,72.0,21.0
7,-32.13629230769231,116.93595769230771,773.0,799.0,2.8846153846153846,75.0,26.0
8,-32.13817,116.95336066666667,975.0,999.0,3.25,78.0,24.0
9,-32.14413782051282,116.9515673076923,1089.0,1114.0,2.52,63.0,25.0
10,-32.159433974358976,116.95889743589743,1669.0,1694.0,2.96,74.0,25.0
11,-32.37676825396825,117.00762142857141,2548.0,2569.0,2.238095238095238,47.0,21.0
12,-32.379367521367534,117.0096346153846,2586.0,2624.0,2.9473684210526314,112.0,38.0
13,-32.38263928571428,117.01034107142857,2663.0,2691.0,2.7857142857142856,78.0,28.0
14,-32.38465740740741,117.01078518518517,2716.0,2743.0,3.4444444444444446,93.0,27.0
15,-32.419316,117.02677066666666,2897.0,2922.0,3.6,90.0,25.0
16,-32.422348305084746,117.02693305084746,2934.0,2993.0,3.4237288135593222,202.0,59.0
17,-32.425606349206355,117.0296579365079,2996.0,3016.0,3.45,69.0,20.0
18,-32.65516515151515,117.10559242424242,4021.0,4042.0,2.5238095238095237,53.0,21.0
19,-32.768325,117.1254857142857,4500.0,4528.0,3.25,91.0,28.0
20,-32.77534047619048,117.13102301587304,4681.0,4702.0,3.1904761904761907,67.0,21.0
21,-32.89768958333334,117.13829375,5098.0,5122.0,2.25,54.0,24.0
22,-32.92299047619048,117.15109404761904,5271.0,5299.0,2.392857142857143,67.0,28.0
23,-32.992985,117.147775,5750.0,5779.0,3.206896551724138,93.0,29.0
24,-32.99580075757574,117.1477409090909,5786.0,5807.0,2.4761904761904763,52.0,21.0
25,-32.99488039215686,117.1477612745098,5841.0,5875.0,2.5588235294117645,87.0,34.0
26,-33.006301010101005,117.1504909090909,6038.0,6070.0,2.6875,86.0,32.0
27,-33.01111176470588,117.1504455882353,6114.0,6148.0,2.176470588235294,74.0,34.0
28,-33.05549490740741,117.16336018518518,6333.0,6368.0,2.9714285714285715,104.0,35.0
29,-33.18847654320987,117.20672469135803,6957.0,6983.0,3.0384615384615383,79.0,26.0
30,-33.310398550724635,117.24014999999999,7607.0,7629.0,3.1818181818181817,70.0,22.0
31,-33.31872435897436,117.23983461538461,7657.0,7683.0,4.1923076923076925,109.0,26.0
32,-33.32181933333333,117.24171266666666,7708.0,7733.0,3.64,91.0,25.0
33,-33.32707222222223,117.24672539682537,7783.0,7804.0,2.3333333333333335,49.0,21.0
34,-33.32882986111111,117.24461944444444,7819.0,7842.0,2.739130434782609,63.0,23.0
35,-33.48218214285714,117.29519285714284,8303.0,8345.0,3.0714285714285716,129.0,42.0
36,-33.62429637681159,117.33123043478261,8755.0,8801.0,3.391304347826087,156.0,46.0
37,-33.6267625,117.33418333333334,8804.0,8832.0,3.9285714285714284,110.0,28.0
38,-33.62917317073171,117.3350918699187,8833.0,8873.0,3.375,135.0,40.0
39,-33.632160526315786,117.33672397660818,8874.0,8931.0,3.087719298245614,176.0,57.0
40,-33.63290486111111,117.33933611111111,8934.0,8958.0,3.875,93.0,24.0
41,-33.64111419753086,117.3454802469136,9003.0,9030.0,2.8518518518518516,77.0,27.0
42,-33.745656976744186,117.37132209302327,9354.0,9397.0,4.372093023255814,188.0,43.0
43,-33.74858245614035,117.37408201754387,9417.0,9455.0,3.5526315789473686,135.0,38.0
44,-33.75467916666666,117.37934583333333,9519.0,9558.0,2.6666666666666665,104.0,39.0
45,-33.756253086419754,117.38181913580247,9575.0,9601.0,2.6153846153846154,68.0,26.0
46,-34.09138383838384,117.41999545454544,10439.0,10471.0,3.25,104.0,32.0
47,-34.09722345679012,117.42379074074073,10508.0,10534.0,3.730769230769231,97.0,26.0
48,-34.09973472222222,117.42607743055555,10542.0,10589.0,3.382978723404255,159.0,47.0
49,-34.10468828125,117.42780963541668,10596.0,10660.0,2.984375,191.0,64.0
50,-34.107524031007756,117.4291934108527,10663.0,10705.0,2.857142857142857,120.0,42.0
51,-34.11383869047619,117.4324886904762,10756.0,10784.0,3.0714285714285716,86.0,28.0
52,-34.267017681159416,117.4952275362319,11133.0,11249.0,5.120689655172414,594.0,116.0
53,-34.16341555555555,117.52983611111112,12187.0,12216.0,4.172413793103448,121.0,29.0
54,-34.05076533333334,117.46872333333333,12662.0,12686.0,3.6666666666666665,88.0,24.0
55,-34.04026666666666,117.46067246376809,12738.0,12760.0,2.9545454545454546,65.0,22.0
56,-34.04128695652174,117.46483768115942,12765.0,12787.0,2.090909090909091,46.0,22.0
57,-34.04163939393939,117.46692727272726,12848.0,12870.0,2.1818181818181817,48.0,22.0
58,-34.041368750000004,117.47576944444444,13006.0,13029.0,2.9565217391304346,68.0,23.0
59,-34.042340624999994,117.477775,13045.0,13076.0,3.6129032258064515,112.0,31.0
60,-34.04425666666667,117.4795313888889,13080.0,13140.0,2.9166666666666665,175.0,60.0
61,-34.04471507936508,117.48365079365078,13144.0,13165.0,2.857142857142857,60.0,21.0
62,-33.87287756410256,117.40063205128205,13769.0,13795.0,2.769230769230769,72.0,26.0
63,-33.818570114942524,117.3879143678161,14113.0,14142.0,3.310344827586207,96.0,29.0
64,-33.81942373737374,117.39083484848486,14154.0,14186.0,2.28125,73.0,32.0
65,-33.79740555555555,117.38686975308643,14416.0,14443.0,2.8518518518518516,77.0,27.0
66,-33.79834855072463,117.39005072463766,14445.0,14467.0,2.909090909090909,64.0,22.0
67,-33.799837037037044,117.392024691358,14491.0,14518.0,2.185185185185185,59.0,27.0
68,-33.80112530864198,117.3924413580247,14522.0,14548.0,2.1923076923076925,57.0,26.0
69,-33.80263550724637,117.39705507246376,14582.0,14604.0,1.9545454545454546,43.0,22.0
70,-33.8013975,117.39573666666668,14606.0,14626.0,2.05,41.0,20.0
71,-33.65354133333334,117.38829022222221,15337.0,15412.0,3.466666666666667,260.0,75.0
72,-33.65477543859649,117.3929495614035,15432.0,15469.0,4.027027027027027,149.0,37.0
73,-33.65423511904762,117.40069325396826,15491.0,15575.0,3.7976190476190474,319.0,84.0
74,-33.65519666666667,117.40040933333334,15576.0,15601.0,3.32,83.0,25.0
