cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.132482631578945,116.94707754385965,195.0,289.0,4.042553191489362,380.0,94.0
1,-32.122682539682536,116.94877777777778,321.0,341.0,3.2,64.0,20.0
2,-32.12366422764228,116.94832845528455,342.0,382.0,3.7,148.0,40.0
3,-32.12544776119404,116.94802686567164,384.0,450.0,3.787878787878788,250.0,66.0
4,-32.12709374999999,116.94806527777779,453.0,476.0,3.5217391304347827,81.0,23.0
5,-32.12778257575758,116.94803409090906,478.0,499.0,4.190476190476191,88.0,21.0
6,-32.155174747474746,116.9497494949495,1037.0,1069.0,3.21875,103.0,32.0
7,-32.2671196969697,116.94320075757577,1376.0,1397.0,4.380952380952381,92.0,21.0
8,-32.26935066666667,116.94249333333333,1414.0,1438.0,3.75,90.0,24.0
9,-32.27067463768116,116.94162681159419,1439.0,1461.0,3.909090909090909,86.0,22.0
10,-32.274228,116.94230866666666,1496.0,1520.0,4.125,99.0,24.0
11,-32.28103888888889,116.94176452991454,1526.0,1564.0,3.9473684210526314,150.0,38.0
12,-32.49728015873016,116.9338873015873,2207.0,2227.0,3.6,72.0,20.0
13,-32.50866611111111,116.93399777777775,2288.0,2317.0,3.3793103448275863,98.0,29.0
14,-32.66340289855073,117.03119927536231,2983.0,3005.0,2.727272727272727,60.0,22.0
15,-32.66822222222223,117.03137539682538,3095.0,3115.0,3.55,71.0,20.0
16,-32.78921388888889,117.08812986111111,3598.0,3621.0,3.1739130434782608,73.0,23.0
17,-32.792313541666665,117.08754947916665,3623.0,3654.0,2.5161290322580645,78.0,31.0
18,-32.81089107142857,117.08734226190477,3809.0,3836.0,3.962962962962963,107.0,27.0
19,-32.81412688172043,117.08609731182793,3870.0,3900.0,3.933333333333333,118.0,30.0
20,-32.8173159090909,117.08792424242425,3941.0,3984.0,3.6511627906976742,157.0,43.0
21,-32.820070238095234,117.08907202380952,4008.0,4035.0,3.5185185185185186,95.0,27.0
22,-32.82251397849463,117.0908107526882,4084.0,4114.0,4.333333333333333,130.0,30.0
23,-33.054433333333336,117.18431190476193,4753.0,4773.0,3.2,64.0,20.0
24,-33.195203888888884,117.23777833333334,5186.0,5215.0,2.4827586206896552,72.0,29.0
25,-33.28701726190476,117.2591619047619,5770.0,5797.0,4.074074074074074,110.0,27.0
26,-33.295104411764704,117.26173676470587,5887.0,5920.0,4.151515151515151,137.0,33.0
27,-33.29641878306878,117.26404417989419,5924.0,5986.0,3.8548387096774195,239.0,62.0
28,-33.2971856060606,117.26597878787881,5990.0,6011.0,4.190476190476191,88.0,21.0
29,-33.47186666666667,117.30945000000001,6582.0,6622.0,3.825,153.0,40.0
30,-33.53867430555555,117.35783194444444,6788.0,6811.0,3.608695652173913,83.0,23.0
31,-33.6221125,117.43160178571428,7093.0,7120.0,5.592592592592593,151.0,27.0
32,-33.62642222222222,117.43812592592593,7208.0,7234.0,4.884615384615385,127.0,26.0
33,-33.62795075757576,117.44227575757577,7260.0,7281.0,4.428571428571429,93.0,21.0
34,-33.63340227272726,117.45019772727277,7385.0,7406.0,3.8095238095238093,80.0,21.0
35,-33.76916747967479,117.54056747967479,7827.0,7867.0,3.55,142.0,40.0
36,-33.768237745098034,117.5427862745098,7874.0,7907.0,4.484848484848484,148.0,33.0
37,-33.769504545454545,117.5433393939394,7908.0,7929.0,3.8095238095238093,80.0,21.0
38,-33.770430000000005,117.54519199999999,7944.0,7968.0,2.6666666666666665,64.0,24.0
39,-33.73222311827957,117.68501666666667,8655.0,8685.0,4.166666666666667,125.0,30.0
40,-33.73765277777778,117.69162824074076,8794.0,8829.0,3.5142857142857142,123.0,35.0
41,-33.73893257575758,117.69255681818184,8830.0,8851.0,4.0476190476190474,85.0,21.0
42,-33.74184927536231,117.69568478260871,8919.0,8941.0,2.4545454545454546,54.0,22.0
43,-33.7424119047619,117.70618412698414,9015.0,9035.0,4.35,87.0,20.0
44,-33.65450158730159,117.83701428571428,9500.0,9520.0,2.85,57.0,20.0
45,-33.45688492063493,118.05746587301586,10343.0,10363.0,3.45,69.0,20.0
46,-33.346899404761906,117.9408029761905,11243.0,11270.0,2.5925925925925926,70.0,27.0
47,-33.350965432098775,117.94017962962963,11389.0,11415.0,3.230769230769231,84.0,26.0
48,-33.236612179487175,117.82099679487182,12457.0,12482.0,2.56,64.0,25.0
49,-33.23814190476191,117.83258714285712,12695.0,12729.0,2.676470588235294,91.0,34.0
50,-33.23839236111111,117.83480138888889,12756.0,12779.0,2.782608695652174,64.0,23.0
51,-33.24514947916667,117.84033281250001,12884.0,12915.0,3.129032258064516,97.0,31.0
52,-33.16998695652173,117.73372246376813,13301.0,13323.0,3.272727272727273,72.0,22.0
53,-33.15749565217391,117.72633840579711,13510.0,13532.0,4.954545454545454,109.0,22.0
54,-33.04221666666667,117.58856666666667,14015.0,14040.0,2.96,74.0,25.0
55,-33.04393939393939,117.58827348484847,14087.0,14108.0,4.142857142857143,87.0,21.0
56,-33.044526744186044,117.5912635658915,14163.0,14205.0,5.523809523809524,232.0,42.0
57,-33.04473279569893,117.59313064516128,14234.0,14264.0,4.566666666666666,137.0,30.0
58,-33.04510069444445,117.59274027777776,14265.0,14288.0,3.4347826086956523,79.0,23.0
59,-33.04728765432098,117.59360185185186,14296.0,14322.0,4.153846153846154,108.0,26.0
60,-33.004135897435894,117.52582115384615,14484.0,14509.0,5.92,148.0,25.0
61,-32.937722413793104,117.4339448275862,14750.0,14778.0,4.357142857142857,122.0,28.0
62,-32.936724712643674,117.43128390804598,14787.0,14815.0,4.25,119.0,28.0
63,-32.93330530303031,117.42595151515152,14817.0,14838.0,2.9523809523809526,62.0,21.0
64,-32.734090860215055,117.22723655913978,15599.0,15629.0,3.7666666666666666,113.0,30.0
