cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.60356556603774,117.23985235849054,181.0,286.0,3.942857142857143,414.0,105.0
1,-31.606080864197533,117.22654135802469,362.0,388.0,5.115384615384615,133.0,26.0
2,-31.608328235294117,117.22658882352938,391.0,475.0,3.607142857142857,303.0,84.0
3,-31.610598437500002,117.22573489583334,476.0,507.0,4.419354838709677,137.0,31.0
4,-31.613389583333333,117.226825,551.0,574.0,3.869565217391304,89.0,23.0
5,-31.613340476190473,117.22671428571428,578.0,598.0,4.25,85.0,20.0
6,-31.61485733333333,117.22616733333332,627.0,651.0,4.666666666666667,112.0,24.0
7,-31.615813247863237,117.22074487179488,829.0,867.0,3.8947368421052633,148.0,38.0
8,-31.563126923076922,117.23574935897433,1058.0,1083.0,4.16,104.0,25.0
9,-31.39146590909091,117.18817651515151,1685.0,1706.0,4.190476190476191,88.0,21.0
10,-31.38277301587301,117.18662380952381,1808.0,1828.0,4.65,93.0,20.0
11,-31.337230246913578,117.15726419753084,1967.0,1993.0,3.8076923076923075,99.0,26.0
12,-31.28159861111111,117.13130083333336,2097.0,2156.0,3.0847457627118646,182.0,59.0
13,-31.272151333333337,117.12426066666669,2189.0,2213.0,2.7916666666666665,67.0,24.0
14,-31.228567829457365,117.09499612403103,2477.0,2519.0,3.642857142857143,153.0,42.0
15,-31.22860031446541,117.08110251572326,2822.0,2874.0,2.6153846153846154,136.0,52.0
16,-31.228771428571427,117.07866488095237,2943.0,2970.0,2.185185185185185,59.0,27.0
17,-31.06136304347826,117.0058579710145,3663.0,3685.0,2.1363636363636362,47.0,22.0
18,-31.002289999999995,116.97332111111112,3812.0,3871.0,5.0,295.0,59.0
19,-30.764791666666664,116.8671075757576,4720.0,4741.0,3.0476190476190474,64.0,21.0
20,-30.760927142857145,116.86780999999999,4780.0,4814.0,2.7058823529411766,92.0,34.0
21,-30.690886021505374,116.82117849462364,5202.0,5232.0,4.666666666666667,140.0,30.0
22,-30.688534523809523,116.81888452380952,5233.0,5274.0,3.7804878048780486,155.0,41.0
23,-30.6871219858156,116.81772872340426,5277.0,5323.0,3.3260869565217392,153.0,46.0
24,-30.68476866666667,116.81701533333333,5381.0,5405.0,3.375,81.0,24.0
25,-30.68511388888889,116.81843125,5410.0,5433.0,2.782608695652174,64.0,23.0
26,-30.682076041666665,116.81586631944445,5516.0,5563.0,2.382978723404255,112.0,47.0
27,-30.679314197530864,116.81180308641973,5605.0,5631.0,2.3461538461538463,61.0,26.0
28,-30.678069191919192,116.81003333333332,5664.0,5696.0,2.6875,86.0,32.0
29,-30.57775909090909,116.7782174242424,5963.0,5984.0,5.761904761904762,121.0,21.0
30,-30.576836206896548,116.77661609195405,5986.0,6014.0,4.0,112.0,28.0
