cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.609902347029298,117.22594562705315,424.0,534.0,4.189793250228032,3.9830769230769483,92.06638300829604,22.0,5
1,-31.614711517286448,117.22639662902466,534.0,796.0,2.5198539204343127,2.5775335775336172,63.382834719497914,23.818181818181817,11
2,-31.272254128205127,117.12177108974359,2212.0,2261.0,1.82611111111111,1.82611111111111,44.556239316239285,24.5,2
3,-31.22838697729988,117.09063101022168,2545.0,2632.0,1.5198575443324076,1.3970726329971943,44.19865369697504,29.0,3
4,-31.23250939764493,117.08841065006038,2632.0,2709.0,1.189610268179704,1.1957478005865627,30.6786693017132,25.666666666666668,3
5,-31.23351884615385,117.08565919230767,2709.0,2758.0,0.7226923076922991,0.7226923076922991,17.6446153846152,24.5,2
6,-31.228499318849874,117.08010531184865,2795.0,2980.0,2.0290146953896913,2.47543760587231,41.00125676510077,20.555555555555557,9
7,-31.227603612825625,117.0730859158504,3046.0,3285.0,2.2092326850227786,1.9289522546418814,51.91794724133081,23.9,10
8,-31.001106288682582,116.97049508178604,3848.0,3901.0,2.4885604816639457,2.4885604816639457,67.41302681992377,26.5,2
9,-30.76120784377157,116.86821577273119,4750.0,4849.0,1.5447648091538575,1.8836839697034664,37.17929213964431,24.75,4
10,-30.688189707818935,116.8185229835391,5225.0,5304.0,3.633480392223467,3.5305250305250704,94.63656019010931,26.333333333333332,3
11,-30.68465834962515,116.81754953991751,5304.0,5543.0,2.302577696302608,2.4715380405035714,62.12420732382365,26.555555555555557,9
12,-30.680152644698968,116.81248552730146,5543.0,5666.0,2.320395554470496,2.308302808302846,55.80923169916825,24.6,5
13,-30.677567132867132,116.80992170745921,5666.0,5712.0,1.6726832587701936,1.6726832587701936,40.90686125468694,23.0,2
14,-30.576923635704404,116.7741868496153,5998.0,6142.0,3.478807810122658,3.34104743083002,82.81858366141678,24.0,6
15,-30.576530033238367,116.76857590218422,6142.0,6193.0,2.66695970695977,2.66695970695977,68.03479853480016,25.5,2
16,-30.576485604056437,116.76523882275134,6193.0,6246.0,2.386594248663237,2.386594248663237,63.338533114395766,26.5,2
17,-30.194582037037037,116.63543817760943,7257.0,7351.0,0.9760201261424989,0.854612299465167,33.206921438196886,31.333333333333332,3
18,-30.12224696379356,116.63836444147535,7923.0,8357.0,1.7622839162900874,1.8580434782608628,37.79793493138043,21.7,20
19,-30.13441409003952,116.62452909426962,8419.0,8737.0,2.617536405410399,2.887763380783929,51.84654373453769,19.875,16
20,-30.205754133173926,116.63426168069971,8955.0,9049.0,2.5708381473599013,2.5475091575092,60.098331668332065,23.5,4
21,-30.204634166666665,116.62943402006175,9049.0,9146.0,1.7791435738175077,1.7781868131868488,43.13450549450603,24.25,4
22,-30.29918594575563,116.64852377093045,9456.0,9549.0,2.5255244996548996,2.484154589371955,59.77628019323596,23.25,4
23,-30.474368229166668,116.7008803199405,9980.0,10038.0,1.9869976882282403,1.9869976882282403,56.92643025078425,29.0,2
24,-30.472415567765566,116.70028498168497,10038.0,10090.0,1.5737160540609059,1.5737160540609059,40.03118816049909,26.0,2
25,-30.488408828319425,116.70756421277997,10162.0,10228.0,4.629153020892116,4.700592885375486,100.98835309617841,22.0,3
26,-30.491650573339705,116.70250387004299,10254.0,10341.0,2.620397706158575,2.7689017504234448,56.462758859498116,21.75,4
27,-30.546125483281088,116.7153278213166,10508.0,10557.0,2.5766691329659244,2.5766691329659244,64.8186724819395,24.5,2
28,-30.867830996427408,116.72751835217963,11461.0,11779.0,2.0120594970448904,1.952063805759403,48.11453247606556,25.125,8
29,-30.867135565217396,116.72241508695653,11804.0,11850.0,1.7739373669808374,1.7739373669808374,41.282006688963065,23.0,2
30,-31.155322422500873,116.77682041100661,12678.0,12738.0,1.042079535575963,1.042079535575963,30.527825926608205,30.0,2
31,-31.347095456344864,116.88671697245898,13368.0,13551.0,4.139961868713697,4.121489621489654,107.91284273647867,26.142857142857142,7
32,-31.62729451056833,117.21168046778584,14396.0,14766.0,2.8933367336939706,2.9249999999999967,82.33806352375157,28.46153846153846,13
33,-31.624198782255018,117.20458402409253,14766.0,15103.0,1.9770140846905668,2.1616568914956606,59.76195124886549,30.636363636363637,11
34,-31.62521779841897,117.20193198692236,15103.0,15241.0,2.2064404314212203,2.0758689839571476,58.88704060416253,27.6,5
35,-31.63127315750093,117.1995984661429,15283.0,15373.0,2.995625561801982,2.651403743315403,87.56941968706512,30.0,3
36,-31.879756727135298,117.39142307671034,16148.0,16278.0,1.0935598855779614,0.9288775510203754,46.54882662616411,43.333333333333336,3
37,-31.784907202895493,117.47774881966409,16648.0,16755.0,1.182209853851038,1.2620553359683975,43.32150979606516,35.666666666666664,3
38,-31.78409127628746,117.47539237092846,16755.0,16993.0,1.9137396596904617,1.993951612903154,64.56828815183053,34.0,7
