cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.614936099716097,117.22440128551978,322.0,1215.0,1.8125378767177633,1.666447031229621,44.78272210224511,25.65625,32
1,-31.61125464949383,117.22228065876003,1215.0,1569.0,2.3317269503723748,2.2401100607997284,65.69623097341032,29.5,12
2,-31.348483574499788,117.03662517688379,2432.0,2538.0,2.59007326007325,2.5546191739294946,68.47915750915725,26.5,4
3,-31.349861477272725,117.04014066919191,2538.0,2610.0,0.67349964450363,0.67349964450363,21.84213098729357,36.0,2
4,-31.225206992337164,117.0364638697318,3056.0,3113.0,4.5310662641029715,4.5310662641029715,129.26496106785316,28.5,2
5,-31.225168367310363,117.03953918721466,3113.0,3263.0,3.881377678198441,3.7448107448108092,115.95600568559487,30.0,5
6,-31.230364886884985,117.04108795285558,3339.0,3429.0,3.1617241230530926,3.1617241230530926,142.29567847435243,45.0,2
7,-31.061825444981736,116.90023742935723,4249.0,4504.0,2.7001717263192937,2.758028613898196,68.4957744434533,25.5,10
8,-31.057585014391844,116.90052346499226,4504.0,4705.0,3.0169404560540087,3.0434857479685133,74.77526365022581,25.125,8
9,-30.939892597402597,116.78834185425686,5089.0,5155.0,1.1918974407945053,1.1918974407945053,38.65920550038223,33.0,2
10,-30.93619123168498,116.93829635989012,5475.0,5527.0,3.0917161382678984,3.0917161382678984,80.92590838280586,26.0,2
11,-30.94429438267652,117.01314345229885,5786.0,5912.0,3.3848458371546806,3.4233716475096276,85.26364456233414,25.2,5
12,-30.90297467824454,117.53159823766192,7145.0,7249.0,1.479197621885013,1.4366382651164926,38.289891899288065,26.0,4
13,-30.90379975990396,117.52889740896357,7249.0,7330.0,0.6907331114264236,0.6907331114264236,23.884753901561925,40.5,2
14,-30.933740892810743,117.59330385264819,7649.0,8057.0,3.0436370731884375,3.1822222222222605,82.25019196456599,27.2,15
15,-30.93910497871072,117.70382165760435,8365.0,8558.0,2.2275872316089993,2.3515719063544935,54.17016207826068,24.125,8
16,-30.922634180784495,118.00798609363554,9452.0,9587.0,2.2633883127131647,2.4717948717949527,60.40351601420592,27.0,5
17,-31.14204644219281,118.01572570446444,10337.0,10444.0,1.1126747780488278,1.034274193548368,36.523181342338574,35.666666666666664,3
18,-31.23969302006518,117.94143191853244,10843.0,11155.0,2.442493762134226,2.569136745607387,69.40534436955546,28.363636363636363,11
19,-31.241434383903133,117.93626981837608,11271.0,11331.0,1.5044279444279685,1.5044279444279685,44.34557634557692,30.0,2
20,-31.43018202668419,117.79194906279244,11958.0,12185.0,2.2214977344756823,2.382512315270915,62.90482530192238,28.375,8
21,-31.63909790661252,117.67178670861404,13096.0,13452.0,2.216411827141983,2.187465790914074,60.8029752434256,27.384615384615383,13
22,-31.650716534040672,117.67003651635721,13509.0,13562.0,2.0713591006694156,2.0713591006694156,55.359593280282134,26.5,2
23,-31.891410902266315,117.47609125016321,14299.0,14516.0,1.4621718550204288,1.5398080180688931,34.71072068065569,24.11111111111111,9
24,-31.916832134024737,117.45505113769087,14638.0,14849.0,1.7963970267917142,1.667100942535722,48.18031050383108,26.375,8
