cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.61986041666667,117.189840625,594.0,651.0,2.997252318530438,2.997252318530438,85.40692438023981,28.5,2
1,-31.623325,117.19265555555556,680.0,746.0,1.6075890425116235,1.6075890425116235,53.05043840288357,33.0,2
2,-31.60546875,117.64567544642858,2885.0,2940.0,2.8639084572571307,2.8639084572571307,77.49416556826844,27.5,2
3,-31.60418333333333,117.648184375,2940.0,2997.0,2.130711068211066,2.130711068211066,60.71621621621614,28.5,2
4,-31.582239285714287,117.73094255952381,3216.0,3271.0,3.207702671819936,3.207702671819936,86.39497743556475,27.5,2
5,-31.582334920634924,117.73395307539681,3271.0,3353.0,2.882437213093651,2.8718535469107773,79.81197983098772,27.333333333333332,3
6,-31.46859206349206,118.15486150793652,4096.0,4200.0,2.127976190476178,1.947916666666646,54.61309523809495,26.0,4
7,-31.47087857142857,118.16159999999999,4248.0,4296.0,3.593750000000024,3.593750000000024,86.25000000000057,24.0,2
8,-31.471399677579363,118.16545753968254,4296.0,4396.0,2.6724776852501866,2.7288839419289252,65.45318537150739,25.0,4
9,-31.415269246031745,118.35551041666668,4818.0,4896.0,3.2883973628520717,3.607142857142904,86.40192088556209,26.0,3
10,-31.41372131283069,118.36284438244047,4896.0,5102.0,3.47278166653536,3.6922709734863526,87.9981547422654,25.75,8
11,-31.37121880668934,118.69720863095237,5668.0,5857.0,3.528376029231346,3.7650414937760983,95.2549473760723,27.0,7
12,-31.250893789269178,119.31493652447091,7130.0,7581.0,2.612681487427949,2.443193502244352,73.58106824073246,28.1875,16
13,-31.185277298280422,119.1699396164021,8114.0,8234.0,2.051472064309876,2.062332958953423,60.32455149957012,30.0,4
14,-31.145346825396828,118.93371081349206,8916.0,9385.0,2.9797181361332457,3.0321568964900116,86.85248888750117,32.166666666666664,6
15,-31.147556994047612,118.93074336309523,8972.0,9248.0,4.448457629589092,4.420347744360955,122.48585410881105,27.6,10
16,-31.09129107142857,118.67832812500001,9949.0,10002.0,2.725823013093139,2.725823013093139,71.97146818447135,26.5,2
17,-31.088849305555556,118.67865671296298,10002.0,10066.0,2.1751419722567222,2.1751419722567222,69.54031928470776,32.0,2
18,-31.070990833333333,118.57140916666665,10345.0,10410.0,2.7108519490954217,2.7108519490954217,86.0529812604999,32.5,2
19,-31.02747189814815,118.2922469510582,11044.0,11188.0,3.166800326057882,3.441666666666657,91.76973326520236,28.8,5
20,-30.937992455687827,117.80042246891534,12250.0,12593.0,2.342475602781131,2.27743828793116,79.14002331424741,34.3,10
21,-30.913620510912697,117.55187996031745,13157.0,13368.0,3.4461448213110666,3.5178442161228767,90.16194085908374,26.375,8
22,-30.869995163690476,117.40513973214286,13741.0,13853.0,3.6824423308638865,3.592796786159205,101.9966227010894,28.0,4
23,-30.83069910714286,117.12448541666666,14738.0,14793.0,2.0738273838397063,2.0738273838397063,56.54036021692997,27.5,2
24,-30.830793749999998,117.126846875,14793.0,14850.0,2.849866349866308,2.849866349866308,81.37231462231341,28.5,2
