cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.614852083333336,117.1962199404762,247.0,472.0,3.328888888888889,749.0,225.0
1,-31.619888611111104,117.19059694444447,493.0,737.0,2.512295081967213,613.0,244.0
2,-31.624523809523815,117.19348333333333,742.0,767.0,1.8,45.0,25.0
3,-31.632986842105264,117.2105842105263,905.0,985.0,3.775,302.0,80.0
4,-31.6355,117.2152,989.0,1019.0,3.566666666666667,107.0,30.0
5,-31.637778571428576,117.21647380952379,1023.0,1048.0,3.52,88.0,25.0
6,-31.63927307692308,117.21932564102566,1056.0,1091.0,3.5428571428571427,124.0,35.0
7,-31.641198412698415,117.22215555555559,1093.0,1161.0,3.0588235294117645,208.0,68.0
8,-31.64306944444444,117.22581944444444,1169.0,1190.0,2.2857142857142856,48.0,21.0
9,-31.64512083333333,117.23755208333333,1265.0,1293.0,1.8928571428571428,53.0,28.0
10,-31.64419285714286,117.24151904761905,1318.0,1343.0,1.96,49.0,25.0
11,-31.644390476190477,117.24351428571427,1347.0,1373.0,1.7692307692307692,46.0,26.0
12,-31.645401666666668,117.24728333333333,1393.0,1432.0,1.3333333333333333,52.0,39.0
13,-31.645328205128205,117.2506358974359,1436.0,1485.0,1.163265306122449,57.0,49.0
14,-31.6275119047619,117.3582619047619,2001.0,2026.0,2.24,56.0,25.0
15,-31.622868333333336,117.37779166666667,2060.0,2097.0,3.5135135135135136,130.0,37.0
16,-31.623416666666664,117.38333095238094,2101.0,2126.0,3.4,85.0,25.0
17,-31.623864285714284,117.38638571428571,2130.0,2184.0,2.7222222222222223,147.0,54.0
18,-31.624819230769234,117.39034102564102,2188.0,2239.0,2.5686274509803924,131.0,51.0
19,-31.624710416666666,117.39289583333333,2243.0,2272.0,2.0689655172413794,60.0,29.0
20,-31.609930952380953,117.63059047619048,2738.0,2763.0,1.84,46.0,25.0
21,-31.606837356321844,117.6401103448276,2781.0,2902.0,2.6942148760330578,326.0,121.0
22,-31.604999999999997,117.64678181818181,2910.0,2952.0,3.761904761904762,158.0,42.0
23,-31.603839814814812,117.65071574074074,2977.0,3048.0,2.323943661971831,165.0,71.0
24,-31.58293333333333,117.72749444444445,3178.0,3199.0,4.380952380952381,92.0,21.0
25,-31.58236805555556,117.73192708333333,3224.0,3324.0,3.36,336.0,100.0
26,-31.58167738095238,117.73559642857143,3328.0,3382.0,2.6481481481481484,143.0,54.0
27,-31.563033333333326,117.7845277777778,3452.0,3472.0,3.6,72.0,20.0
28,-31.46876140350877,118.15530789473682,4120.0,4192.0,2.5694444444444446,185.0,72.0
29,-31.469147916666667,118.15768333333334,4196.0,4224.0,2.5357142857142856,71.0,28.0
30,-31.470687878787874,118.1602409090909,4228.0,4268.0,3.35,134.0,40.0
31,-31.471342857142854,118.16440416666667,4272.0,4384.0,3.1339285714285716,351.0,112.0
32,-31.47062380952381,118.16598095238093,4388.0,4412.0,3.1666666666666665,76.0,24.0
33,-31.440238095238097,118.25275476190475,4559.0,4584.0,4.96,124.0,25.0
34,-31.41576611111111,118.35457000000001,4786.0,4904.0,3.864406779661017,456.0,118.0
35,-31.412805757575754,118.36442727272728,4908.0,5130.0,3.4054054054054053,756.0,222.0
36,-31.391908333333333,118.46276388888889,5262.0,5282.0,4.45,89.0,20.0
37,-31.374043333333333,118.6960316666667,5634.0,5714.0,5.5625,445.0,80.0
38,-31.37012522522523,118.6970126126126,5718.0,5866.0,3.324324324324324,492.0,148.0
39,-31.335254999999997,118.82265833333334,6074.0,6110.0,7.083333333333333,255.0,36.0
40,-31.25138550724638,119.31137898550723,7101.0,7194.0,3.2903225806451615,306.0,93.0
41,-31.251920833333333,119.31241041666667,7218.0,7249.0,2.3225806451612905,72.0,31.0
42,-31.251563888888885,119.31313055555556,7253.0,7274.0,3.0476190476190474,64.0,21.0
43,-31.25056015625,119.31600963541666,7278.0,7538.0,2.9,754.0,260.0
44,-31.25059375,119.31890625,7564.0,7593.0,2.7241379310344827,79.0,29.0
45,-31.23898939393939,119.34874393939396,7654.0,7681.0,1.9259259259259258,52.0,27.0
46,-31.22711041666667,119.34088958333334,7712.0,7741.0,1.5172413793103448,44.0,29.0
47,-31.18853690476191,119.17306071428574,8017.0,8073.0,3.5535714285714284,199.0,56.0
48,-31.187077777777777,119.16944444444444,8081.0,8126.0,2.911111111111111,131.0,45.0
49,-31.185268518518512,119.16969166666667,8134.0,8205.0,2.436619718309859,173.0,71.0
50,-31.184018518518524,119.16994074074074,8210.0,8242.0,1.78125,57.0,32.0
51,-31.167608333333334,119.03543125,8625.0,8654.0,2.793103448275862,81.0,29.0
52,-31.146670216049383,118.93163117283952,8945.0,9393.0,4.049107142857143,1814.0,448.0
53,-31.092560256410252,118.68841153846152,9848.0,9899.0,4.450980392156863,227.0,51.0
54,-31.092361111111114,118.68004722222223,9912.0,9933.0,6.0,126.0,21.0
55,-31.090030808080808,118.67881818181817,9941.0,10075.0,2.5223880597014925,338.0,134.0
56,-31.07360227272727,118.57096439393939,10266.0,10355.0,5.123595505617978,456.0,89.0
57,-31.070841666666666,118.57159166666666,10359.0,10381.0,3.909090909090909,86.0,22.0
58,-31.060574999999996,118.5209861111111,10505.0,10526.0,3.8095238095238093,80.0,21.0
59,-31.046716666666665,118.4045488888889,10729.0,10788.0,5.271186440677966,311.0,59.0
60,-31.027848484848487,118.2919186868687,11017.0,11152.0,4.074074074074074,550.0,135.0
61,-31.026384523809526,118.2935142857143,11156.0,11209.0,2.830188679245283,150.0,53.0
62,-30.986969444444444,118.13172222222221,11497.0,11518.0,2.4285714285714284,51.0,21.0
63,-30.954980701754387,117.92142982456141,11892.0,11968.0,3.026315789473684,230.0,76.0
64,-30.940788333333337,117.80653,12206.0,12246.0,3.45,138.0,40.0
65,-30.9375380952381,117.79955952380952,12280.0,12305.0,2.8,70.0,25.0
66,-30.93811666666667,117.80117592592595,12374.0,12408.0,3.0588235294117645,104.0,34.0
67,-30.93856785714286,117.79912857142857,12443.0,12500.0,3.2280701754385963,184.0,57.0
68,-30.93849375,117.80058125,12504.0,12568.0,3.0,192.0,64.0
69,-30.922855,117.61357166666669,12930.0,12970.0,3.15,126.0,40.0
70,-30.913949462365593,117.55187715053765,13123.0,13380.0,3.412451361867704,877.0,257.0
71,-30.882163888888886,117.45532777777777,13578.0,13599.0,5.142857142857143,108.0,21.0
72,-30.871096376811593,117.4050384057971,13715.0,13809.0,5.202127659574468,489.0,94.0
73,-30.86892666666667,117.40540833333333,13815.0,13853.0,3.710526315789474,141.0,38.0
74,-30.868361111111113,117.40262222222223,13873.0,13894.0,2.8095238095238093,59.0,21.0
75,-30.82256388888889,117.28188055555556,14153.0,14175.0,3.4545454545454546,76.0,22.0
76,-30.795702777777777,117.22125277777779,14280.0,14330.0,3.6,180.0,50.0
77,-30.809069047619044,117.1246238095238,14573.0,14597.0,3.875,93.0,24.0
78,-30.811008333333334,117.12949166666668,14630.0,14652.0,1.9090909090909092,42.0,22.0
79,-30.830635416666667,117.12405416666667,14734.0,14764.0,2.3,69.0,30.0
80,-30.830573611111117,117.12600277777777,14781.0,14826.0,3.7111111111111112,167.0,45.0
81,-30.8319,117.12836111111112,14830.0,14868.0,3.026315789473684,115.0,38.0
82,-31.12203333333333,117.13896904761906,15438.0,15462.0,4.916666666666667,118.0,24.0
83,-31.31841851851852,117.14824814814817,15842.0,15876.0,2.5294117647058822,86.0,34.0
84,-31.389036363636365,117.15843787878788,15993.0,16034.0,3.1219512195121952,128.0,41.0
85,-31.604424999999996,117.21195277777777,16425.0,16446.0,5.476190476190476,115.0,21.0
