cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.607448051948055,117.19114978354978,181.0,257.0,3.3552631578947367,255.0,76.0
1,-31.620432456140353,117.18346535087719,263.0,300.0,4.675675675675675,173.0,37.0
2,-31.619027777777774,117.19109603174604,303.0,323.0,3.55,71.0,20.0
3,-31.61985215053764,117.18292204301076,328.0,358.0,4.533333333333333,136.0,30.0
4,-31.620911111111106,117.17783888888891,366.0,386.0,1.95,39.0,20.0
5,-31.64611474358975,117.25438397435897,1086.0,1111.0,2.4,60.0,25.0
6,-31.646534090909086,117.25572121212122,1113.0,1134.0,3.4285714285714284,72.0,21.0
7,-31.646682051282045,117.25770576923077,1140.0,1165.0,3.28,82.0,25.0
8,-31.646890277777775,117.25984652777777,1166.0,1189.0,3.739130434782609,86.0,23.0
9,-31.64725641025641,117.26112371794872,1191.0,1216.0,4.24,106.0,25.0
10,-31.646343169398907,117.26423278688524,1220.0,1280.0,3.8,228.0,60.0
11,-31.648028472222222,117.27231666666665,1335.0,1358.0,3.3043478260869565,76.0,23.0
12,-31.648682575757576,117.27667651515152,1417.0,1438.0,2.4285714285714284,51.0,21.0
13,-31.651534782608692,117.2812355072464,1457.0,1479.0,2.8636363636363638,63.0,22.0
14,-31.65180909090909,117.28406287878789,1484.0,1505.0,2.4285714285714284,51.0,21.0
15,-31.65602,117.28881466666668,1542.0,1566.0,1.8333333333333333,44.0,24.0
16,-31.65655634920635,117.29284444444446,1636.0,1656.0,2.1,42.0,20.0
17,-31.659065942028985,117.29024710144925,1823.0,1845.0,2.8181818181818183,62.0,22.0
18,-31.660347712418304,117.28192026143789,2036.0,2086.0,3.06,153.0,50.0
19,-31.662266666666667,117.28495128205128,2090.0,2154.0,3.296875,211.0,64.0
20,-31.66307301587302,117.28833174603174,2157.0,2177.0,3.35,67.0,20.0
21,-31.661494666666666,117.29378533333335,2270.0,2294.0,3.25,78.0,24.0
22,-31.66055714285714,117.29431190476191,2300.0,2320.0,2.7,54.0,20.0
23,-31.637323931623932,117.2886128205128,2552.0,2590.0,6.078947368421052,231.0,38.0
24,-31.63799249084249,117.29462289377291,2592.0,2682.0,4.566666666666666,411.0,90.0
25,-31.63156376811594,117.36427391304348,2828.0,2850.0,4.636363636363637,102.0,22.0
26,-31.631141666666664,117.63824421296295,3463.0,3534.0,3.084507042253521,219.0,71.0
27,-31.608552127659575,117.77270248226951,3861.0,3907.0,3.391304347826087,156.0,46.0
28,-31.608989682539686,117.77684841269841,3947.0,3967.0,2.45,49.0,20.0
29,-31.60658209876543,117.7836339506173,4077.0,4103.0,2.0384615384615383,53.0,26.0
30,-31.60735061728395,117.78487469135806,4129.0,4155.0,2.9615384615384617,77.0,26.0
31,-31.6067303030303,117.7856621212121,4166.0,4187.0,2.7142857142857144,57.0,21.0
32,-31.560497142857137,117.93000285714284,4688.0,4722.0,2.4705882352941178,84.0,34.0
33,-31.56110961538462,117.93187115384616,4725.0,4750.0,2.72,68.0,25.0
34,-31.559825786163522,117.93850597484277,4838.0,4890.0,2.8076923076923075,146.0,52.0
35,-31.559400000000004,117.94406825396825,4929.0,4949.0,2.1,42.0,20.0
36,-31.54323888888889,118.0362576388889,5173.0,5196.0,3.652173913043478,84.0,23.0
37,-31.5430953125,118.03861614583333,5200.0,5231.0,3.2580645161290325,101.0,31.0
38,-31.543413492063493,118.04776587301588,5344.0,5364.0,2.55,51.0,20.0
39,-31.460862820512823,118.32722649572649,5925.0,5963.0,2.8947368421052633,110.0,38.0
40,-31.456824305555557,118.34125138888889,5968.0,5991.0,2.3043478260869565,53.0,23.0
41,-31.431242361111106,118.43645277777777,6185.0,6208.0,4.0,92.0,23.0
42,-31.430897530864197,118.43831975308642,6212.0,6238.0,3.6538461538461537,95.0,26.0
43,-31.429614772727277,118.4391143939394,6239.0,6282.0,3.5813953488372094,154.0,43.0
44,-31.429133333333333,118.43936439393939,6284.0,6305.0,3.238095238095238,68.0,21.0
45,-31.429357333333336,118.44009533333333,6308.0,6332.0,3.4166666666666665,82.0,24.0
46,-31.429588888888887,118.44110808080808,6335.0,6367.0,3.625,116.0,32.0
47,-31.42901403508772,118.44128815789475,6369.0,6406.0,3.324324324324324,123.0,37.0
48,-31.427012280701756,118.45258245614035,6493.0,6530.0,2.108108108108108,78.0,37.0
49,-31.39007017543859,118.63188245614035,6848.0,6885.0,2.945945945945946,109.0,37.0
50,-31.368464393939394,118.75355075757578,7124.0,7145.0,3.142857142857143,66.0,21.0
