cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.61886524822695,117.18854290780138,181.0,227.0,4.043478260869565,186.0,46.0
1,-31.626165217391303,117.22483768115943,463.0,485.0,2.590909090909091,57.0,22.0
2,-31.627225694444444,117.22737708333334,490.0,513.0,3.3043478260869565,76.0,23.0
3,-31.629272222222223,117.22930888888891,517.0,561.0,3.5681818181818183,157.0,44.0
4,-31.63230705128205,117.2328955128205,585.0,610.0,3.72,93.0,25.0
5,-31.634458518518514,117.23465740740741,616.0,660.0,3.2954545454545454,145.0,44.0
6,-31.618179487179493,117.27947948717949,1186.0,1224.0,3.236842105263158,123.0,38.0
7,-31.6209765625,117.281640625,1233.0,1264.0,2.5806451612903225,80.0,31.0
8,-31.625211363636364,117.28430151515153,1289.0,1310.0,2.0952380952380953,44.0,21.0
9,-31.608754545454552,117.36995075757577,1533.0,1554.0,2.4761904761904763,52.0,21.0
10,-31.59842575757576,117.44226843434343,1734.0,1865.0,4.656488549618321,610.0,131.0
11,-31.601660317460322,117.44583492063491,1885.0,1905.0,4.35,87.0,20.0
12,-31.603386,117.446584,1908.0,1932.0,3.625,87.0,24.0
13,-31.604911904761906,117.45061269841268,1962.0,1982.0,3.45,69.0,20.0
14,-31.57058827160494,117.64274259259258,2446.0,2472.0,3.9615384615384617,103.0,26.0
15,-31.57201140350877,117.64644342105262,2492.0,2529.0,3.135135135135135,116.0,37.0
16,-31.549210714285714,117.7391380952381,2789.0,2816.0,3.6666666666666665,99.0,27.0
17,-31.55037244897959,117.74128299319727,2826.0,2874.0,3.8333333333333335,184.0,48.0
18,-31.554286111111107,117.74474611111113,2918.0,2947.0,3.9655172413793105,115.0,29.0
19,-31.555964814814818,117.74615864197533,2949.0,2975.0,3.269230769230769,85.0,26.0
20,-31.5402880952381,117.81785793650793,3152.0,3172.0,3.45,69.0,20.0
21,-31.508895454545456,117.97308838383839,3562.0,3594.0,2.03125,65.0,32.0
22,-31.509481818181815,117.97685606060605,3614.0,3635.0,2.0952380952380953,44.0,21.0
23,-31.49997777777778,118.01679682539684,3725.0,3745.0,2.8,56.0,20.0
24,-31.500123188405798,118.02043623188406,3819.0,3841.0,2.5,55.0,22.0
25,-31.500487878787876,118.02106439393938,3843.0,3864.0,2.761904761904762,58.0,21.0
26,-31.471486206896554,118.13628218390807,4197.0,4225.0,2.4642857142857144,69.0,28.0
27,-31.472361333333332,118.13767533333333,4228.0,4252.0,2.3333333333333335,56.0,24.0
28,-31.441505303030297,118.22506439393938,4571.0,4592.0,2.761904761904762,58.0,21.0
29,-31.40763222222222,118.35066962962959,5038.0,5082.0,3.25,143.0,44.0
30,-31.4082396969697,118.3526766666667,5104.0,5158.0,3.259259259259259,176.0,54.0
31,-31.408299315068497,118.35420776255708,5159.0,5231.0,3.4722222222222223,250.0,72.0
32,-31.408443678160918,118.3551908045977,5247.0,5275.0,2.6785714285714284,75.0,28.0
33,-31.407297101449277,118.35512681159423,5317.0,5339.0,2.909090909090909,64.0,22.0
34,-31.405830882352944,118.35423431372548,5345.0,5378.0,2.515151515151515,83.0,33.0
35,-31.40126458333333,118.36267682291667,5422.0,5485.0,3.492063492063492,220.0,63.0
36,-31.40006519607843,118.36456176470585,5486.0,5519.0,3.6363636363636362,120.0,33.0
37,-31.39946049382716,118.36543888888889,5522.0,5548.0,3.269230769230769,85.0,26.0
38,-31.37443472222222,118.49459930555555,5807.0,5830.0,5.0,115.0,23.0
39,-31.36619012345679,118.52511049382714,5886.0,5912.0,4.769230769230769,124.0,26.0
40,-31.365174074074073,118.52614259259258,5928.0,5963.0,3.4285714285714284,120.0,35.0
41,-31.36281416666667,118.52730291666667,5972.0,6051.0,2.4177215189873418,191.0,79.0
42,-31.35200064102564,118.58719358974362,6165.0,6190.0,3.16,79.0,25.0
43,-31.339176984126983,118.66886984126987,6466.0,6486.0,2.0,40.0,20.0
44,-31.308578160919538,118.82346264367817,6863.0,6891.0,3.892857142857143,109.0,28.0
45,-31.30480714285714,118.82839126984126,6965.0,6985.0,2.0,40.0,20.0
46,-31.29702916666667,118.86748499999999,7077.0,7116.0,4.6923076923076925,183.0,39.0
47,-31.296828703703703,118.868212654321,7117.0,7170.0,4.735849056603773,251.0,53.0
48,-31.295358024691357,118.87093827160494,7221.0,7247.0,3.269230769230769,85.0,26.0
49,-31.295101587301588,118.87139999999997,7251.0,7271.0,3.1,62.0,20.0
50,-31.213955555555554,119.22970079365079,8882.0,8902.0,3.35,67.0,20.0
51,-31.217438095238094,119.23272063492065,9013.0,9033.0,2.4,48.0,20.0
52,-31.217142666666668,119.23445999999998,9055.0,9079.0,3.2916666666666665,79.0,24.0
53,-31.21706590909091,119.2376356060606,9141.0,9162.0,2.857142857142857,60.0,21.0
54,-31.215821428571434,119.20972698412697,9336.0,9356.0,4.65,93.0,20.0
55,-31.194340990990987,119.13004954954954,9556.0,9592.0,3.3055555555555554,119.0,36.0
56,-31.164361333333336,119.00952066666667,9947.0,9971.0,3.4166666666666665,82.0,24.0
57,-31.1473,118.92093888888888,10302.0,10325.0,3.391304347826087,78.0,23.0
58,-31.146891666666672,118.92137727272726,10326.0,10347.0,3.4761904761904763,73.0,21.0
59,-31.145965185185187,118.92406407407405,10419.0,10463.0,2.5681818181818183,113.0,44.0
60,-31.14506111111111,118.92628095238094,10466.0,10486.0,2.9,58.0,20.0
61,-31.12082266666667,118.82231133333335,10793.0,10817.0,3.2916666666666665,79.0,24.0
62,-31.097399999999997,118.6509956521739,11223.0,11245.0,2.227272727272727,49.0,22.0
63,-31.096186111111113,118.6494226851852,11285.0,11320.0,2.9714285714285715,104.0,35.0
64,-31.077102976190474,118.55604702380954,11630.0,11685.0,3.963636363636364,218.0,55.0
65,-31.07596333333333,118.55664393939396,11686.0,11740.0,4.092592592592593,221.0,54.0
66,-31.072725746268663,118.55836815920398,11764.0,11897.0,3.9022556390977443,519.0,133.0
67,-31.0706537037037,118.55967083333331,11911.0,11946.0,2.1142857142857143,74.0,35.0
68,-31.024326515151515,118.19753409090907,12834.0,12855.0,4.666666666666667,98.0,21.0
69,-31.023674149659865,118.19832414965985,12856.0,12904.0,3.8958333333333335,187.0,48.0
70,-31.02309959349594,118.19953617886179,12906.0,12946.0,4.85,194.0,40.0
71,-31.022264516129027,118.20107258064516,12974.0,13004.0,4.133333333333334,124.0,30.0
72,-31.02164375,118.20189027777776,13024.0,13047.0,3.347826086956522,77.0,23.0
73,-31.01829444444444,118.20527430555558,13104.0,13127.0,4.3478260869565215,100.0,23.0
74,-31.01670512820513,118.20616153846153,13128.0,13179.0,3.0,153.0,51.0
75,-31.013096212121205,118.20972196969697,13245.0,13266.0,2.761904761904762,58.0,21.0
76,-30.989108518518513,118.09746148148147,13517.0,13561.0,3.2045454545454546,141.0,44.0
77,-30.96236231884058,117.93383333333334,13952.0,13974.0,3.9545454545454546,87.0,22.0
78,-30.92965946969696,117.791178030303,14436.0,14479.0,3.4651162790697674,149.0,43.0
79,-30.928908333333336,117.7935122222222,14481.0,14510.0,2.896551724137931,84.0,29.0
80,-30.927688020833333,117.7953640625,14511.0,14542.0,2.6451612903225805,82.0,31.0
81,-30.926736419753087,117.79680185185182,14551.0,14577.0,2.6923076923076925,70.0,26.0
82,-30.924624358974356,117.79811346153845,14622.0,14647.0,1.96,49.0,25.0
83,-30.918298611111112,117.79053402777777,14741.0,14764.0,3.0869565217391304,71.0,23.0
84,-30.876986363636362,117.66298181818182,15239.0,15260.0,2.9523809523809526,62.0,21.0
85,-30.874533854166668,117.66812760416667,15311.0,15342.0,2.5806451612903225,80.0,31.0
86,-30.86769812206573,117.66901877934272,15402.0,15472.0,3.2142857142857144,225.0,70.0
87,-30.8663951754386,117.67079692982455,15473.0,15510.0,3.108108108108108,115.0,37.0
88,-30.865261851851848,117.67263518518519,15513.0,15557.0,4.409090909090909,194.0,44.0
89,-30.864182183908046,117.67458908045977,15566.0,15594.0,2.9642857142857144,83.0,28.0
90,-30.862834375,117.67525,15598.0,15629.0,3.3225806451612905,103.0,31.0
91,-30.827530952380958,117.43334285714285,16270.0,16290.0,3.75,75.0,20.0
92,-30.821794444444443,117.38894320987654,16407.0,16433.0,4.230769230769231,110.0,26.0
93,-30.819511006289307,117.39178679245285,16476.0,16528.0,4.019230769230769,209.0,52.0
94,-30.817870289855072,117.39371884057972,16532.0,16554.0,2.8181818181818183,62.0,22.0
95,-30.794509523809527,117.25174829931971,17003.0,17051.0,3.3541666666666665,161.0,48.0
96,-30.793918939393937,117.25227500000001,17056.0,17077.0,2.4761904761904763,52.0,21.0
97,-30.793299549549545,117.25260945945946,17078.0,17114.0,2.6666666666666665,96.0,36.0
98,-30.653658730158728,116.91774226190476,18337.0,18420.0,3.36144578313253,279.0,83.0
99,-30.652986150234746,116.9189884976526,18421.0,18491.0,2.757142857142857,193.0,70.0
100,-30.65018888888889,116.919,18550.0,18570.0,2.8,56.0,20.0
101,-30.623161333333336,116.81860866666666,18794.0,18818.0,2.5416666666666665,61.0,24.0
102,-30.616740697674416,116.80897015503874,18830.0,18915.0,4.964705882352941,422.0,85.0
103,-30.613983189655176,116.81409037356322,18916.0,19031.0,4.086956521739131,470.0,115.0
104,-30.583305303030308,116.72159924242425,19270.0,19291.0,4.666666666666667,98.0,21.0
105,-30.674458333333337,116.67438636363636,20039.0,20060.0,3.5238095238095237,74.0,21.0
106,-30.736150000000002,116.70653174603173,20284.0,20304.0,3.35,67.0,20.0
107,-30.821925694444445,116.76343819444446,20801.0,20824.0,2.6956521739130435,62.0,23.0
108,-30.84865222222222,116.77742555555558,20895.0,20924.0,2.689655172413793,78.0,29.0
109,-30.964525000000002,116.8503005952381,21265.0,21292.0,3.185185185185185,86.0,27.0
110,-30.965538888888887,116.85175625,21293.0,21316.0,2.608695652173913,60.0,23.0
111,-30.965948412698406,116.85675634920634,21401.0,21421.0,2.3,46.0,20.0
112,-31.09844305555556,116.95802777777777,21999.0,22022.0,2.0869565217391304,48.0,23.0
113,-31.16440714285714,117.00801904761904,22544.0,22564.0,3.25,65.0,20.0
114,-31.16352222222222,117.00952026143791,22569.0,22619.0,2.72,136.0,50.0
115,-31.162566666666667,117.01232727272726,22650.0,22671.0,3.5238095238095237,74.0,21.0
116,-31.163487373737375,117.01407727272726,22676.0,22708.0,3.40625,109.0,32.0
