cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.11518814814815,116.91543629629628,181.0,225.0,2.9545454545454546,130.0,44.0
1,-32.411538666666665,116.93922133333334,1843.0,1867.0,4.75,114.0,24.0
2,-32.41189523809524,116.939426984127,1868.0,1888.0,4.4,88.0,20.0
3,-32.41243787878787,116.93969924242424,1889.0,1910.0,4.095238095238095,86.0,21.0
4,-32.510618253968254,116.92737301587303,2161.0,2181.0,3.9,78.0,20.0
5,-32.53952380952381,116.92255555555555,2290.0,2310.0,3.0,60.0,20.0
6,-32.66448712121212,116.91168787878787,2849.0,2871.0,3.8181818181818183,84.0,22.0
7,-33.09358819444444,116.97724097222222,4289.0,4312.0,4.434782608695652,102.0,23.0
8,-33.09507583333334,116.97632666666667,4336.0,4356.0,3.65,73.0,20.0
9,-33.104551785714285,116.979025,4483.0,4510.0,3.3703703703703702,91.0,27.0
10,-33.35386916666666,117.07609749999999,5634.0,5654.0,2.45,49.0,20.0
11,-33.35542903225807,117.0760559139785,5656.0,5687.0,2.774193548387097,86.0,31.0
12,-33.36103166666667,117.07854444444447,5719.0,5749.0,3.3666666666666667,101.0,30.0
13,-33.350803030303034,117.2084681818182,6108.0,6129.0,2.142857142857143,45.0,21.0
14,-33.34960364583334,117.22797135416667,6161.0,6193.0,3.875,124.0,32.0
15,-33.31789444444445,117.45670763888889,6933.0,6957.0,3.8333333333333335,92.0,24.0
16,-33.32328525641025,117.4595403846154,7106.0,7131.0,2.96,74.0,25.0
17,-33.3016292929293,117.57946363636366,7408.0,7440.0,3.28125,105.0,32.0
18,-33.288704861111114,117.69248472222223,7830.0,7853.0,3.9130434782608696,90.0,23.0
19,-33.28917272727272,117.69467651515151,7868.0,7911.0,3.441860465116279,148.0,43.0
20,-33.24288968253968,117.89579603174604,8413.0,8433.0,3.75,75.0,20.0
21,-33.11360388888889,118.33973777777778,10453.0,10482.0,3.3793103448275863,98.0,29.0
22,-33.11392611111111,118.33872388888888,10601.0,10630.0,4.310344827586207,125.0,29.0
23,-33.11392398373984,118.33844349593495,10632.0,10672.0,3.7,148.0,40.0
24,-33.09740158730158,118.47072380952379,11075.0,11095.0,4.05,81.0,20.0
25,-32.84870166666667,118.3737075,12394.0,12414.0,2.4,48.0,20.0
26,-32.75827901234568,118.31062777777777,13844.0,13870.0,2.5384615384615383,66.0,26.0
27,-32.76115942028986,118.31103768115942,13953.0,13976.0,3.782608695652174,87.0,23.0
28,-32.76152272727273,118.31132121212121,13977.0,13999.0,3.909090909090909,86.0,22.0
29,-32.76259365079365,118.31199960317463,14025.0,14067.0,3.9047619047619047,164.0,42.0
30,-32.76336587301588,118.31244365079363,14082.0,14104.0,3.772727272727273,83.0,22.0
31,-32.764292342342344,118.31382972972972,14120.0,14158.0,4.052631578947368,154.0,38.0
32,-32.76480942028985,118.3151420289855,14161.0,14184.0,3.608695652173913,83.0,23.0
33,-32.76554427083333,118.31576354166666,14187.0,14218.0,3.096774193548387,96.0,31.0
34,-32.766638095238086,118.31572142857145,14219.0,14240.0,3.380952380952381,71.0,21.0
35,-32.5901217948718,118.31284551282053,14803.0,14828.0,3.04,76.0,25.0
36,-32.589444,118.31476733333335,14843.0,14867.0,3.125,75.0,24.0
37,-32.59011590909092,118.31525378787879,14868.0,14889.0,3.2857142857142856,69.0,21.0
38,-32.59140632183908,118.31701954022988,14945.0,14974.0,2.9655172413793105,86.0,29.0
39,-32.59205681818182,118.31787045454544,14975.0,14996.0,2.7142857142857144,57.0,21.0
40,-32.53361666666667,118.33255476190477,15186.0,15206.0,3.5,70.0,20.0
41,-32.397121428571424,118.37843412698413,15621.0,15641.0,3.3,66.0,20.0
42,-32.397511842105274,118.3796057017544,15724.0,15762.0,3.210526315789474,122.0,38.0
43,-32.398351351351344,118.38064864864862,15763.0,15800.0,3.081081081081081,114.0,37.0
44,-32.40003571428571,118.38170555555556,15825.0,15845.0,3.0,60.0,20.0
45,-32.38020833333333,118.3884803030303,15922.0,15943.0,5.761904761904762,121.0,21.0
46,-32.36799149659864,118.39032755102039,15968.0,16016.0,4.729166666666667,227.0,48.0
47,-32.10496578947368,118.41390614035089,17116.0,17136.0,2.75,55.0,20.0
48,-32.06260384615384,118.26601239316238,17651.0,17691.0,4.7,188.0,40.0
49,-32.063407543859654,118.26453631578948,17692.0,17788.0,4.583333333333333,440.0,96.0
50,-32.06227243589744,118.16995320512821,18119.0,18144.0,3.28,82.0,25.0
51,-32.04685833333333,118.06584393939396,18404.0,18425.0,4.523809523809524,95.0,21.0
52,-32.05786287878787,117.97496060606062,18744.0,18765.0,3.0,63.0,21.0
53,-32.060524242424236,117.97149848484845,18801.0,18822.0,3.9047619047619047,82.0,21.0
54,-32.06150813953489,117.97353643410855,18823.0,18866.0,3.953488372093023,170.0,43.0
55,-32.04864425287356,117.7136350574713,19778.0,19807.0,3.5517241379310347,103.0,29.0
56,-32.04096025641026,117.39850384615384,21237.0,21262.0,2.52,63.0,25.0
