cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.59629230769231,117.23448205128207,184.0,232.0,3.2291666666666665,155.0,48.0
1,-31.599015277777777,117.2067263888889,272.0,316.0,3.6363636363636362,160.0,44.0
2,-31.619379629629627,117.21082037037039,332.0,364.0,4.1875,134.0,32.0
3,-31.622175,117.21335416666666,393.0,419.0,3.1923076923076925,83.0,26.0
4,-31.624704861111113,117.2134611111111,444.0,467.0,2.782608695652174,64.0,23.0
5,-31.62609848484848,117.21388484848485,474.0,495.0,3.1904761904761907,67.0,21.0
6,-31.626883333333335,117.21429047619048,499.0,523.0,2.75,66.0,24.0
7,-31.628231666666665,117.21495833333333,527.0,563.0,2.3333333333333335,84.0,36.0
8,-31.629364814814817,117.21760185185184,599.0,631.0,1.84375,59.0,32.0
9,-31.628444444444444,117.21985833333333,635.0,655.0,2.35,47.0,20.0
10,-31.631909999999998,117.20779666666665,895.0,931.0,2.7222222222222223,98.0,36.0
11,-31.633477083333332,117.2067625,939.0,967.0,2.6785714285714284,75.0,28.0
12,-31.619613636363635,117.20156818181822,1056.0,1140.0,3.7738095238095237,317.0,84.0
13,-31.625392156862752,117.20187303921568,1144.0,1255.0,2.5495495495495497,283.0,111.0
14,-31.632526190476188,117.20063809523809,1327.0,1351.0,2.0833333333333335,50.0,24.0
15,-31.634719444444443,117.20161944444443,1355.0,1375.0,2.35,47.0,20.0
16,-31.63723095238095,117.19913571428572,1391.0,1415.0,1.75,42.0,24.0
17,-31.63343888888889,117.18748055555555,1550.0,1570.0,2.2,44.0,20.0
18,-31.63845625,117.19609791666667,1574.0,1602.0,3.6785714285714284,103.0,28.0
19,-31.642245138888885,117.19764236111111,1610.0,1702.0,3.8152173913043477,351.0,92.0
20,-31.646564285714284,117.20092380952381,1750.0,1774.0,3.75,90.0,24.0
21,-31.648248148148145,117.20400740740742,1798.0,1830.0,2.15625,69.0,32.0
22,-31.635097222222225,117.20069166666667,1890.0,1910.0,4.15,83.0,20.0
23,-31.634566666666668,117.1986625,1990.0,2034.0,0.75,33.0,44.0
24,-31.444120833333333,117.15649375000001,2503.0,2531.0,5.928571428571429,166.0,28.0
25,-31.213590350877194,117.01794210526316,3208.0,3280.0,2.8055555555555554,202.0,72.0
26,-31.21954074074074,117.0154,3308.0,3340.0,3.0,96.0,32.0
27,-31.221554761904766,117.0135619047619,3344.0,3368.0,3.9583333333333335,95.0,24.0
28,-31.22794709302325,117.01468895348839,3376.0,3716.0,3.976470588235294,1352.0,340.0
29,-31.092127777777776,116.83469166666664,4180.0,4201.0,3.380952380952381,71.0,21.0
30,-31.002519444444445,116.74859166666668,4457.0,4477.0,3.5,70.0,20.0
31,-30.99490555555555,116.75871666666666,4521.0,4553.0,3.46875,111.0,32.0
32,-30.99823888888889,116.7592777777778,4573.0,4593.0,3.75,75.0,20.0
33,-31.001621212121208,116.75809393939393,4613.0,4653.0,2.8,112.0,40.0
34,-31.004271212121214,116.76351666666666,4665.0,4706.0,3.292682926829268,135.0,41.0
35,-30.982683333333334,116.75234761904764,4746.0,4770.0,4.916666666666667,118.0,24.0
36,-30.95107121212121,116.70668030303028,4908.0,4936.0,4.071428571428571,114.0,28.0
37,-30.866616666666662,116.63393333333333,5156.0,5180.0,6.166666666666667,148.0,24.0
38,-30.767135000000003,116.52956416666666,5544.0,5620.0,2.5789473684210527,196.0,76.0
39,-30.762125,116.53104444444443,5624.0,5644.0,1.95,39.0,20.0
40,-30.690748809523814,116.50440555555554,5832.0,5996.0,4.067073170731708,667.0,164.0
