lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.62606880401235,117.21386871417548,2.75,66.0,24.0,0,6,-31.625254274691358,117.21344695216048,-31.626883333333335,117.21429047619048,197.96835887446753,24.0,1.0
-31.628146458333333,117.21499729166666,2.3333333333333335,84.0,36.0,1,7,-31.62806125,117.21503625,-31.628231666666665,117.21495833333333,20.334817256746724,36.0,1.0
-31.633586747685186,117.20663090277777,2.6785714285714284,75.0,28.0,3,11,-31.63369641203704,117.20649930555555,-31.633477083333332,117.2067625,34.86651533751121,28.0,1.0
-31.62455252133261,117.2019939655955,2.5495495495495497,283.0,111.0,4,13,-31.623712885802473,117.20211489197531,-31.625392156862752,117.20187303921568,188.12557419180615,76.0,0.8636363636363636
-31.63721225378788,117.19791876893939,3.6785714285714284,103.0,28.0,5,18,-31.635968257575755,117.19973962121212,-31.63845625,117.19609791666667,442.03636460525473,28.0,1.0
-31.642439459325395,117.1974458829365,3.8152173913043477,351.0,92.0,6,19,-31.64263377976191,117.19724940476192,-31.642245138888885,117.19764236111111,57.020204399786856,52.0,1.0
-31.214067605994153,117.01753938596491,2.8055555555555554,202.0,72.0,7,25,-31.214544861111108,117.01713666666666,-31.213590350877194,117.01794210526316,130.88901352923477,56.0,0.7777777777777778
-31.22296369254299,117.01366057787698,3.9583333333333335,95.0,24.0,8,27,-31.224372623181218,117.01375925099205,-31.221554761904766,117.0135619047619,313.8937412184947,24.0,1.0
-31.229730996006573,117.015119034825,3.976470588235294,1352.0,340.0,9,28,-31.2315148989899,117.01554911616161,-31.22794709302325,117.01468895348839,405.0650837038645,96.0,1.0
-30.998452256944447,116.75919097222223,3.75,75.0,20.0,10,32,-30.998665625,116.75910416666666,-30.99823888888889,116.7592777777778,50.25352931364465,20.0,1.0
-30.76711564814815,116.52906680555554,2.5789473684210527,196.0,76.0,11,38,-30.767096296296298,116.52856944444444,-30.767135000000003,116.52956416666666,95.1379031883701,52.0,0.8125
-30.691408258928575,116.50515538194443,4.067073170731708,667.0,164.0,12,40,-30.692067708333333,116.50590520833333,-30.690748809523814,116.50440555555554,205.11042252307388,56.0,1.0
-30.699387611607143,117.38721063988095,2.6666666666666665,160.0,60.0,13,52,-30.699143973214284,117.38733273809524,-30.69963125,117.38708854166666,58.99921522933868,56.0,0.9333333333333333
-30.66898152536121,117.49982933328246,2.7291666666666665,131.0,48.0,14,53,-30.6689361276455,117.49997020502646,-30.66902692307692,117.49968846153848,28.775765894147728,48.0,1.0
-30.673081168831168,117.502258008658,3.425,137.0,40.0,15,55,-30.673071428571426,117.50210238095238,-30.673090909090913,117.50241363636364,29.84655450790986,40.0,1.0
-30.657171056547618,117.60905186011905,4.092592592592593,442.0,108.0,16,60,-30.658046874999997,117.61007395833334,-30.656295238095236,117.60802976190477,275.99028656406875,44.0,0.7857142857142857
-30.77445091540404,118.01455209911617,4.869047619047619,409.0,84.0,17,71,-30.77589652777778,118.01479131944444,-30.773005303030303,118.01431287878789,324.7231343966807,60.0,0.7142857142857143
-31.24227546296296,117.64941574074075,2.35,47.0,20.0,18,75,-31.2420787037037,117.64920925925927,-31.242472222222222,117.64962222222222,58.78838338773349,20.0,1.0
