cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.12328015873016,116.94409484126984,185.0,349.0,2.3658536585365852,388.0,164.0
1,-32.10525119047619,116.96401190476188,373.0,425.0,2.5961538461538463,135.0,52.0
2,-32.10681904761905,116.96634523809523,453.0,477.0,2.875,69.0,24.0
3,-32.11289179487179,116.96836487179489,481.0,737.0,2.984375,764.0,256.0
4,-32.12007777777777,116.9691148148148,741.0,773.0,2.4375,78.0,32.0
5,-32.134970833333334,116.97781041666666,869.0,897.0,2.9285714285714284,82.0,28.0
6,-32.16318133333333,116.98071466666669,980.0,1076.0,2.4479166666666665,235.0,96.0
7,-32.1686025,116.98682999999998,1084.0,1160.0,5.0394736842105265,383.0,76.0
8,-32.138330952380954,116.95799285714284,1248.0,1272.0,3.7083333333333335,89.0,24.0
9,-32.00313333333333,116.99247857142856,1566.0,1590.0,5.791666666666667,139.0,24.0
10,-31.953872222222223,117.02153333333334,1698.0,1730.0,2.9375,94.0,32.0
11,-31.924991666666667,117.03857222222221,1786.0,1806.0,6.6,132.0,20.0
12,-31.918011904761904,117.04302857142856,1810.0,1834.0,3.75,90.0,24.0
13,-31.870727777777777,117.08569166666666,1952.0,1972.0,6.7,134.0,20.0
14,-31.852266666666665,117.10718055555556,2016.0,2036.0,4.95,99.0,20.0
15,-31.827321428571427,117.13483571428571,2104.0,2128.0,4.625,111.0,24.0
16,-31.79956453900709,117.16188900709221,2192.0,2376.0,4.4728260869565215,823.0,184.0
17,-31.802583333333335,117.16050277777778,2388.0,2408.0,4.2,84.0,20.0
18,-31.766685185185185,117.19153333333333,2504.0,2536.0,4.375,140.0,32.0
19,-31.73580833333333,117.223875,2608.0,2636.0,4.428571428571429,124.0,28.0
20,-31.712120833333334,117.24680208333334,2688.0,2716.0,2.5,70.0,28.0
21,-31.66547083333333,117.27451041666666,2824.0,2852.0,4.071428571428571,114.0,28.0
22,-31.642317948717952,117.2896294871795,2888.0,2936.0,5.208333333333333,250.0,48.0
23,-31.624707142857147,117.31558095238097,2976.0,3000.0,4.375,105.0,24.0
24,-31.561037037037035,117.3811037037037,3180.0,3212.0,4.15625,133.0,32.0
25,-31.472704761904765,117.46323571428572,3464.0,3488.0,3.2916666666666665,79.0,24.0
26,-31.429391666666668,117.50778958333333,3612.0,3640.0,3.892857142857143,109.0,28.0
27,-31.428181818181816,117.51281515151517,3644.0,3684.0,2.625,105.0,40.0
28,-31.43425298507462,117.51138059701493,3688.0,3952.0,3.5568181818181817,939.0,264.0
29,-31.346516666666666,117.53106666666665,4140.0,4172.0,3.5625,114.0,32.0
30,-31.308618518518514,117.53875925925928,4236.0,4268.0,5.25,168.0,32.0
31,-31.213128205128207,117.58882051282052,4488.0,4536.0,3.6875,177.0,48.0
32,-31.212400000000002,117.58948611111111,4540.0,4560.0,1.95,39.0,20.0
33,-31.21098125,117.58801458333332,4564.0,4592.0,2.0714285714285716,58.0,28.0
34,-31.12412586206896,117.62425574712643,4832.0,4944.0,3.4285714285714284,384.0,112.0
35,-31.12599523809524,117.62276428571431,4948.0,4972.0,4.25,102.0,24.0
36,-31.131787333333335,117.62073066666666,4996.0,5092.0,3.2604166666666665,313.0,96.0
37,-31.05711481481482,117.66734259259258,5321.0,5353.0,4.375,140.0,32.0
38,-30.99945,117.71781944444444,5513.0,5533.0,6.65,133.0,20.0
39,-30.992525,117.73140277777776,5553.0,5573.0,5.0,100.0,20.0
40,-30.992542857142862,117.73057857142858,5581.0,5605.0,1.625,39.0,24.0
41,-30.992394166666674,117.73085166666667,5609.0,5685.0,2.75,209.0,76.0
42,-30.986822222222226,117.73364444444444,5697.0,5717.0,5.85,117.0,20.0
43,-30.945779166666668,117.76203125,5806.0,5834.0,4.214285714285714,118.0,28.0
44,-30.945011111111103,117.76616111111112,5838.0,5858.0,4.15,83.0,20.0
45,-30.944366666666664,117.7672705882353,5866.0,5930.0,2.53125,162.0,64.0
46,-30.820247222222225,117.85281388888889,6246.0,6266.0,4.8,96.0,20.0
47,-30.844264814814817,117.8897175925926,6391.0,6459.0,2.7794117647058822,189.0,68.0
48,-30.848142857142857,117.89541666666669,6475.0,6499.0,3.25,78.0,24.0
