cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.647250568181814,117.21517793304668,341.0,420.0,1.7020054493126682,1.7020054493126682,66.90648088279661,39.5,2
1,-31.652165382580385,117.21509156084656,420.0,581.0,1.4412492772591876,1.4300447264406015,57.19524494716619,40.25,4
2,-31.68308723344557,117.2422551627385,1226.0,1434.0,2.5541320530499068,2.5541320530499068,92.73731431966687,42.5,2
3,-31.668619322612088,117.2003299220273,3518.0,3590.0,2.8816511132300926,2.8816511132300926,103.7271400955623,36.0,2
4,-31.34034687484602,117.0660292169664,5151.0,5252.0,2.9562411979434664,3.337263626251384,96.13957433627873,33.666666666666664,3
5,-31.21971745631721,117.03225842853942,5789.0,5881.0,2.1941348973606947,2.116385630498566,67.2093108504396,30.666666666666668,3
6,-30.539544030112047,116.67747263655461,8267.0,8327.0,2.400557882505152,2.400557882505152,70.88015068096232,30.0,2
7,-30.54107598003848,116.67554294986205,8327.0,8423.0,2.3984281895966437,2.4512032085561093,78.27354502015514,32.0,3
8,-30.544078306878305,116.67421375661377,8423.0,8492.0,2.4026383526383475,2.4026383526383475,82.61615186615168,34.5,2
9,-30.44801449594321,116.6585885837845,8856.0,9015.0,4.070753738967702,4.341176470588331,128.3038028915328,31.8,5
10,-30.483213382450554,117.27943038032656,10458.0,10543.0,2.231842332162143,2.3730158730158926,63.226621437105614,28.333333333333332,3
11,-30.53996909722222,117.50883628472221,11229.0,11283.0,2.0368840048450796,2.0368840048450796,55.360795454545375,27.0,2
12,-30.578597978395063,117.57222807007987,11529.0,11643.0,3.1164610377445277,3.1004273504273874,88.6061790307532,28.5,4
13,-30.62016828407225,117.90102633004928,12427.0,12489.0,1.39611223799865,1.39611223799865,43.14072249589506,31.0,2
14,-30.714278234972674,117.91331289890711,12745.0,12854.0,1.3544313653541957,1.3544313653541957,74.33442934021913,54.5,2
15,-30.829634921215177,117.89033070482152,13303.0,13511.0,1.667181884468436,1.7311217008797863,49.331658019189895,29.714285714285715,7
16,-31.000197412808138,117.7698478544364,14093.0,14293.0,1.8190926019876188,1.796934865900399,52.575376361548855,28.571428571428573,7
17,-31.00353719336219,117.77129311868686,14293.0,14352.0,3.887962865396919,3.887962865396919,114.6775374726685,29.5,2
