cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.131614197530865,116.98103827160494,217.0,461.0,2.709016393442623,661.0,244.0
1,-32.12473055555556,116.99596944444444,573.0,709.0,2.485294117647059,338.0,136.0
2,-32.12573189655172,116.99464971264368,714.0,981.0,2.295880149812734,613.0,267.0
3,-32.08849466666667,116.99403466666665,1647.0,1759.0,3.4732142857142856,389.0,112.0
4,-32.089827380952386,116.99385476190477,1783.0,1844.0,2.639344262295082,161.0,61.0
5,-32.092222222222226,116.9942361111111,1848.0,1872.0,1.5,36.0,24.0
6,-32.088975,116.99190833333333,1998.0,2031.0,2.4242424242424243,80.0,33.0
7,-32.08979696969697,116.99093939393939,2036.0,2083.0,1.7872340425531914,84.0,47.0
8,-31.978591666666667,117.01033958333333,2495.0,2528.0,3.515151515151515,116.0,33.0
9,-31.976772807017536,117.00503771929824,2584.0,2758.0,3.132183908045977,545.0,174.0
10,-31.97734848484848,117.0045590909091,2762.0,2809.0,2.6808510638297873,126.0,47.0
11,-31.743997619047622,116.97644404761901,3311.0,3372.0,3.2131147540983607,196.0,61.0
12,-31.74165,116.9787125,3428.0,3461.0,1.7575757575757576,58.0,33.0
13,-31.740879166666666,116.97657708333332,3503.0,3536.0,2.212121212121212,73.0,33.0
14,-31.74133611111111,116.97594166666666,3559.0,3583.0,3.1666666666666665,76.0,24.0
15,-31.741179411764705,116.97767352941177,3601.0,3676.0,1.9066666666666667,143.0,75.0
16,-31.501287037037034,116.86822222222223,4248.0,4286.0,1.7894736842105263,68.0,38.0
17,-31.484689583333335,116.85665625,4309.0,4342.0,2.3333333333333335,77.0,33.0
18,-31.486556944444445,116.84993194444444,4417.0,4469.0,2.8653846153846154,149.0,52.0
19,-31.487980555555552,116.84744305555556,4515.0,4567.0,2.6346153846153846,137.0,52.0
20,-31.491255128205125,116.84682307692309,4605.0,4661.0,2.7142857142857144,152.0,56.0
21,-31.490705555555554,116.84700555555555,4684.0,4708.0,3.2916666666666665,79.0,24.0
22,-31.349939333333335,116.76843466666668,5064.0,5177.0,4.451327433628318,503.0,113.0
23,-31.347600205761314,116.76677880658436,5181.0,5556.0,4.1866666666666665,1570.0,375.0
24,-31.257861111111108,116.74236111111111,5730.0,5753.0,5.260869565217392,121.0,23.0
25,-31.20542142857143,116.72866190476189,5833.0,5861.0,6.214285714285714,174.0,28.0
26,-30.990146666666664,116.70492999999999,6264.0,6303.0,3.128205128205128,122.0,39.0
27,-30.972247222222222,116.71083055555556,6344.0,6367.0,4.956521739130435,114.0,23.0
28,-30.972070909090906,116.71462272727273,6372.0,6620.0,3.9879032258064515,989.0,248.0
29,-30.97323958333333,116.71968958333332,6653.0,6686.0,3.3636363636363638,111.0,33.0
30,-30.922248148148146,116.72721111111112,6948.0,6986.0,1.0,38.0,38.0
31,-31.045125,116.82262222222222,7239.0,7263.0,7.583333333333333,182.0,24.0
32,-31.046633333333336,116.8242375,7267.0,7394.0,3.6850393700787403,468.0,127.0
33,-31.044888888888888,116.8255638888889,7403.0,7427.0,4.0,96.0,24.0
34,-31.044086111111113,116.82619722222223,7431.0,7455.0,3.9166666666666665,94.0,24.0
35,-31.04298787878788,116.8268378787879,7460.0,7506.0,3.108695652173913,143.0,46.0
36,-31.04138333333333,116.82778611111111,7511.0,7534.0,2.9565217391304346,68.0,23.0
37,-31.199588888888893,116.85629444444446,7886.0,7909.0,1.565217391304348,36.0,23.0
38,-31.296285930735927,116.98013354978356,8172.0,8528.0,3.803370786516854,1354.0,356.0
39,-31.633237037037038,117.22948333333335,9311.0,9348.0,4.837837837837838,179.0,37.0
40,-31.710470000000004,117.28196333333332,9620.0,9663.0,3.255813953488372,140.0,43.0
41,-31.71099444444444,117.28222222222223,9667.0,9691.0,3.4166666666666665,82.0,24.0
42,-31.710461111111112,117.28229166666667,9695.0,9719.0,3.25,78.0,24.0
43,-31.709525,117.28215277777777,9723.0,9747.0,3.625,87.0,24.0
44,-31.722632075471694,117.29668459119496,9803.0,10047.0,4.221311475409836,1030.0,244.0
45,-31.79585555555555,117.37556111111111,10216.0,10239.0,6.130434782608695,141.0,23.0
46,-31.933388095238097,117.57299285714285,10610.0,10638.0,6.178571428571429,173.0,28.0
47,-31.967727777777778,117.61734444444447,10741.0,10764.0,4.3478260869565215,100.0,23.0
48,-32.0549625,117.66163333333333,10928.0,10961.0,1.606060606060606,53.0,33.0
49,-32.139069047619046,117.7110119047619,11149.0,11177.0,4.464285714285714,125.0,28.0
50,-32.13633817204301,117.71773010752686,11191.0,11332.0,4.056737588652482,572.0,141.0
51,-32.135178571428575,117.71844523809524,11336.0,11364.0,3.6785714285714284,103.0,28.0
52,-32.13445111111112,117.72180888888892,11369.0,11505.0,2.875,391.0,136.0
53,-32.514208333333336,118.08889722222222,12452.0,12475.0,2.347826086956522,54.0,23.0
54,-32.514464583333336,118.09637291666667,12494.0,12527.0,2.212121212121212,73.0,33.0
55,-32.647890000000004,118.08751166666666,13305.0,13348.0,1.813953488372093,78.0,43.0
56,-32.627719444444445,118.03340555555555,13610.0,13634.0,2.0833333333333335,50.0,24.0
57,-32.59549722222223,117.95910277777779,13854.0,13877.0,1.9130434782608696,44.0,23.0
58,-32.59304761904762,117.96020476190476,13882.0,13910.0,1.3571428571428572,38.0,28.0
59,-32.58937976190476,117.96456666666664,13915.0,13976.0,2.360655737704918,144.0,61.0
60,-32.584235185185186,117.96775370370369,14004.0,14041.0,1.8108108108108107,67.0,37.0
61,-32.581839583333334,117.968075,14046.0,14079.0,1.878787878787879,62.0,33.0
62,-32.5809375,117.96607916666667,14102.0,14135.0,0.9393939393939394,31.0,33.0
63,-32.568508333333334,117.935621875,14187.0,14258.0,4.619718309859155,328.0,71.0
64,-32.56532708333333,117.93428125,14281.0,14313.0,2.9375,94.0,32.0
