cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.62120655663781,117.22836468253968,350.0,410.0,1.2503517913179003,1.2503517913179003,37.11546513016315,30.0,2
1,-31.618306458356457,117.22575066276313,437.0,522.0,0.8395594156690626,0.8477989234909684,23.889515277088133,28.333333333333332,3
2,-31.645989949350426,117.22499100257362,739.0,1570.0,0.90930411853195,1.1256157635467985,25.303734547106668,37.44444444444444,9
3,-31.653232399267395,117.2319193040293,1145.0,1205.0,2.0714139599860517,2.0714139599860517,59.500460438629176,30.0,2
4,-31.650935658271127,117.22987529012191,1205.0,1387.0,2.22502677810411,2.4407559944799226,59.29097924373996,30.333333333333332,6
5,-31.540071666666666,117.20611999999998,2033.0,2091.0,1.4835372636262605,1.4835372636262605,43.022580645161554,29.0,2
6,-31.192621833293586,117.02200698818947,3704.0,4252.0,2.21766010328354,2.3003663003663344,47.80540321011981,21.92,25
7,-30.99007118406285,117.05067452300784,4919.0,4979.0,0.914604112125362,0.914604112125362,28.47627119199356,30.0,2
8,-30.779543221424483,117.1183765033539,5607.0,5728.0,1.2677467078722637,1.2527923987415184,38.61895802798881,30.25,4
9,-30.776549585453175,117.11295301488602,5771.0,5859.0,-0.10901522117991536,-0.10901522117991536,-21.067021645179175,44.0,2
10,-30.7786375534188,117.10321201923077,5970.0,6019.0,0.362278507400475,0.362278507400475,8.58306024598747,24.5,2
11,-30.773517981628192,117.0916416721115,6061.0,6458.0,3.3875091703008335,3.08260869565216,87.32704484034363,26.466666666666665,15
12,-30.630891341689807,116.87034518199269,7185.0,7406.0,2.4000020722459894,2.22923076923078,64.96314373760123,27.625,8
13,-30.59662541862899,116.8200866954474,7601.0,7701.0,-1.2919198766203566,-1.2919198766203566,-62.24758868629939,50.0,2
14,-30.380372744374363,116.67877002709895,8307.0,8696.0,2.5253149276274036,2.5049739945907525,69.27346699257923,27.785714285714285,14
15,-30.38150495614035,116.68248192982458,8696.0,8757.0,0.8834199584199872,0.8834199584199872,30.16153846153945,30.5,2
16,-30.345093298513255,116.66600803585943,9308.0,9496.0,3.013898388057167,3.1333992094861203,79.85549686099993,26.857142857142858,7
17,-30.50442925252972,116.9407533041988,10247.0,10682.0,3.567051545301129,4.015421014531208,89.89490750943446,25.625,16
18,-30.61591398809524,117.33237142857143,11431.0,11485.0,2.1644772851669822,2.1644772851669822,58.440886699508525,27.0,2
19,-30.625331915479585,117.38385386867878,11662.0,11863.0,3.373209265404545,2.9975213675214416,83.95997690929212,25.125,8
20,-30.623123135599325,117.38554649404965,11863.0,12050.0,1.1396722610675616,1.3067870826492036,32.37315111869684,26.714285714285715,7
21,-30.854828170844524,118.08628969328997,14008.0,14160.0,1.9646823421840938,1.95984179301245,58.76699307995379,30.4,5
22,-30.853041065781152,118.08752007432005,14160.0,14223.0,-0.7365150385667406,-0.7365150385667406,-23.228988208186273,31.5,2
23,-30.860363375053453,118.24990157329125,14554.0,14728.0,2.076529068371202,2.1527883880825853,69.92753312068484,34.8,5
24,-30.962892106357696,118.3442385034165,15825.0,15951.0,1.8703846546455303,1.869321639313993,58.83456837280284,31.5,4
25,-31.040077286730664,118.14589251234001,16593.0,16851.0,1.933113981865637,1.9836708950442752,62.00318020466707,32.25,8
