cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.12364133333333,116.95046533333334,242.0,266.0,3.0833333333333335,74.0,24.0
1,-32.10320952380952,116.96202666666666,329.0,363.0,2.5588235294117645,87.0,34.0
2,-32.13135634920635,116.95423015873017,881.0,901.0,2.4,48.0,20.0
3,-32.1709967948718,116.9208173076923,1220.0,1245.0,3.2,80.0,25.0
4,-32.15321449275362,116.93636014492752,2378.0,2400.0,2.090909090909091,46.0,22.0
5,-32.128051388888885,116.94665069444444,2674.0,2697.0,6.6521739130434785,153.0,23.0
6,-32.127383854166666,116.94765416666667,2704.0,2735.0,2.6451612903225805,82.0,31.0
7,-32.031660101010104,117.05695505050504,3180.0,3212.0,2.75,88.0,32.0
8,-31.909517424242424,117.19374621212123,3769.0,3790.0,2.9047619047619047,61.0,21.0
9,-31.909819369369373,117.19174999999998,3793.0,3829.0,2.75,99.0,36.0
10,-31.826547333333334,117.28570533333335,4128.0,4152.0,4.833333333333333,116.0,24.0
11,-31.827623913043478,117.28557971014494,4181.0,4203.0,3.3636363636363638,74.0,22.0
12,-31.82918263888889,117.2836388888889,4225.0,4248.0,3.130434782608696,72.0,23.0
13,-31.821745833333335,117.2928861111111,4396.0,4419.0,4.608695652173913,106.0,23.0
14,-31.824728030303024,117.29040227272726,4465.0,4486.0,4.571428571428571,96.0,21.0
15,-31.564443209876544,117.44937716049382,5313.0,5339.0,5.730769230769231,149.0,26.0
16,-31.565574712643674,117.44763850574715,5354.0,5382.0,2.5714285714285716,72.0,28.0
17,-31.440430952380954,117.38805396825394,5818.0,5838.0,3.15,63.0,20.0
18,-31.342896969696973,117.35764999999999,6071.0,6103.0,5.3125,170.0,32.0
19,-31.34266808510639,117.35606453900711,6104.0,6150.0,3.5217391304347827,162.0,46.0
20,-31.344127647058826,117.35406647058822,6171.0,6255.0,3.7142857142857144,312.0,84.0
21,-31.350280158730158,117.34759206349207,6333.0,6353.0,4.2,84.0,20.0
22,-31.355121604938272,117.34583333333333,6422.0,6448.0,4.0,104.0,26.0
23,-31.31760333333333,117.33411666666669,6590.0,6614.0,5.625,135.0,24.0
24,-31.115408333333338,117.26729545454542,7124.0,7145.0,5.9523809523809526,125.0,21.0
25,-31.107250757575763,117.2645053030303,7241.0,7262.0,3.4285714285714284,72.0,21.0
26,-30.997481782945737,117.1784565891473,7618.0,7660.0,4.761904761904762,200.0,42.0
27,-30.99808857142857,117.17533285714285,7661.0,7730.0,4.115942028985507,284.0,69.0
28,-31.00177619047619,117.17191111111109,7765.0,7785.0,3.95,79.0,20.0
29,-31.00258866666666,117.17176066666667,7787.0,7811.0,3.5833333333333335,86.0,24.0
30,-30.80639565217391,117.08701811594202,8343.0,8365.0,3.3636363636363638,74.0,22.0
31,-30.810919047619056,117.08352063492063,8457.0,8477.0,3.1,62.0,20.0
32,-30.743632666666663,117.05925933333334,8761.0,8785.0,6.541666666666667,157.0,24.0
33,-30.74479848484848,117.0588174242424,8810.0,8831.0,3.4761904761904763,73.0,21.0
34,-30.743737634408603,117.05753870967743,8839.0,8869.0,3.1,93.0,30.0
35,-30.74665507246377,117.0563731884058,8884.0,8906.0,3.090909090909091,68.0,22.0
36,-30.53351805555556,117.00328125,9439.0,9462.0,6.695652173913044,154.0,23.0
37,-30.532132692307698,117.00056410256413,9495.0,9520.0,3.4,85.0,25.0
38,-30.532437387387393,116.99850900900903,9524.0,9560.0,3.3333333333333335,120.0,36.0
39,-30.533156790123456,116.99912530864198,9565.0,9591.0,4.538461538461538,118.0,26.0
40,-30.531941666666665,116.99710694444445,9597.0,9620.0,2.8260869565217392,65.0,23.0
41,-30.192149523809523,116.91791333333333,10680.0,10714.0,3.2941176470588234,112.0,34.0
42,-30.058813492063493,116.7897396825397,11580.0,11600.0,5.7,114.0,20.0
43,-30.064254545454542,116.7921202020202,11634.0,11666.0,2.8125,90.0,32.0
44,-30.06560308641975,116.79272469135803,11669.0,11695.0,3.730769230769231,97.0,26.0
45,-30.067419444444447,116.79364277777776,11698.0,11727.0,3.1724137931034484,92.0,29.0
46,-30.068718666666665,116.79411533333334,11728.0,11752.0,3.875,93.0,24.0
47,-30.070389247311827,116.79447311827957,11753.0,11783.0,3.566666666666667,107.0,30.0
48,-30.072552910052913,116.79449603174604,11784.0,11846.0,3.693548387096774,229.0,62.0
49,-30.078623214285717,116.79553333333332,11930.0,11957.0,3.3703703703703702,91.0,27.0
50,-30.080557142857142,116.79388809523809,11972.0,11992.0,2.65,53.0,20.0
