cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.13006546296297,116.95455597222221,822.0,886.0,1.2624899251706738,1.2624899251706738,39.062786980528706,32.0,2
1,-32.17214109578544,116.91856442528734,1237.0,1342.0,1.7831615404782548,2.4630541871921046,52.868018931710544,35.0,3
2,-32.14605479307433,116.95309342623874,1638.0,1705.0,0.9901016398787844,0.9901016398787844,31.44232105909662,33.5,2
3,-32.15036796296297,116.94858159544161,1740.0,1821.0,1.15713079653013,1.1037219485495426,31.832716358745273,27.0,3
4,-32.14949752498531,116.93931995149912,2262.0,2344.0,1.8461846315016555,1.8894993894994174,50.48893538381869,27.333333333333332,3
5,-32.132780081699345,116.94215423202613,2603.0,2665.0,1.4064910421646837,1.4064910421646837,42.930333423692616,31.0,2
6,-32.12720180934657,116.94103035566582,2786.0,2841.0,1.1867900468706984,1.1867900468706984,31.0951543975739,27.5,2
7,-31.90800543430335,117.19491841931217,3715.0,3768.0,3.3699002147277923,3.3699002147277923,89.3004926108372,26.5,2
8,-31.909665456989245,117.19242588325655,3768.0,3825.0,2.8191857796140196,2.8191857796140196,80.12688701732046,28.5,2
9,-31.82898414902998,117.28414047619049,4199.0,4252.0,3.412372110647981,3.412372110647981,90.20730706075554,26.5,2
10,-31.83100933908046,117.28260111626878,4252.0,4305.0,2.403423013767842,2.403423013767842,64.0727674624226,26.5,2
11,-31.343675678068063,117.35492070061689,6090.0,6281.0,3.1644772838524045,3.274247455580495,100.83319112149934,31.833333333333332,6
12,-31.10780453663793,117.26429243038451,7216.0,7309.0,2.8963881377879033,2.747290640394069,89.6631505946164,31.0,3
13,-30.808124608070646,117.08508650453737,8352.0,8465.0,2.511428832210384,2.4048220978367962,70.28834640480758,28.25,4
14,-30.813608949096885,117.08199343185551,8492.0,8554.0,2.592702598280707,2.592702598280707,79.34105090312036,31.0,2
15,-30.53283865808533,116.99824326904303,9519.0,9625.0,3.086801314974688,3.197486960644804,108.0679485187224,35.333333333333336,3
16,-30.185665153769847,116.92489479166667,10486.0,10558.0,2.7953436034808803,2.7953436034808803,99.17287073391827,36.0,2
17,-30.192112413127415,116.9178852895753,10661.0,10731.0,1.933850723788813,1.933850723788813,67.33627311522076,35.0,2
18,-30.193322984562606,116.91605432151705,10731.0,10815.0,1.1844700149708463,1.1844700149708463,38.514232222334456,42.0,2
19,-30.18861523268398,116.91701639610389,10815.0,10885.0,1.712045474796122,1.712045474796122,59.38040752351274,35.0,2
20,-30.074448774509804,116.79437175245099,11822.0,11886.0,3.343160563345629,3.343160563345629,106.76601413292772,32.0,2
21,-30.35402727788968,116.81018595402968,12590.0,12684.0,2.605823434062396,2.4108374384236178,81.2033244356112,31.333333333333332,3
22,-30.69704465811965,116.80203966189039,13364.0,13435.0,2.350349804993761,2.350349804993761,81.41680672268875,35.5,2
23,-30.83624801587301,116.81592364417989,13888.0,13964.0,1.9476734330960004,1.9476734330960004,72.96040226272754,38.0,2
24,-31.091807967772965,116.83551703944204,14636.0,14738.0,1.7184409232134363,1.792399319342025,58.48165677783043,34.0,3
25,-31.70280485119048,116.8828593154762,16301.0,16381.0,0.5004311768775573,0.5004311768775573,20.839723280122463,40.0,2
