cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.613910869565213,117.22413768115943,716.0,784.0,2.6323529411764706,179.0,68.0
1,-31.615137596899224,117.21379534883721,785.0,853.0,4.397058823529412,299.0,68.0
2,-31.615108974358975,117.2121042735043,853.0,891.0,5.526315789473684,210.0,38.0
3,-31.620900000000002,117.21926388888888,1268.0,1293.0,2.2,55.0,25.0
4,-31.623325396825397,117.21902063492061,1335.0,1355.0,3.75,75.0,20.0
5,-31.62239803921569,117.21792450980394,1373.0,1406.0,3.3636363636363638,111.0,33.0
6,-31.640155729166665,117.230790625,2490.0,2521.0,2.5483870967741935,79.0,31.0
7,-31.564186111111113,117.31200833333332,2861.0,2886.0,5.16,129.0,25.0
8,-31.548311904761903,117.33062142857145,2931.0,2961.0,4.1,123.0,30.0
9,-31.520754761904758,117.36123095238095,3031.0,3061.0,4.033333333333333,121.0,30.0
10,-31.421355555555554,117.4631611111111,3346.0,3371.0,3.2,80.0,25.0
11,-31.38111481481482,117.50398703703705,3482.0,3510.0,3.6785714285714284,103.0,28.0
12,-31.270849999999996,117.43919666666666,3795.0,3815.0,5.3,106.0,20.0
13,-31.27083007246377,117.4395286231884,3838.0,3883.0,3.6222222222222222,163.0,45.0
14,-31.269830496453903,117.43863191489362,3896.0,3942.0,3.8043478260869565,175.0,46.0
15,-31.269876000000004,117.43729933333333,3960.0,3984.0,3.2083333333333335,77.0,24.0
16,-31.16351111111111,117.37181111111111,4266.0,4291.0,2.96,74.0,25.0
17,-31.154433333333333,117.35961666666667,4306.0,4326.0,2.9,58.0,20.0
18,-31.132101851851854,117.33742592592593,4433.0,4469.0,4.138888888888889,149.0,36.0
19,-31.13016136363636,117.33504393939393,4470.0,4491.0,4.095238095238095,86.0,21.0
20,-31.12956904761905,117.33409722222223,4493.0,4534.0,4.926829268292683,202.0,41.0
21,-31.129786979166667,117.33322604166665,4537.0,4568.0,4.838709677419355,150.0,31.0
22,-31.128811157024796,117.33045275482094,4584.0,4704.0,4.533333333333333,544.0,120.0
23,-30.95713333333333,117.22219444444444,5126.0,5151.0,2.16,54.0,25.0
24,-30.93927156862745,117.21699509803922,5186.0,5217.0,3.4193548387096775,106.0,31.0
25,-30.835558333333335,117.14346944444442,5570.0,5595.0,3.04,76.0,25.0
26,-30.776821428571427,117.11159999999998,5741.0,5771.0,3.4,102.0,30.0
27,-30.755173333333335,117.10427333333332,5806.0,5826.0,5.45,109.0,20.0
28,-30.661154166666673,117.05906249999998,6068.0,6101.0,4.03030303030303,133.0,33.0
29,-30.657159523809522,117.05616984126986,6159.0,6179.0,3.5,70.0,20.0
30,-30.656428125,117.05588593750001,6182.0,6213.0,2.774193548387097,86.0,31.0
31,-30.65595,117.05644573643413,6285.0,6327.0,3.4285714285714284,144.0,42.0
32,-30.655790555555555,117.05675555555555,6328.0,6357.0,2.8275862068965516,82.0,29.0
33,-30.65608194444444,117.05624999999999,6358.0,6381.0,3.3043478260869565,76.0,23.0
34,-30.652664393939393,117.05512727272729,6385.0,6422.0,3.027027027027027,112.0,37.0
35,-30.503473809523808,116.95569761904763,6809.0,6839.0,4.1,123.0,30.0
36,-30.50239946236559,116.95047849462368,6946.0,6976.0,3.566666666666667,107.0,30.0
37,-30.502727083333337,116.94981041666666,6979.0,7002.0,3.3043478260869565,76.0,23.0
38,-30.48579375,116.93910208333334,7088.0,7123.0,2.8,98.0,35.0
39,-30.413033333333328,116.89911607142857,7301.0,7355.0,3.888888888888889,210.0,54.0
40,-30.411178030303038,116.89690681818182,7362.0,7383.0,4.238095238095238,89.0,21.0
41,-30.381686666666667,116.87829666666667,7445.0,7465.0,6.0,120.0,20.0
42,-30.115246153846154,116.69897179487178,8105.0,8138.0,4.151515151515151,137.0,33.0
43,-30.112463768115944,116.69627898550725,8180.0,8202.0,3.590909090909091,79.0,22.0
44,-30.108559333333336,116.68725866666668,8444.0,8468.0,3.7083333333333335,89.0,24.0
45,-30.10798461538462,116.68523653846154,8506.0,8531.0,3.4,85.0,25.0
46,-30.291003333333332,116.69387666666667,9050.0,9070.0,5.4,108.0,20.0
