lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.622650813799684,117.2181902282918,3.3636363636363638,111.0,33.0,2,5,-31.62290358838368,117.21845594677968,-31.62239803921569,117.21792450980394,75.44588369618216,33.0,1.0
-31.26997943265519,117.43871319702082,3.8043478260869565,175.0,46.0,7,14,-31.270128368856483,117.43879447914802,-31.269830496453903,117.43863191489362,36.548303580808984,46.0,1.0
-31.12939981634498,117.33302073903305,4.926829268292683,202.0,41.0,8,20,-31.129230585070907,117.33194425584387,-31.12956904761905,117.33409722222223,208.35350520099053,41.0,1.0
-30.656614395914325,117.05620689601315,3.5,70.0,20.0,9,29,-30.656069268019124,117.05624395075645,-30.657159523809522,117.05616984126986,121.4381618693777,20.0,1.0
-30.502570087562525,116.95018610132587,3.566666666666667,107.0,30.0,11,36,-30.50274071275946,116.94989370802807,-30.50239946236559,116.95047849462368,67.66680367301399,30.0,1.0
-30.11243145328006,116.69613875563334,3.590909090909091,79.0,22.0,12,43,-30.112399138444175,116.69599852575944,-30.112463768115944,116.69627898550725,27.917810836624472,22.0,1.0
-30.10829853732409,116.6866176279539,3.7083333333333335,89.0,24.0,14,44,-30.108037741314842,116.6859765892411,-30.108559333333336,116.68725866666668,136.28346546758019,24.0,1.0
-30.407170444830484,116.69960875445247,4.095238095238095,86.0,21.0,15,51,-30.407883313903387,116.70102659981403,-30.406457575757578,116.6981909090909,314.78021312731164,21.0,1.0
-30.643961814046747,116.78203256014481,3.142857142857143,110.0,35.0,16,62,-30.645194461426826,116.78316049066001,-30.642729166666665,116.78090462962963,348.8852622006706,35.0,1.0
-31.40330303466856,116.96901922724308,2.4347826086956523,56.0,23.0,18,71,-31.402756069337112,116.96844748226397,-31.403850000000006,116.9695909722222,163.01538169693015,23.0,1.0
-31.588561702055642,117.01054759447445,2.1785714285714284,61.0,28.0,19,75,-31.588493519053817,117.01080380963852,-31.58862988505747,117.01029137931036,50.85053230129293,28.0,1.0
