cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.628636458333336,117.24252812499999,183.0,245.0,3.435483870967742,213.0,62.0
1,-31.63003888888889,117.24083750000001,291.0,313.0,2.272727272727273,50.0,22.0
2,-31.61924,117.20924666666666,623.0,647.0,3.1666666666666665,76.0,24.0
3,-31.62074139784946,117.20435967741932,748.0,778.0,3.566666666666667,107.0,30.0
4,-31.622022463768115,117.20286811594204,795.0,817.0,2.772727272727273,61.0,22.0
5,-31.621596874999998,117.201859375,821.0,849.0,3.0,84.0,28.0
6,-31.620688596491224,117.19992631578945,863.0,899.0,3.3055555555555554,119.0,36.0
7,-31.621311965811973,117.1978435897436,903.0,979.0,2.6578947368421053,202.0,76.0
8,-31.64158111111111,117.13843333333334,1445.0,1473.0,3.25,91.0,28.0
9,-31.638057777777775,117.13093222222223,1645.0,1673.0,2.5,70.0,28.0
10,-31.637801960784312,117.1290725490196,1727.0,1759.0,2.125,68.0,32.0
11,-31.63922,117.12542666666666,1835.0,1863.0,2.8214285714285716,79.0,28.0
12,-31.63866388888889,117.12421805555557,1887.0,1909.0,1.5454545454545454,34.0,22.0
13,-31.63779393939394,117.12140454545455,1949.0,1969.0,1.95,39.0,20.0
14,-31.63912314814815,117.12066296296297,1977.0,2011.0,2.6470588235294117,90.0,34.0
15,-31.638805555555553,117.12106805555554,2015.0,2037.0,2.5454545454545454,56.0,22.0
16,-31.638869999999997,117.11564222222223,2131.0,2159.0,2.107142857142857,59.0,28.0
17,-31.674314705882352,117.15356274509804,2839.0,2871.0,1.96875,63.0,32.0
18,-31.673567171717174,117.15144393939393,2899.0,2963.0,2.265625,145.0,64.0
19,-31.673202222222223,117.15035333333334,2973.0,3001.0,2.142857142857143,60.0,28.0
20,-31.674962121212126,117.14778484848485,3013.0,3033.0,2.35,47.0,20.0
21,-31.609458974358976,117.16087564102564,3577.0,3601.0,1.625,39.0,24.0
22,-31.606764102564107,117.15672692307693,3635.0,3659.0,4.208333333333333,101.0,24.0
23,-31.605246969696967,117.15553939393939,3673.0,3693.0,3.55,71.0,20.0
24,-31.608417857142854,117.15416190476192,3701.0,3727.0,2.269230769230769,59.0,26.0
25,-31.609852777777775,117.15253333333332,3745.0,3767.0,2.227272727272727,49.0,22.0
26,-31.60757817460317,117.15026984126983,3769.0,3851.0,2.158536585365854,177.0,82.0
27,-31.607529824561407,117.14820526315789,3873.0,3909.0,1.5555555555555556,56.0,36.0
28,-31.609046153846155,117.14965384615385,3933.0,3957.0,3.25,78.0,24.0
29,-31.607481818181817,117.1444106060606,4053.0,4073.0,2.1,42.0,20.0
30,-31.60599393939394,117.14180303030302,4239.0,4259.0,1.75,35.0,20.0
31,-31.607243333333333,117.13346444444443,4457.0,4485.0,2.2857142857142856,64.0,28.0
32,-31.607184375,117.13066979166666,4505.0,4535.0,2.2333333333333334,67.0,30.0
33,-31.60168928571429,117.111625,4849.0,4875.0,3.0384615384615383,79.0,26.0
34,-31.60153735632184,117.10721839080462,4923.0,4979.0,1.8571428571428572,104.0,56.0
35,-31.600553921568622,117.10781372549022,4985.0,5017.0,1.28125,41.0,32.0
36,-31.599193939393935,117.10647121212122,5057.0,5077.0,1.6,32.0,20.0
37,-31.596922727272727,117.10493030303027,5119.0,5139.0,2.05,41.0,20.0
38,-31.593423611111117,117.10245833333336,5273.0,5295.0,1.7272727272727273,38.0,22.0
39,-31.593975,117.11292291666666,5570.0,5601.0,2.225806451612903,69.0,31.0
40,-31.65509247311828,117.17561451612904,6035.0,6095.0,3.3,198.0,60.0
41,-31.65518913043479,117.17462898550724,6097.0,6141.0,2.340909090909091,103.0,44.0
42,-31.655169230769225,117.17271410256411,6143.0,6197.0,3.0,162.0,54.0
43,-31.65474642857143,117.17205357142859,6203.0,6230.0,2.5555555555555554,69.0,27.0
44,-31.653738888888892,117.17022916666667,6247.0,6271.0,1.8333333333333333,44.0,24.0
