cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.612575,117.24215208333334,184.0,244.0,4.0,240.0,60.0
1,-31.60611222222222,117.23608555555553,256.0,312.0,3.857142857142857,216.0,56.0
2,-31.600392857142857,117.23210952380953,381.0,405.0,2.4166666666666665,58.0,24.0
3,-31.599300000000003,117.22996111111111,413.0,433.0,2.55,51.0,20.0
4,-31.598242857142857,117.22749761904763,437.0,461.0,2.3333333333333335,56.0,24.0
5,-31.597223809523808,117.22459047619047,469.0,493.0,2.4583333333333335,59.0,24.0
6,-31.59586904761905,117.22167619047619,497.0,521.0,3.25,78.0,24.0
7,-31.59470740740741,117.21832592592591,525.0,557.0,3.1875,102.0,32.0
8,-31.592319949494954,117.21188964646466,561.0,673.0,2.5357142857142856,284.0,112.0
9,-31.589125,117.20247916666668,681.0,710.0,2.206896551724138,64.0,29.0
10,-31.58796875,117.19849791666667,722.0,750.0,2.2857142857142856,64.0,28.0
11,-31.581346875,117.18904166666667,842.0,902.0,1.95,117.0,60.0
12,-31.573536363636364,117.17790303030303,986.0,1026.0,1.875,75.0,40.0
13,-31.569305555555555,117.17402222222222,1046.0,1066.0,3.2,64.0,20.0
14,-31.56142619047619,117.21699523809525,1688.0,1712.0,2.0416666666666665,49.0,24.0
15,-31.558247222222224,117.21170555555555,1752.0,1772.0,1.6,32.0,20.0
16,-31.55740952380953,117.20840952380952,1784.0,1808.0,2.2083333333333335,53.0,24.0
17,-31.5564,117.20581041666668,1812.0,1840.0,1.5,42.0,28.0
18,-31.563672222222223,117.20908333333334,2104.0,2124.0,2.3,46.0,20.0
19,-31.5603619047619,117.20356666666666,2164.0,2188.0,2.0416666666666665,49.0,24.0
20,-31.558466666666664,117.20036388888889,2200.0,2220.0,1.85,37.0,20.0
21,-31.55389166666667,117.18837222222221,2320.0,2340.0,2.9,58.0,20.0
22,-31.558358333333334,117.18410833333333,2492.0,2512.0,1.85,37.0,20.0
23,-31.557745238095237,117.18194523809522,2532.0,2556.0,1.9166666666666667,46.0,24.0
24,-31.556610416666665,117.17826458333333,2568.0,2596.0,1.6071428571428572,45.0,28.0
25,-31.55552619047619,117.17723333333332,2604.0,2628.0,1.375,33.0,24.0
26,-31.611166666666662,117.18805476190475,3176.0,3200.0,1.7083333333333333,41.0,24.0
27,-31.629327083333333,117.23523125,3599.0,3627.0,1.5714285714285714,44.0,28.0
28,-31.62853333333333,117.2325625,3635.0,3663.0,1.8928571428571428,53.0,28.0
29,-31.62792619047619,117.23045476190477,3671.0,3695.0,1.4583333333333333,35.0,24.0
30,-31.627692857142858,117.22937857142857,3703.0,3727.0,1.875,45.0,24.0
31,-31.626627083333332,117.22102083333334,3807.0,3835.0,1.1785714285714286,33.0,28.0
32,-31.63105185185185,117.21885925925926,3905.0,3928.0,3.0869565217391304,71.0,23.0
33,-31.630405555555555,117.21107222222223,4007.0,4027.0,4.4,88.0,20.0
34,-31.630049999999997,117.20898333333334,4035.0,4063.0,2.7857142857142856,78.0,28.0
35,-31.63032857142857,117.2051880952381,4091.0,4115.0,1.875,45.0,24.0
36,-31.63004722222222,117.20325833333334,4123.0,4143.0,2.5,50.0,20.0
37,-31.62935,117.20018333333334,4155.0,4183.0,1.8571428571428572,52.0,28.0
38,-31.642252380952378,117.20295714285714,4643.0,4667.0,2.625,63.0,24.0
39,-31.641533333333335,117.19855952380952,4687.0,4711.0,2.125,51.0,24.0
40,-31.63892142857143,117.19223571428572,4779.0,4803.0,1.7083333333333333,41.0,24.0
41,-31.62516666666667,117.25501249999999,5299.0,5327.0,2.0,56.0,28.0
42,-31.560541666666673,117.34833666666665,5591.0,5627.0,2.9444444444444446,106.0,36.0
43,-31.55721296296296,117.34646666666666,5635.0,5667.0,2.5625,82.0,32.0
44,-31.55362407407407,117.33835555555555,5735.0,5767.0,2.09375,67.0,32.0
45,-31.553207142857143,117.33508571428571,5771.0,5795.0,3.4583333333333335,83.0,24.0
46,-31.551710784313727,117.33028627450982,5799.0,5863.0,2.59375,166.0,64.0
47,-31.548522727272726,117.32586363636365,5867.0,5907.0,2.325,93.0,40.0
48,-31.542155555555556,117.34005,5931.0,5951.0,6.25,125.0,20.0
49,-31.540959523809526,117.33856428571428,5959.0,5983.0,3.4166666666666665,82.0,24.0
50,-31.4850875,117.43377708333333,6219.0,6247.0,4.678571428571429,131.0,28.0
51,-31.44801923076923,117.50523974358975,6419.0,6467.0,4.0625,195.0,48.0
52,-31.394957575757577,117.57032424242423,6651.0,6735.0,3.5476190476190474,298.0,84.0
53,-31.391536111111105,117.56167222222223,6743.0,6787.0,2.590909090909091,114.0,44.0
54,-31.390013888888888,117.55501944444444,6827.0,6847.0,1.95,39.0,20.0
55,-31.284783333333337,117.61236944444444,7335.0,7355.0,2.4,48.0,20.0
56,-31.280899999999995,117.61057727272727,7363.0,7403.0,1.725,69.0,40.0
57,-31.275445454545448,117.59889696969698,7435.0,7475.0,2.05,82.0,40.0
58,-31.273526190476186,117.59294523809523,7483.0,7507.0,3.75,90.0,24.0
59,-31.270060416666666,117.58775104166668,7511.0,7571.0,2.4166666666666665,145.0,60.0
60,-31.26748571428571,117.58133571428571,7579.0,7603.0,3.0833333333333335,74.0,24.0
61,-31.24236666666667,117.57017857142856,7643.0,7667.0,6.333333333333333,152.0,24.0
62,-31.23897291666667,117.56576041666666,7671.0,7731.0,3.3833333333333333,203.0,60.0
63,-31.23705,117.56067916666666,7735.0,7763.0,3.4285714285714284,96.0,28.0
64,-31.233629166666667,117.55174083333334,7787.0,7863.0,2.1973684210526314,167.0,76.0
65,-31.02416388888889,117.40564722222223,8339.0,8359.0,3.2,64.0,20.0
66,-30.985092307692312,117.34774102564103,8467.0,8515.0,4.3125,207.0,48.0
67,-30.983036666666667,117.34102555555556,8519.0,8575.0,3.25,182.0,56.0
68,-30.765761111111107,117.24213055555555,9080.0,9100.0,3.65,73.0,20.0
69,-30.716575757575765,117.25041212121211,9192.0,9232.0,4.65,186.0,40.0
70,-30.711789583333335,117.24728958333333,9236.0,9264.0,2.607142857142857,73.0,28.0
71,-30.70968888888889,117.24453333333332,9284.0,9316.0,1.21875,39.0,32.0
72,-30.652194444444447,117.23166388888889,9420.0,9440.0,2.15,43.0,20.0
73,-30.64520238095238,117.22595714285714,9468.0,9492.0,1.9166666666666667,46.0,24.0
74,-30.53681111111111,117.1606,9804.0,9824.0,5.2,104.0,20.0
75,-30.53496666666667,117.15685416666666,9828.0,9856.0,4.035714285714286,113.0,28.0
76,-30.533044444444442,117.15337037037037,9860.0,9892.0,3.5,112.0,32.0
77,-30.530136507936504,117.14842698412697,9900.0,9980.0,3.65,292.0,80.0
78,-30.526466666666664,117.14353055555556,9984.0,10004.0,3.1,62.0,20.0
79,-30.524608333333333,117.13937777777778,10020.0,10040.0,2.45,49.0,20.0
80,-30.52192962962963,117.13307222222222,10084.0,10116.0,2.59375,83.0,32.0
81,-30.51815666666667,117.13080500000001,10124.0,10160.0,1.5555555555555556,56.0,36.0
