cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.647372222222224,117.30566944444445,2481.0,2545.0,1.9208333333333172,1.9208333333333172,61.46666666666615,32.0,2
1,-31.65025707070707,117.30862962962962,2577.0,2649.0,0.7803030303030478,0.7803030303030478,27.07878787878858,36.0,2
2,-31.304480555555557,117.60835972222223,4867.0,4951.0,3.9980158730159086,3.9880952380952794,111.94444444444544,28.0,3
3,-31.307248148148147,117.60821604938273,4951.0,5047.0,2.044444444444426,2.200000000000001,65.42222222222163,32.0,3
4,-31.275360958994714,117.67145476190476,5259.0,5403.0,3.253095238095253,3.3499999999999823,94.59428571428606,28.8,5
5,-30.909321626984127,117.93710525793652,6514.0,6594.0,5.023809523809546,5.571428571428605,133.23809523809578,26.666666666666668,3
6,-30.751509629629627,117.96088444444445,7338.0,7406.0,2.5034090909090736,2.5034090909090736,84.87272727272673,34.0,2
7,-30.655041666666666,117.60462187499999,8262.0,8378.0,2.0829481792717393,2.0829481792717393,85.35784313725603,44.0,2
8,-30.65718599537037,117.60663287037036,8290.0,8622.0,2.716071428571457,2.716071428571457,82.45000000000081,30.0,2
9,-30.655910069444445,117.60109704861111,8426.0,8530.0,2.008545865898809,2.008545865898809,110.54072398190058,52.0,2
10,-30.656996064814816,117.60466805555555,8530.0,8590.0,3.3779761904761805,3.3779761904761805,101.16666666666629,30.0,2
11,-30.47747545791246,117.21675012794613,9942.0,10358.0,3.115909090909075,2.690909090909097,111.05212121212068,36.0,5
12,-30.479559000000002,117.22168566666667,10054.0,10226.0,2.6998701298701593,2.8727272727272872,91.80484848484949,34.4,5
13,-30.365556233164984,116.9615684090909,11190.0,11342.0,2.2667832167831925,2.2653846153845842,85.76573426573331,38.0,4
14,-30.290608207070708,116.84439387626264,11802.0,11886.0,2.1708041958041684,2.1708041958041684,91.34265734265618,42.0,2
15,-30.64964,116.91180166666668,12982.0,13046.0,2.377597402597438,2.377597402597438,75.73636363636459,32.0,2
16,-30.656443333333335,116.91148472222224,13122.0,13202.0,3.1659673659673597,3.1659673659673597,125.02377622377591,40.0,2
