lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.646613015873015,117.30469257936508,2.260869565217391,624.0,276.0,0,11,-31.647372222222224,117.30566944444445,-31.645853809523807,117.3037157142857,250.41982799608112,64.0,1.0
-31.304284722222224,117.60831625,4.7155172413793105,547.0,116.0,2,25,-31.304480555555557,117.60835972222223,-31.30408888888889,117.60827277777778,44.32785236062848,84.0,1.0
-31.307333240740743,117.60810802469136,2.0555555555555554,74.0,36.0,3,26,-31.307248148148147,117.60821604938273,-31.307418333333338,117.60799999999999,27.917896243035365,36.0,1.0
-31.27519411586099,117.6705788961039,4.4,176.0,40.0,4,29,-31.275360958994714,117.67145476190476,-31.275027272727268,117.66970303030304,170.56338352853197,40.0,1.0
-30.909257025613275,117.93653091179655,5.3984375,691.0,128.0,5,37,-30.909321626984127,117.93710525793652,-30.909192424242423,117.93595656565657,110.52681162830365,68.0,0.85
-30.75134648148148,117.96108076388889,2.7857142857142856,78.0,28.0,6,45,-30.751509629629627,117.96088444444445,-30.751183333333334,117.96127708333333,52.194146114205225,28.0,1.0
-30.653942261904763,117.60192760416666,5.458333333333333,131.0,24.0,7,50,-30.655041666666666,117.60462187499999,-30.65284285714286,117.59923333333333,570.498794251673,20.0,0.8333333333333334
-30.65683216435185,117.60368226851851,3.7777777777777777,136.0,36.0,8,53,-30.65718599537037,117.60663287037036,-30.656478333333332,117.60073166666666,569.9325100899559,36.0,1.0
-30.65619420138889,117.60091435763889,3.7777777777777777,136.0,36.0,9,53,-30.655910069444445,117.60109704861111,-30.656478333333332,117.60073166666666,72.20997209720632,36.0,1.0
-30.65671303240741,117.6044648611111,4.055555555555555,146.0,36.0,10,54,-30.656996064814816,117.60466805555555,-30.65643,117.60426166666666,73.9796908372444,28.0,0.7777777777777778
-30.47868806228956,117.21920589730641,2.693877551020408,528.0,196.0,11,69,-30.47747545791246,117.21675012794613,-30.479900666666662,117.22166166666668,542.4527837144544,196.0,1.0
-30.47972983333333,117.22167366666667,2.693877551020408,528.0,196.0,12,69,-30.479559000000002,117.22168566666667,-30.479900666666662,117.22166166666668,38.0612028417786,172.0,1.0
-30.36585450547138,116.96248281565656,2.5,50.0,20.0,13,75,-30.365556233164984,116.9615684090909,-30.366152777777774,116.96339722222223,187.5779225477468,20.0,1.0
-30.29022734914939,116.84402851707868,2.22972972972973,330.0,148.0,14,79,-30.290608207070708,116.84439387626264,-30.28984649122807,116.84366315789472,109.9833396278577,84.0,1.0
-30.649885476190477,116.9117180952381,2.769230769230769,144.0,52.0,15,87,-30.64964,116.91180166666668,-30.650130952380948,116.91163452380952,56.884798608994096,52.0,1.0
-30.655631126126128,116.91122817192192,3.1944444444444446,460.0,144.0,16,88,-30.656443333333335,116.91148472222224,-30.65481891891892,116.91097162162161,187.17637855779742,72.0,0.9
