cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.654216666666667,117.23676875000001,1361.0,1389.0,2.5714285714285716,72.0,28.0
1,-31.655921428571425,117.23750476190477,1393.0,1417.0,3.1666666666666665,76.0,24.0
2,-31.663016666666667,117.24351111111112,1533.0,1553.0,1.8,36.0,20.0
3,-31.669150000000002,117.24674047619047,1613.0,1637.0,2.1666666666666665,52.0,24.0
4,-31.671875,117.25014833333333,1645.0,1681.0,1.5555555555555556,56.0,36.0
5,-31.680205555555556,117.25235,1777.0,1809.0,1.90625,61.0,32.0
6,-31.682083333333335,117.22959166666668,1865.0,1885.0,1.9,38.0,20.0
7,-31.637261111111112,117.2906638888889,2177.0,2197.0,4.7,94.0,20.0
8,-31.637416666666667,117.295815625,2205.0,2265.0,2.7333333333333334,164.0,60.0
9,-31.63968333333333,117.29642142857142,2269.0,2293.0,3.5833333333333335,86.0,24.0
10,-31.64085555555555,117.29699166666667,2297.0,2317.0,3.7,74.0,20.0
11,-31.645853809523807,117.3037157142857,2325.0,2601.0,2.260869565217391,624.0,276.0
12,-31.648330555555557,117.28291111111109,2749.0,2769.0,3.2,64.0,20.0
13,-31.650005555555556,117.26757777777777,2797.0,2817.0,1.75,35.0,20.0
14,-31.65160625,117.27148125,2833.0,2861.0,1.3928571428571428,39.0,28.0
15,-31.649719999999995,117.25261166666667,2914.0,2950.0,2.8055555555555554,101.0,36.0
16,-31.632083333333334,117.2863875,3071.0,3099.0,3.357142857142857,94.0,28.0
17,-31.56345925925926,117.39765925925924,3515.0,3547.0,4.46875,143.0,32.0
18,-31.565335185185184,117.4015,3555.0,3623.0,3.4705882352941178,236.0,68.0
19,-31.566777777777776,117.40469999999999,3627.0,3647.0,2.6,52.0,20.0
20,-31.568346153846157,117.4073858974359,3651.0,3699.0,2.875,138.0,48.0
21,-31.571682222222215,117.41420148148148,3703.0,3879.0,3.3068181818181817,582.0,176.0
22,-31.577200505050506,117.42315202020202,3883.0,4011.0,2.984375,382.0,128.0
23,-31.42401388888889,117.52913055555557,4411.0,4431.0,2.1,42.0,20.0
24,-31.317174999999995,117.60528611111111,4755.0,4775.0,4.9,98.0,20.0
25,-31.30408888888889,117.60827277777778,4843.0,4959.0,4.7155172413793105,547.0,116.0
26,-31.307418333333338,117.60799999999999,4979.0,5015.0,2.0555555555555554,74.0,36.0
27,-31.311083333333332,117.61194047619048,5083.0,5107.0,2.3333333333333335,56.0,24.0
28,-31.27495,117.66609583333333,5235.0,5263.0,5.821428571428571,163.0,28.0
29,-31.275027272727268,117.66970303030304,5267.0,5307.0,4.4,176.0,40.0
30,-31.275512345679015,117.67227283950618,5311.0,5415.0,3.1538461538461537,328.0,104.0
31,-31.25708888888889,117.70254074074074,5467.0,5499.0,3.125,100.0,32.0
32,-31.226752564102565,117.74815512820513,5571.0,5619.0,3.3333333333333335,160.0,48.0
33,-31.157447619047616,117.78735238095237,5775.0,5799.0,4.416666666666667,106.0,24.0
34,-31.00587857142857,117.8626380952381,6175.0,6199.0,3.5833333333333335,86.0,24.0
35,-30.978838333333336,117.87771500000001,6246.0,6282.0,3.2222222222222223,116.0,36.0
36,-30.923509523809525,117.92196190476191,6410.0,6434.0,5.583333333333333,134.0,24.0
37,-30.909192424242423,117.93595656565657,6454.0,6582.0,5.3984375,691.0,128.0
38,-30.909763888888893,117.93969166666666,6590.0,6610.0,4.7,94.0,20.0
39,-30.759650000000004,118.04785740740742,6982.0,7014.0,3.375,108.0,32.0
40,-30.758614583333333,118.04987083333333,7034.0,7062.0,2.142857142857143,60.0,28.0
41,-30.75754761904762,118.05043809523808,7066.0,7090.0,1.5833333333333333,38.0,24.0
42,-30.754155555555556,118.02793333333334,7138.0,7158.0,3.9,78.0,20.0
43,-30.75177222222222,117.96859166666667,7270.0,7290.0,2.9,58.0,20.0
44,-30.751107142857148,117.96000119047619,7314.0,7366.0,3.076923076923077,160.0,52.0
45,-30.751183333333334,117.96127708333333,7370.0,7398.0,2.7857142857142856,78.0,28.0
46,-30.730392857142853,117.9088023809524,7510.0,7562.0,3.1153846153846154,162.0,52.0
47,-30.654530555555557,117.61757222222222,8170.0,8190.0,2.3,46.0,20.0
48,-30.65224523809524,117.60387857142857,8202.0,8226.0,3.1666666666666665,76.0,24.0
49,-30.65471666666667,117.60488571428571,8258.0,8282.0,3.5,84.0,24.0
