x_bin,count,mean,median,p95,x_mid
"[5.20,5.44)",2.0,17.732254827702906,17.732254827702906,20.455787532816206,5.318319077675834
"[5.44,5.67)",2.0,26.590006143567905,26.590006143567905,26.590006143567905,5.554688814461426
"[5.67,5.91)",1.0,32.96174020892411,32.96174020892411,32.96174020892411,5.791058551247018
"[5.91,6.15)",,,,,6.027428288032611
"[6.15,6.38)",,,,,6.263798024818203
"[6.38,6.62)",1.0,25.852624736039548,25.852624736039548,25.852624736039548,6.500167761603795
"[6.62,6.85)",2.0,26.494116360443975,26.494116360443975,35.043461132006314,6.736537498389388
"[6.85,7.09)",2.0,34.281591330548395,34.281591330548395,41.17103948217429,6.97290723517498
"[7.09,7.33)",,,,,7.2092769719605725
"[7.33,7.56)",2.0,17.621606313249575,17.621606313249575,17.621606313249575,7.445646708746165
"[7.56,7.80)",3.0,41.64099504228999,40.719472570562736,43.20848312704599,7.682016445531757
"[7.80,8.04)",1.0,21.117978378915936,21.117978378915936,21.117978378915936,7.91838618231735
"[8.04,8.27)",,,,,8.154755919102943
"[8.27,8.51)",6.0,31.44256987577953,33.27309982687463,46.43707892635075,8.391125655888533
"[8.51,8.75)",2.0,45.349165779772726,45.349165779772726,51.170677310084876,8.627495392674128
"[8.75,8.98)",2.0,24.009284096932177,24.009284096932177,32.9889812656246,8.863865129459718
"[8.98,9.22)",2.0,52.17744590386456,52.17744590386456,53.21075725612324,9.100234866245312
"[9.22,9.45)",,,,,9.336604603030903
"[9.45,9.69)",3.0,43.2994297529896,52.43390320632495,54.350107946292304,9.572974339816497
"[9.69,9.93)",3.0,30.894621125709392,23.28911404972132,43.82398315488911,9.809344076602088
"[9.93,10.16)",3.0,49.2075082346039,50.713224356555195,51.34773288762924,10.045713813387682
"[10.16,10.40)",1.0,61.1342615300544,61.1342615300544,61.1342615300544,10.282083550173272
"[10.40,10.64)",4.0,42.95804535568228,51.44822254653199,54.05342947823138,10.518453286958866
"[10.64,10.87)",2.0,45.67981537638986,45.67981537638986,50.18191623943823,10.754823023744457
"[10.87,11.11)",2.0,62.676215732987345,62.676215732987345,62.676215732987345,10.991192760530051
"[11.11,11.35)",4.0,53.5847823021129,56.79900169188403,61.036780416540346,11.227562497315642
"[11.35,11.58)",7.0,57.381856072534454,55.66848072677909,68.87579149941972,11.463932234101236
"[11.58,11.82)",5.0,54.51458122764815,53.68664346358781,62.50528511530182,11.700301970886827
"[11.82,12.05)",3.0,60.29562940149799,62.29060795774203,65.90590739121816,11.93667170767242
"[12.05,12.29)",1.0,72.64228540066269,72.64228540066269,72.64228540066269,12.173041444458011
"[12.29,12.53)",2.0,49.310884568559146,49.310884568559146,59.142257099446894,12.409411181243605
"[12.53,12.76)",4.0,67.06278117916963,66.57722007483943,70.23758482381001,12.645780918029196
"[12.76,13.00)",5.0,65.10844752241451,64.0862442513683,71.51403549913684,12.88215065481479
"[13.00,13.24)",7.0,54.87729224819622,61.29412484957306,72.06815785598158,13.11852039160038
"[13.24,13.47)",8.0,63.47585295217043,68.30834282188812,77.8486257088838,13.354890128385975
"[13.47,13.71)",8.0,55.923000218756606,58.09864095733853,74.66679772770047,13.591259865171565
"[13.71,13.95)",5.0,59.215936898426925,60.47363133172369,63.74977906849314,13.82762960195716
"[13.95,14.18)",2.0,59.277829887744836,59.277829887744836,75.57877143440602,14.06399933874275
