x_bin,count,mean,median,std,p95,x_mid
"[6.98,7.22)",2.0,58.30952808556936,58.30952808556936,5.963312538700282,62.10455694657412,7.101090683043305
"[7.22,7.45)",,,,,,7.333913328388988
"[7.45,7.68)",,,,,,7.566735973734669
"[7.68,7.92)",,,,,,7.7995586190803525
"[7.92,8.15)",3.0,69.53111315132675,83.53591394879048,27.43576249091511,86.77785010312721,8.032381264426034
"[8.15,8.38)",,,,,,8.265203909771717
"[8.38,8.61)",,,,,,8.498026555117399
"[8.61,8.85)",,,,,,8.730849200463082
"[8.85,9.08)",3.0,108.67801064191303,114.4596480730207,23.723836954124366,127.52492992723185,8.963671845808763
"[9.08,9.31)",,,,,,9.196494491154446
"[9.31,9.55)",,,,,,9.429317136500128
"[9.55,9.78)",,,,,,9.662139781845811
"[9.78,10.01)",2.0,75.73496077939438,75.73496077939438,37.214279385616784,99.41798315888072,9.894962427191492
"[10.01,10.24)",,,,,,10.127785072537176
"[10.24,10.48)",,,,,,10.360607717882857
"[10.48,10.71)",,,,,,10.59343036322854
"[10.71,10.94)",,,,,,10.826253008574222
"[10.94,11.18)",3.0,121.80927305945075,105.67209122213951,34.30296910902323,155.65167694737897,11.059075653919905
"[11.18,11.41)",,,,,,11.291898299265586
"[11.41,11.64)",,,,,,11.52472094461127
"[11.64,11.87)",,,,,,11.757543589956951
"[11.87,12.11)",13.0,107.8546227242619,108.95511739137272,31.199682307475747,145.02152800035154,11.990366235302634
"[12.11,12.34)",,,,,,12.223188880648316
"[12.34,12.57)",,,,,,12.456011525993999
"[12.57,12.81)",,,,,,12.68883417133968
"[12.81,13.04)",37.0,116.5836844526846,113.22629539676495,19.41742026367384,139.24896071369182,12.921656816685363
"[13.04,13.27)",,,,,,13.154479462031045
"[13.27,13.50)",,,,,,13.387302107376728
"[13.50,13.74)",,,,,,13.62012475272241
"[13.74,13.97)",,,,,,13.852947398068093
"[13.97,14.20)",161.0,111.62357467033894,111.9058983511347,19.041443555417672,139.58456476228977,14.085770043413774
"[14.20,14.44)",,,,,,14.318592688759457
"[14.44,14.67)",,,,,,14.551415334105139
"[14.67,14.90)",,,,,,14.784237979450822
"[14.90,15.13)",436.0,109.53472969275869,109.62059203933909,12.774769124199597,126.77837816114038,15.017060624796503
"[15.13,15.37)",,,,,,15.249883270142186
"[15.37,15.60)",,,,,,15.482705915487868
"[15.60,15.83)",,,,,,15.715528560833551
"[15.83,16.06)",1174.0,109.54593371502098,108.64028841998618,13.381404941135594,130.74716161177514,15.948351206179233
"[16.06,16.30)",,,,,,16.181173851524917
"[16.30,16.53)",,,,,,16.413996496870595
"[16.53,16.76)",,,,,,16.64681914221628
"[16.76,17.00)",,,,,,16.87964178756196
"[17.00,17.23)",2062.0,110.52756945367355,108.83049060087217,12.607884839577512,132.9601423848438,17.112464432907643
"[17.23,17.46)",,,,,,17.345287078253328
"[17.46,17.69)",,,,,,17.57810972359901
"[17.69,17.93)",,,,,,17.81093236894469
"[17.93,18.16)",4009.0,109.23657295559299,107.30236757727997,12.507349273227277,132.04245537233783,18.043755014290376
"[18.16,18.39)",,,,,,18.276577659636054
"[18.39,18.63)",,,,,,18.50940030498174
"[18.63,18.86)",,,,,,18.74222295032742
"[18.86,19.09)",5583.0,110.22026887267072,107.91017473492543,12.68771932456052,133.62293133380086,18.9750455956731
"[19.09,19.32)",,,,,,19.207868241018787
"[19.32,19.56)",,,,,,19.440690886364468
"[19.56,19.79)",,,,,,19.67351353171015
"[19.79,20.02)",13099.0,107.29501769032642,105.41366498808831,12.562179969169305,130.3495307928411,19.906336177055834
"[20.02,20.26)",,,,,,20.139158822401512
"[20.26,20.49)",,,,,,20.371981467747197
"[20.49,20.72)",,,,,,20.60480411309288
"[20.72,20.95)",,,,,,20.83762675843856
"[20.95,21.19)",11476.0,109.65346411848654,107.54402438937967,12.88634552762616,133.25393944539113,21.070449403784245
"[21.19,21.42)",,,,,,21.303272049129927
"[21.42,21.65)",,,,,,21.536094694475608
"[21.65,21.89)",,,,,,21.768917339821293
"[21.89,22.12)",11901.0,110.43156563071175,108.12209011997852,13.051215525532081,134.20862235216305,22.00173998516697
"[22.12,22.35)",,,,,,22.234562630512656
"[22.35,22.58)",,,,,,22.467385275858337
"[22.58,22.82)",,,,,,22.70020792120402
"[22.82,23.05)",12541.0,111.25749823365243,109.1293444121283,12.990599100005507,134.72974498096926,22.933030566549704
"[23.05,23.28)",,,,,,23.165853211895385
"[23.28,23.52)",,,,,,23.398675857241066
"[23.52,23.75)",,,,,,23.63149850258675
"[23.75,23.98)",,,,,,23.86432114793243
"[23.98,24.21)",38449.0,108.5805888854392,106.80625524796744,12.960492639872438,131.8203147355827,24.097143793278114
"[24.21,24.45)",,,,,,24.329966438623796
"[24.45,24.68)",,,,,,24.562789083969477
"[24.68,24.91)",,,,,,24.795611729315162
"[24.91,25.14)",14654.0,111.84662188707065,110.04214487612347,13.234060084640008,135.2546547854092,25.028434374660844
"[25.14,25.38)",,,,,,25.261257020006525
"[25.38,25.61)",,,,,,25.49407966535221
"[25.61,25.84)",,,,,,25.726902310697888
"[25.84,26.08)",14854.0,111.34478761854544,109.51671391710462,13.107863826022637,134.733025712721,25.959724956043573
"[26.08,26.31)",,,,,,26.192547601389254
"[26.31,26.54)",,,,,,26.425370246734936
"[26.54,26.77)",,,,,,26.65819289208062
"[26.77,27.01)",17110.0,112.11680495306295,110.82656077919026,12.96156765814918,135.02628560579214,26.891015537426302
"[27.01,27.24)",,,,,,27.123838182771983
