x_bin,count,mean,median,p95,x_mid
"[8.01,9.34)",1.0,14.655676220243867,14.655676220243867,14.655676220243867,8.677242685388489
"[9.34,10.68)",1.0,14.03184279838504,14.03184279838504,14.03184279838504,10.012203098525177
"[10.68,12.01)",1.0,18.48032894397201,18.48032894397201,18.48032894397201,11.347163511661869
"[12.01,13.35)",1.0,15.792913883053233,15.792913883053233,15.792913883053233,12.682123924798557
"[13.35,14.68)",3.0,25.198158309137444,21.758140224171555,36.30323826883979,14.017084337935248
"[14.68,16.02)",,,,,15.352044751071936
"[16.02,17.35)",2.0,40.4319140084672,40.4319140084672,52.72673781685438,16.687005164208628
"[17.35,18.69)",1.0,14.706107377577016,14.706107377577016,14.706107377577016,18.021965577345316
"[18.69,20.02)",4.0,28.691070959639905,17.621606313249575,55.79053374400365,19.356925990482008
"[20.02,21.36)",1.0,39.440145332718075,39.440145332718075,39.440145332718075,20.691886403618696
"[21.36,22.69)",1.0,49.420491468854,49.420491468854,49.420491468854,22.026846816755388
"[22.69,24.03)",,,,,23.361807229892076
"[24.03,25.36)",4.0,22.649393236734,23.09524025914937,23.28911404972132,24.696767643028767
"[25.36,26.70)",,,,,26.031728056165456
"[26.70,28.03)",,,,,27.366688469302147
"[28.03,29.37)",,,,,28.701648882438835
"[29.37,30.70)",1.0,83.53591394879048,83.53591394879048,83.53591394879048,30.036609295575527
"[30.70,32.04)",1.0,87.13806523138685,87.13806523138685,87.13806523138685,31.371569708712215
"[32.04,33.37)",2.0,64.69375954417734,64.69375954417734,80.80735630193452,32.7065301218489
"[33.37,34.71)",2.0,32.70477487250434,32.70477487250434,32.70477487250434,34.0414905349856
"[34.71,36.04)",1.0,67.15978759853459,67.15978759853459,67.15978759853459,35.37645094812228
"[36.04,37.38)",1.0,20.758402277828797,20.758402277828797,20.758402277828797,36.71141136125898
"[37.38,38.71)",,,,,38.046371774395666
"[38.71,40.05)",1.0,48.79583520145,48.79583520145,48.79583520145,39.38133218753235
"[40.05,41.38)",3.0,47.99877779385011,51.595977252258805,56.91772461762296,40.71629260066905
"[41.38,42.72)",1.0,60.164371507295435,60.164371507295435,60.164371507295435,42.051253013805734
"[42.72,44.05)",1.0,47.390856081449954,47.390856081449954,47.390856081449954,43.38621342694242
"[44.05,45.39)",2.0,80.6105868354047,80.6105868354047,99.90554576448176,44.72117384007912
"[45.39,46.72)",4.0,67.16143408045232,63.77971965446781,107.63742657095767,46.0561342532158
"[46.72,48.06)",7.0,60.50280493096792,56.05200540071872,90.62004303607132,47.3910946663525
"[48.06,49.39)",3.0,67.68136260893112,69.30770532178337,72.58664659519633,48.726055079489186
"[49.39,50.73)",5.0,57.83986645006492,66.23876137918236,74.03194358377058,50.06101549262587
"[50.73,52.06)",7.0,88.02308474964613,78.2947515241776,121.985266904365,51.39597590576257
"[52.06,53.40)",10.0,62.838996441069824,64.49415488731185,88.94314085693622,52.73093631889925
"[53.40,54.73)",9.0,72.32913046408656,76.73392842288179,81.93714366614941,54.06589673203594
"[54.73,56.07)",8.0,86.13621704761913,90.09703827397874,96.55438552449084,55.40085714517264
"[56.07,57.40)",13.0,74.23948807904323,79.57904173519162,105.76641406024903,56.73581755830932
"[57.40,58.74)",18.0,83.06087982890051,84.46382870050826,109.04268841989986,58.07077797144602
"[58.74,60.07)",24.0,76.52549061500979,84.42832423882437,101.41179313313495,59.405738384582705
"[60.07,61.41)",28.0,86.57933491846562,91.30821676096977,106.69138744891754,60.74069879771939
"[61.41,62.74)",30.0,90.1664303187281,93.26741765978282,104.61416024558409,62.07565921085609
"[62.74,64.08)",54.0,91.91789818075786,90.35525550652267,110.04135814472004,63.41061962399277
"[64.08,65.41)",63.0,91.40115395617754,91.92021334338791,105.64034151321427,64.74558003712946
"[65.41,66.75)",81.0,93.39304936742768,94.23686369992404,106.60884536173356,66.08054045026616
"[66.75,68.08)",97.0,96.07756028303162,95.10657113344172,109.57224590822103,67.41550086340284
"[68.08,69.42)",136.0,97.66363311244426,97.37476299943975,111.76179875608133,68.75046127653954
"[69.42,70.75)",186.0,98.62001014579218,98.83442732278829,113.72703939805888,70.08542168967622
"[70.75,72.09)",220.0,98.21708544433787,100.2299048157889,115.75164743588779,71.42038210281291
"[72.09,73.42)",272.0,98.25849759581683,97.4726054194677,110.42711200382286,72.7553425159496
"[73.42,74.76)",394.0,98.29700174866538,98.26172560917064,112.00148766366111,74.09030292908629
"[74.76,76.09)",476.0,98.19294430072019,99.72545302856298,113.78678366923539,75.42526334222299
"[76.09,77.43)",591.0,98.28285261657258,96.88523703185906,115.27948950601638,76.76022375535968
"[77.43,78.76)",715.0,98.47803844925343,98.21850022592136,111.11602711376203,78.09518416849636
"[78.76,80.10)",874.0,98.01221356597173,99.09941918428765,112.40871024832217,79.43014458163304
"[80.10,81.43)",1091.0,98.31690364100851,96.58281681084944,114.16766609703777,80.76510499476974
"[81.43,82.77)",1225.0,98.43278804827817,97.3800762505864,110.11945990988889,82.10006540790644
"[82.77,84.10)",1468.0,98.98284379070115,98.62375388726278,111.59978987491897,83.43502582104313
"[84.10,85.44)",1545.0,99.8011014792752,96.5418355529086,113.0887211269768,84.76998623417981
"[85.44,86.77)",1764.0,100.42182229530925,97.90639353491144,114.6898414162849,86.1049466473165
"[86.77,88.11)",1886.0,100.748626804805,99.17621357169224,116.00863170108076,87.4399070604532
"[88.11,89.44)",1947.0,101.39513025140377,100.4832139373152,117.38145617119885,88.77486747358988
"[89.44,90.78)",2078.0,101.20092689518798,101.6279098675206,113.89063041622568,90.10982788672658
"[90.78,92.11)",2266.0,101.26594787435451,102.79505426034652,115.17126868515274,91.44478829986326
"[92.11,93.45)",2469.0,101.16355603637385,100.34403346359504,116.48227178958442,92.77974871299995
"[93.45,94.78)",2704.0,101.44463673448894,101.4036918483529,118.02564082262926,94.11470912613663
"[94.78,96.12)",2838.0,101.40565655858845,102.37263439422523,119.25179002753967,95.44966953927333
"[96.12,97.45)",3163.0,101.30200298295343,99.86896358416224,115.65604734261439,96.78462995241003
"[97.45,98.79)",3328.0,101.57055582727335,100.82709932597811,116.94472609822373,98.11959036554671
"[98.79,100.12)",3651.0,102.16942096198804,101.87041446624484,118.64417428937365,99.4545507786834
"[100.12,101.46)",3762.0,102.45190996625941,99.53932037615608,119.71214847057779,100.78951119182008
"[101.46,102.79)",3900.0,102.5544765727059,100.33828574468967,120.88905194892074,102.12447160495678
"[102.79,104.13)",4092.0,103.08407739008466,101.26886879831974,117.67121824977615,103.45943201809348
"[104.13,105.46)",4002.0,104.04830192283025,102.56875500789343,119.07720763499103,104.79439243123016
"[105.46,106.80)",4124.0,104.3160539758685,100.51527171374838,120.48776271729649,106.12935284436685
"[106.80,108.13)",4349.0,104.39893224964814,101.6282331163566,121.56536116317545,107.46431325750353
"[108.13,109.47)",4399.0,104.72592528469777,102.7427685010122,122.91250397474461,108.79927367064023
"[109.47,110.80)",4299.0,105.03040329457262,103.87725063510683,124.21675389148824,110.13423408377692
"[110.80,112.14)",4475.0,105.2342212911539,104.97053205742203,120.73091060835233,111.46919449691362
"[112.14,113.47)",4606.0,105.78845156834265,106.1036982030398,122.21118138390206,112.8041549100503
