x_bin,count,mean,median,p95,x_mid
"[8.01,9.34)",1.0,10.55021255057052,10.55021255057052,10.55021255057052,8.677242685388489
"[9.34,10.68)",1.0,8.868253186379372,8.868253186379372,8.868253186379372,10.012203098525177
"[10.68,12.01)",1.0,13.21639040118875,13.21639040118875,13.21639040118875,11.347163511661869
"[12.01,13.35)",1.0,8.412079446519037,8.412079446519037,8.412079446519037,12.682123924798557
"[13.35,14.68)",3.0,21.029531194979523,14.470631797876134,37.57374548565306,14.017084337935248
"[14.68,16.02)",,,,,15.352044751071936
"[16.02,17.35)",2.0,36.379025431191614,36.379025431191614,52.210291097068,16.687005164208628
"[17.35,18.69)",1.0,5.338403739068443,5.338403739068443,5.338403739068443,18.021965577345316
"[18.69,20.02)",4.0,19.83441883894347,7.442400396325015,50.26301426507159,19.356925990482008
"[20.02,21.36)",1.0,30.316696162042216,30.316696162042216,30.316696162042216,20.691886403618696
"[21.36,22.69)",1.0,41.32374963158061,41.32374963158061,41.32374963158061,22.026846816755388
"[22.69,24.03)",,,,,23.361807229892076
"[24.03,25.36)",4.0,9.286910000816793,9.715184287704307,9.795184610075085,24.696767643028767
"[25.36,26.70)",,,,,26.031728056165456
"[26.70,28.03)",,,,,27.366688469302147
"[28.03,29.37)",,,,,28.701648882438835
"[29.37,30.70)",1.0,61.70729979656782,61.70729979656782,61.70729979656782,30.036609295575527
"[30.70,32.04)",1.0,62.70497501318661,62.70497501318661,62.70497501318661,31.371569708712215
"[32.04,33.37)",2.0,43.00103186096885,43.00103186096885,56.96350628720854,32.7065301218489
"[33.37,34.71)",2.0,13.62796863697666,13.62796863697666,13.62796863697666,34.0414905349856
"[34.71,36.04)",1.0,44.87707134172607,44.87707134172607,44.87707134172607,35.37645094812228
"[36.04,37.38)",1.0,5.2751567371720895,5.2751567371720895,5.2751567371720895,36.71141136125898
"[37.38,38.71)",,,,,38.046371774395666
"[38.71,40.05)",1.0,25.748082945479705,25.748082945479705,25.748082945479705,39.38133218753235
"[40.05,41.38)",3.0,24.34893686822254,27.02059494384533,32.04021377757294,40.71629260066905
"[41.38,42.72)",1.0,33.78262284255415,33.78262284255415,33.78262284255415,42.051253013805734
"[42.72,44.05)",1.0,21.87537246744779,21.87537246744779,21.87537246744779,43.38621342694242
"[44.05,45.39)",2.0,46.4615335448552,46.4615335448552,59.68542359196534,44.72117384007912
"[45.39,46.72)",4.0,35.61050099312992,34.679903039488906,62.12627290874943,46.0561342532158
"[46.72,48.06)",7.0,31.031929841487024,27.693316601183565,52.69051548008899,47.3910946663525
"[48.06,49.39)",3.0,36.49554598109208,37.62045502205331,40.54363039851349,48.726055079489186
"[49.39,50.73)",5.0,28.055243576947095,34.73050834745734,40.56777206078308,50.06101549262587
"[50.73,52.06)",7.0,47.91046598252291,42.881168844442186,65.90946801938777,51.39597590576257
