x_bin,count,mean,median,p95,x_mid
"[8.01,9.34)",1.0,-0.0061728395061605,-0.0061728395061605,-0.0061728395061605,8.677242685388489
"[9.34,10.68)",1.0,0.0771175726927985,0.0771175726927985,0.0771175726927985,10.012203098525177
"[10.68,12.01)",1.0,-0.1143057503506301,-0.1143057503506301,-0.1143057503506301,11.347163511661869
"[12.01,13.35)",1.0,-0.0684210526315829,-0.0684210526315829,-0.0684210526315829,12.682123924798557
"[13.35,14.68)",3.0,1.925589264577231,0.092647058823526,5.16926470588238,14.017084337935248
"[14.68,16.02)",,,,,15.352044751071936
"[16.02,17.35)",2.0,4.304158512720149,4.304158512720149,9.180758317025397,16.687005164208628
"[17.35,18.69)",1.0,0.0103304215723522,0.0103304215723522,0.0103304215723522,18.021965577345316
"[18.69,20.02)",4.0,2.0658075885791787,-0.4442776799844981,8.49394883886179,19.356925990482008
"[20.02,21.36)",1.0,1.8956043956044992,1.8956043956044992,1.8956043956044992,20.691886403618696
"[21.36,22.69)",1.0,1.3727272727272584,1.3727272727272584,1.3727272727272584,22.026846816755388
"[22.69,24.03)",,,,,23.361807229892076
"[24.03,25.36)",4.0,4.910714285714293,4.910714285714293,10.0,24.696767643028767
"[25.36,26.70)",,,,,26.031728056165456
"[26.70,28.03)",,,,,27.366688469302147
"[28.03,29.37)",,,,,28.701648882438835
"[29.37,30.70)",1.0,0.5333333333332815,0.5333333333332815,0.5333333333332815,30.036609295575527
"[30.70,32.04)",1.0,9.799999999999946,9.799999999999946,9.799999999999946,31.371569708712215
"[32.04,33.37)",2.0,5.493872549019672,5.493872549019672,9.549387254901967,32.7065301218489
"[33.37,34.71)",2.0,7.866071428571448,7.866071428571448,7.866071428571448,34.0414905349856
"[34.71,36.04)",1.0,8.730769230769257,8.730769230769257,8.730769230769257,35.37645094812228
"[36.04,37.38)",1.0,-0.1366666666666737,-0.1366666666666737,-0.1366666666666737,36.71141136125898
"[37.38,38.71)",,,,,38.046371774395666
"[38.71,40.05)",1.0,2.6319077366650765,2.6319077366650765,2.6319077366650765,39.38133218753235
"[40.05,41.38)",3.0,3.7690114999267155,4.672823973464452,6.272282397346412,40.71629260066905
"[41.38,42.72)",1.0,0.2412839809552034,0.2412839809552034,0.2412839809552034,42.051253013805734
"[42.72,44.05)",1.0,10.0,10.0,10.0,43.38621342694242
"[44.05,45.39)",2.0,0.28450495282643107,0.28450495282643107,0.33601395582483506,44.72117384007912
"[45.39,46.72)",4.0,2.2525031894406324,1.7649286987522448,5.169925180598537,46.0561342532158
"[46.72,48.06)",7.0,5.039557010310631,4.544891640866855,10.0,47.3910946663525
"[48.06,49.39)",3.0,2.672643618851002,2.368421052631471,3.863312693498412,48.726055079489186
"[49.39,50.73)",5.0,3.2244890127395203,0.9169128508124282,8.722058823529403,50.06101549262587
"[50.73,52.06)",7.0,2.3547132728689593,1.7147058823529244,4.842499999999991,51.39597590576257
"[52.06,53.40)",10.0,2.417312266749923,2.3229647894984513,7.38586698337288,52.73093631889925
"[53.40,54.73)",9.0,2.651438119294797,1.832589285714257,7.948235294117628,54.06589673203594
"[54.73,56.07)",8.0,1.1099180930513557,0.82486263736268,2.766923076923058,55.40085714517264
"[56.07,57.40)",13.0,1.4958532050841324,1.671568627450991,3.846038961038958,56.73581755830932
"[57.40,58.74)",18.0,2.369228838563716,2.206043956043963,5.695199537304811,58.07077797144602
"[58.74,60.07)",24.0,2.8287636974354355,1.9256670307380341,10.0,59.405738384582705
"[60.07,61.41)",28.0,2.3595691632459372,1.8193560825139543,7.5907612781954565,60.74069879771939
"[61.41,62.74)",30.0,1.7711024077194215,1.454670329670301,3.5025771526001437,62.07565921085609
"[62.74,64.08)",54.0,2.4299612817221115,2.1758588405519554,4.724228543195895,63.41061962399277
"[64.08,65.41)",63.0,1.7882696076851121,1.6179245283018382,4.404210373189581,64.74558003712946
"[65.41,66.75)",81.0,1.9105298287014796,1.778571428571465,4.478676470588218,66.08054045026616
"[66.75,68.08)",97.0,2.179274984313871,2.1235294117647103,4.741225010941475,67.41550086340284
"[68.08,69.42)",136.0,2.0253919594237626,1.7980311573124088,4.356903455631883,68.75046127653954
"[69.42,70.75)",186.0,2.124257728634948,1.9840686274509851,4.557000600711611,70.08542168967622
"[70.75,72.09)",220.0,1.9637508335421798,1.9514705882352934,3.9722136222909774,71.42038210281291
"[72.09,73.42)",272.0,1.9956794029477412,1.9319442081329408,3.9123195187165853,72.7553425159496
"[73.42,74.76)",394.0,2.05447093244673,1.9824675324675054,3.9302889576883158,74.09030292908629
"[74.76,76.09)",476.0,2.105476761357709,1.9844685242517688,4.334848484848473,75.42526334222299
"[76.09,77.43)",591.0,2.114383253193014,2.00245098039219,4.319349845201193,76.76022375535968
"[77.43,78.76)",715.0,2.072783995570499,1.9999999999999996,3.906491228070134,78.09518416849636
"[78.76,80.10)",874.0,2.1278953551526474,2.052922077922064,4.058339783281732,79.43014458163304
"[80.10,81.43)",1091.0,2.03882944769044,1.976190476190472,3.7457406814909,80.76510499476974
"[81.43,82.77)",1225.0,2.1362274619027732,2.071146245059249,4.044761904761844,82.10006540790644
"[82.77,84.10)",1468.0,2.1200800458647224,2.0571428571428605,4.061785714285702,83.43502582104313
"[84.10,85.44)",1545.0,2.180234790734679,2.0789473684210065,4.086315789473669,84.76998623417981
"[85.44,86.77)",1764.0,2.100390399903054,2.054340396445605,4.019647983595275,86.1049466473165
"[86.77,88.11)",1886.0,2.1197868871253576,2.0344611528821672,3.963293650793635,87.4399070604532
"[88.11,89.44)",1947.0,2.179114762635338,2.1195488721803613,4.082895727460978,88.77486747358988
"[89.44,90.78)",2078.0,2.06987329912209,2.004615705931457,3.9420701182177535,90.10982788672658
"[90.78,92.11)",2266.0,2.0969709024752694,2.004093732354559,4.081468531468559,91.44478829986326
"[92.11,93.45)",2469.0,2.0876855802700107,2.0337662337662192,3.925985319028775,92.77974871299995
"[93.45,94.78)",2704.0,2.077184884263104,2.010135516657212,4.10161995898833,94.11470912613663
"[94.78,96.12)",2838.0,2.029000950318021,1.9975541620849904,3.9322966507176327,95.44966953927333
"[96.12,97.45)",3163.0,2.0287861687608078,1.9644268774703488,3.911590909090904,96.78462995241003
"[97.45,98.79)",3328.0,2.0492889826986587,1.9679487179487225,3.9708918128654505,98.11959036554671
"[98.79,100.12)",3651.0,2.0710287923611554,1.9926086956521671,3.914285714285719,99.4545507786834
"[100.12,101.46)",3762.0,2.0920522765802407,2.0316798418972173,3.9731250000000053,100.78951119182008
"[101.46,102.79)",3900.0,2.0494037174415984,2.00843253968256,3.8956970638056343,102.12447160495678
"[102.79,104.13)",4092.0,2.0523763932260954,2.000000000000016,3.9387418831168417,103.45943201809348
"[104.13,105.46)",4002.0,2.075696337917435,2.003642010163722,4.00112224731789,104.79439243123016
"[105.46,106.80)",4124.0,2.0697020584146872,2.006337792642137,3.942586956521707,106.12935284436685
"[106.80,108.13)",4349.0,2.0662721392866175,1.984754376058728,3.9736335403726546,107.46431325750353
"[108.13,109.47)",4399.0,2.0763267794660663,2.0115384615384886,3.929637730690347,108.79927367064023
"[109.47,110.80)",4299.0,2.0476970604024927,1.9732142857143191,4.071612593183002,110.13423408377692
"[110.80,112.14)",4475.0,2.0010826043043606,1.9515151515151463,3.9291304347826057,111.46919449691362
"[112.14,113.47)",4606.0,2.033598101440444,1.9732142857143105,3.916290231507615,112.8041549100503
"[113.47,114.81)",4720.0,2.019552630825014,1.9690874343048104,3.9463807134894098,114.13911532318699
"[114.81,116.14)",4742.0,2.0162017739982883,1.9568530321196231,3.88388431677021,115.47407573632367
"[116.14,117.48)",4920.0,2.0144742823438757,1.9676068376068485,3.8930403726708205,116.80903614946037
"[117.48,118.81)",4937.0,2.0033289672407477,1.9307608100712068,3.8538535860274923,118.14399656259707
"[118.81,120.15)",4910.0,1.9867257427505498,1.928057594579308,3.8818302334785186,119.47895697573375
"[120.15,121.48)",5060.0,2.023944812727292,1.9654500671741926,3.9375993589743805,120.81391738887044
"[121.48,122.82)",4960.0,1.9875246489999614,1.9202136752137031,3.8762653940886818,122.14887780200712
"[122.82,124.15)",5005.0,1.9875891473435043,1.930357142857087,3.901468097120264,123.48383821514382
"[124.15,125.49)",5166.0,2.010571083368626,1.9547757989137302,3.868752874620593,124.81879862828052
"[125.49,126.82)",5144.0,1.977265573928129,1.8928571428571712,3.928571428571441,126.1537590414172
"[126.82,128.16)",5137.0,2.0111593160301555,1.9413919413919345,3.9110759771629406,127.48871945455389
"[128.16,129.49)",5084.0,1.9889240304323885,1.932663555635088,3.823910428729022,128.82367986769057
"[129.49,130.83)",5146.0,1.9673520644738176,1.9166666666666972,3.7884390394089307,130.15864028082726
"[130.83,132.16)",5169.0,1.9959369215426237,1.9404761904761936,3.8926442078499925,131.49360069396397
"[132.16,133.50)",5198.0,2.0033689674935946,1.9499999999999675,3.9112527448396848,132.82856110710065
"[133.50,134.83)",5016.0,1.9869001705527543,1.92857142857146,3.9017857142857157,134.16352152023734
"[134.83,136.17)",5041.0,1.9761348411104729,1.9147942157953528,3.944444444444434,135.49848193337402
"[136.17,137.50)",4881.0,1.989462973501446,1.941434044882321,3.912807881773379,136.8334423465107
"[137.50,138.84)",4886.0,1.9891203206344397,1.925263189257917,3.899999999999953,138.1684027596474
"[138.84,140.17)",4898.0,1.9876552558272307,1.9304724687077868,3.9836011904761848,139.5033631727841
"[140.17,141.51)",4709.0,1.9346551855016885,1.863235294117643,3.87380952380955,140.8383235859208
"[141.51,142.84)",4824.0,1.9714052586594246,1.91052955665027,3.8826939655172374,142.17328399905747
"[142.84,144.18)",4729.0,1.956526904965814,1.9094371168493591,3.8914628855857925,143.50824441219416
"[144.18,145.51)",4669.0,1.9639632296865777,1.8837438423645432,3.9547938185285196,144.84320482533087
"[145.51,146.85)",4580.0,1.9507433996301713,1.9101608385289652,3.8241791541791854,146.17816523846756
"[146.85,148.18)",4486.0,1.9388962963948813,1.8794848111658438,3.8433035714285886,147.51312565160424
"[148.18,149.52)",4371.0,1.9622646265000718,1.9002291825821631,3.8701197720467517,148.84808606474093
"[149.52,150.85)",4545.0,1.9414990747037901,1.8958333333333923,3.9309359605911234,150.1830464778776
"[150.85,152.19)",4233.0,1.9259382205042188,1.8779761904762184,3.8829825347066467,151.5180068910143
"[152.19,153.52)",4220.0,1.9350777777566277,1.8825757575757445,3.8811282051282228,152.852967304151
"[153.52,154.86)",4163.0,1.9229521509921026,1.8569865411970576,3.8870427004543027,154.1879277172877
"[154.86,156.19)",3937.0,1.9630056175873236,1.8999999999999704,3.9613554903877435,155.52288813042438
"[156.19,157.53)",3926.0,1.9450883229715534,1.90855933282405,3.941863479262673,156.85784854356106
"[157.53,158.86)",3805.0,1.9323414976424915,1.8341237636318015,3.913131313131314,158.19280895669775
"[158.86,160.20)",3725.0,1.8869884455388375,1.8338481338481472,3.8450574712643992,159.52776936983446
"[160.20,161.53)",3616.0,1.892751970456163,1.814827404568853,3.8962182306940214,160.86272978297114
"[161.53,162.87)",3526.0,1.8862269787733994,1.8211132913575907,3.8332874586147527,162.19769019610783
"[162.87,164.20)",3402.0,1.842452792010956,1.7615494488825998,3.7975732600733054,163.5326506092445
"[164.20,165.54)",3575.0,1.8682992763076196,1.8165266106442892,3.819628247876884,164.8676110223812
"[165.54,166.87)",3284.0,1.8540665140660462,1.7836721785488536,3.8241437728937457,166.20257143551788
"[166.87,168.21)",3329.0,1.8366707619118905,1.7812177502579736,3.706612903225795,167.5375318486546
"[168.21,169.54)",3269.0,1.846563673596611,1.7597387829364135,3.812499999999987,168.87249226179128
"[169.54,170.87)",3211.0,1.8042480211154597,1.7222820236813463,3.78588751289987,170.20745267492796
"[170.87,172.21)",3120.0,1.8128551369378023,1.7946093122563833,3.7910862658847826,171.54241308806465
"[172.21,173.54)",3189.0,1.841013848994327,1.7870664186453218,3.7847464583919392,172.87737350120133
"[173.54,174.88)",2956.0,1.7939021438647527,1.7573349392503435,3.77286184210529,174.21233391433805
"[174.88,176.21)",2891.0,1.8120229489551922,1.7791666666666452,3.774999999999978,175.54729432747473
"[176.21,177.55)",2874.0,1.8104354653088035,1.7646464056681062,3.725081417611767,176.88225474061142
"[177.55,178.88)",2813.0,1.8333201859184345,1.777272727272747,3.739640762463409,178.2172151537481
"[178.88,180.22)",2689.0,1.8521189424034818,1.7973303670745011,3.8594525401800768,179.55217556688478
"[180.22,181.55)",2603.0,1.8216801625696446,1.7885154061624964,3.8081060606060233,180.88713598002147
"[181.55,182.89)",2538.0,1.8423303004170637,1.7825757575757435,3.8793329184447334,182.22209639315818
"[182.89,184.22)",2426.0,1.7982995006550646,1.7261029411764166,3.7841440205114516,183.55705680629487
"[184.22,185.56)",2368.0,1.772371532902376,1.6729037826173863,3.859210043988278,184.89201721943155
"[185.56,186.89)",2286.0,1.7724484418479924,1.713825757575758,3.8362427107560615,186.22697763256824
"[186.89,188.23)",2352.0,1.752921055179095,1.6702898987347663,3.840886479591815,187.56193804570495
"[188.23,189.56)",2268.0,1.7275299460706808,1.6866714929215076,3.723541666666659,188.89689845884163
"[189.56,190.90)",2175.0,1.665921398954198,1.6012099436486034,3.694400670453289,190.23185887197832
"[190.90,192.23)",2093.0,1.6756830879295985,1.5984848484848535,3.7237353649195546,191.566819285115
"[192.23,193.57)",1982.0,1.6708584823338335,1.599999999999991,3.6972018572825784,192.9017796982517
"[193.57,194.90)",1996.0,1.670907644481728,1.5780388007931585,3.682291666666651,194.23674011138837
"[194.90,196.24)",1878.0,1.61438906756262,1.5445390897601692,3.555292711139986,195.57170052452508
"[196.24,197.57)",1873.0,1.675325896440052,1.604971857410868,3.7678013617619546,196.90666093766177
"[197.57,198.91)",1779.0,1.6445232432355963,1.6083916083915866,3.7495826029129677,198.24162135079845
"[198.91,200.24)",1457.0,1.6468504129121857,1.612121212121215,3.7108762904864414,199.57658176393514
