x_bin,count,mean,median,p95,x_mid
"[13.85,14.35)",1.0,16.0,16.0,16.0,14.101521128111798
"[14.35,14.84)",2.0,21.0,21.0,27.3,14.596311343133266
"[14.84,15.34)",,,,,15.091101558154733
"[15.34,15.83)",1.0,19.0,19.0,19.0,15.5858917731762
"[15.83,16.33)",1.0,19.0,19.0,19.0,16.080681988197668
"[16.33,16.82)",,,,,16.575472203219135
"[16.82,17.32)",1.0,26.0,26.0,26.0,17.070262418240603
"[17.32,17.81)",2.0,24.0,24.0,24.0,17.56505263326207
"[17.81,18.31)",,,,,18.059842848283537
"[18.31,18.80)",1.0,14.0,14.0,14.0,18.554633063305005
"[18.80,19.30)",,,,,19.049423278326472
"[19.30,19.79)",,,,,19.54421349334794
"[19.79,20.29)",,,,,20.039003708369407
"[20.29,20.78)",1.0,40.0,40.0,40.0,20.533793923390874
"[20.78,21.28)",1.0,27.0,27.0,27.0,21.02858413841234
"[21.28,21.77)",1.0,15.0,15.0,15.0,21.52337435343381
"[21.77,22.27)",,,,,22.018164568455276
"[22.27,22.76)",,,,,22.512954783476744
"[22.76,23.26)",1.0,24.0,24.0,24.0,23.00774499849821
"[23.26,23.75)",2.0,24.0,24.0,24.0,23.50253521351968
"[23.75,24.24)",,,,,23.997325428541146
"[24.24,24.74)",,,,,24.492115643562613
"[24.74,25.23)",,,,,24.98690585858408
"[25.23,25.73)",,,,,25.481696073605548
"[25.73,26.22)",1.0,41.0,41.0,41.0,25.976486288627015
"[26.22,26.72)",3.0,45.0,48.0,48.0,26.471276503648483
"[26.72,27.21)",1.0,14.0,14.0,14.0,26.96606671866995
"[27.21,27.71)",,,,,27.460856933691417
"[27.71,28.20)",,,,,27.955647148712885
"[28.20,28.70)",,,,,28.450437363734352
"[28.70,29.19)",,,,,28.94522757875582
"[29.19,29.69)",,,,,29.440017793777287
"[29.69,30.18)",,,,,29.934808008798754
"[30.18,30.68)",,,,,30.42959822382022
"[30.68,31.17)",,,,,30.92438843884169
"[31.17,31.67)",,,,,31.419178653863156
"[31.67,32.16)",,,,,31.913968868884623
"[32.16,32.66)",,,,,32.40875908390609
"[32.66,33.15)",3.0,35.666666666666664,24.0,55.5,32.90354929892756
"[33.15,33.65)",2.0,40.0,40.0,40.0,33.398339513949026
"[33.65,34.14)",1.0,39.0,39.0,39.0,33.89312972897049
"[34.14,34.64)",,,,,34.38791994399196
"[34.64,35.13)",1.0,26.0,26.0,26.0,34.88271015901343
"[35.13,35.62)",,,,,35.377500374034895
"[35.62,36.12)",1.0,54.0,54.0,54.0,35.87229058905636
"[36.12,36.61)",,,,,36.36708080407783
"[36.61,37.11)",,,,,36.8618710190993
"[37.11,37.60)",,,,,37.356661234120764
"[37.60,38.10)",1.0,8.0,8.0,8.0,37.85145144914223
"[38.10,38.59)",1.0,31.0,31.0,31.0,38.3462416641637
"[38.59,39.09)",1.0,45.0,45.0,45.0,38.84103187918517
"[39.09,39.58)",2.0,23.5,23.5,33.85,39.335822094206634
"[39.58,40.08)",1.0,30.0,30.0,30.0,39.8306123092281
"[40.08,40.57)",2.0,28.0,28.0,28.0,40.32540252424957
"[40.57,41.07)",3.0,48.0,53.0,53.0,40.820192739271036
"[41.07,41.56)",1.0,29.0,29.0,29.0,41.3149829542925
"[41.56,42.06)",1.0,60.0,60.0,60.0,41.80977316931397
"[42.06,42.55)",2.0,30.0,30.0,31.8,42.30456338433544
"[42.55,43.05)",1.0,51.0,51.0,51.0,42.799353599356905
"[43.05,43.54)",1.0,58.0,58.0,58.0,43.29414381437837
"[43.54,44.04)",,,,,43.78893402939984
"[44.04,44.53)",1.0,30.0,30.0,30.0,44.28372424442131
"[44.53,45.03)",1.0,39.0,39.0,39.0,44.778514459442775
"[45.03,45.52)",1.0,46.0,46.0,46.0,45.27330467446424
"[45.52,46.02)",,,,,45.76809488948571
"[46.02,46.51)",1.0,48.0,48.0,48.0,46.26288510450718
"[46.51,47.01)",2.0,22.5,22.5,28.349999999999998,46.757675319528644
"[47.01,47.50)",2.0,24.5,24.5,27.65,47.25246553455011
"[47.50,47.99)",2.0,49.5,49.5,57.15,47.74725574957158
