x_bin,count,mean,median,p95,x_mid
"[5.20,5.44)",2.0,34.0,34.0,39.4,5.318319077675834
"[5.44,5.67)",2.0,48.0,48.0,48.0,5.554688814461426
"[5.67,5.91)",1.0,59.0,59.0,59.0,5.791058551247018
"[5.91,6.15)",,,,,6.027428288032611
"[6.15,6.38)",,,,,6.263798024818203
"[6.38,6.62)",1.0,41.0,41.0,41.0,6.500167761603795
"[6.62,6.85)",2.0,40.0,40.0,52.6,6.736537498389388
"[6.85,7.09)",2.0,49.5,49.5,58.949999999999996,6.97290723517498
"[7.09,7.33)",,,,,7.2092769719605725
"[7.33,7.56)",2.0,24.0,24.0,24.0,7.445646708746165
"[7.56,7.80)",3.0,54.666666666666664,53.0,57.5,7.682016445531757
"[7.80,8.04)",1.0,27.0,27.0,27.0,7.91838618231735
"[8.04,8.27)",,,,,8.154755919102943
"[8.27,8.51)",6.0,37.833333333333336,40.0,56.25,8.391125655888533
"[8.51,8.75)",2.0,52.5,52.5,59.25,8.627495392674128
"[8.75,8.98)",2.0,27.5,27.5,37.85,8.863865129459718
"[8.98,9.22)",2.0,58.0,58.0,59.8,9.100234866245312
"[9.22,9.45)",,,,,9.336604603030903
"[9.45,9.69)",3.0,45.666666666666664,56.0,56.9,9.572974339816497
"[9.69,9.93)",3.0,32.0,24.0,45.599999999999994,9.809344076602088
"[9.93,10.16)",3.0,49.666666666666664,51.0,51.9,10.045713813387682
"[10.16,10.40)",1.0,60.0,60.0,60.0,10.282083550173272
"[10.40,10.64)",4.0,41.25,49.5,51.85,10.518453286958866
"[10.64,10.87)",2.0,43.0,43.0,47.5,10.754823023744457
"[10.87,11.11)",2.0,58.0,58.0,58.0,10.991192760530051
"[11.11,11.35)",4.0,48.0,51.0,54.7,11.227562497315642
"[11.35,11.58)",7.0,50.142857142857146,49.0,60.0,11.463932234101236
"[11.58,11.82)",5.0,46.8,46.0,53.4,11.700301970886827
"[11.82,12.05)",3.0,50.666666666666664,52.0,55.6,11.93667170767242
"[12.05,12.29)",1.0,60.0,60.0,60.0,12.173041444458011
"[12.29,12.53)",2.0,40.0,40.0,48.1,12.409411181243605
"[12.53,12.76)",4.0,53.0,52.5,55.55,12.645780918029196
"[12.76,13.00)",5.0,50.6,50.0,55.6,12.88215065481479
"[13.00,13.24)",7.0,41.857142857142854,47.0,54.8,13.11852039160038
"[13.24,13.47)",8.0,47.5,51.0,58.0,13.354890128385975
"[13.47,13.71)",8.0,41.0,42.5,54.949999999999996,13.591259865171565
"[13.71,13.95)",5.0,43.0,44.0,46.4,13.82762960195716
"[13.95,14.18)",2.0,42.0,42.0,53.699999999999996,14.06399933874275
"[14.18,14.42)",12.0,46.666666666666664,50.0,55.45,14.300369075528344
"[14.42,14.65)",6.0,41.166666666666664,46.5,53.0,14.536738812313935
"[14.65,14.89)",9.0,43.111111111111114,40.0,54.6,14.773108549099529
"[14.89,15.13)",4.0,41.75,44.0,50.4,15.00947828588512
"[15.13,15.36)",10.0,51.3,53.0,53.55,15.245848022670714
"[15.36,15.60)",7.0,47.42857142857143,51.0,52.7,15.482217759456304
"[15.60,15.84)",15.0,50.666666666666664,51.0,53.0,15.718587496241899
"[15.84,16.07)",5.0,45.8,49.0,51.6,15.954957233027491
"[16.07,16.31)",10.0,47.9,52.0,52.0,16.191326969813083
"[16.31,16.55)",14.0,49.357142857142854,50.5,52.0,16.427696706598674
"[16.55,16.78)",17.0,44.470588235294116,47.0,52.0,16.664066443384264
"[16.78,17.02)",14.0,48.214285714285715,48.5,50.35,16.900436180169862
"[17.02,17.25)",17.0,47.294117647058826,49.0,51.0,17.136805916955453
"[17.25,17.49)",20.0,46.95,48.0,50.0,17.373175653741043
"[17.49,17.73)",26.0,47.46153846153846,48.5,50.0,17.609545390526634
"[17.73,17.96)",23.0,47.608695652173914,48.0,50.0,17.84591512731223
"[17.96,18.20)",35.0,45.65714285714286,47.0,49.0,18.082284864097822
"[18.20,18.44)",37.0,46.513513513513516,48.0,49.0,18.318654600883413
"[18.44,18.67)",62.0,46.016129032258064,48.0,49.0,18.555024337669003
"[18.67,18.91)",57.0,45.64912280701754,47.0,48.0,18.7913940744546
"[18.91,19.15)",68.0,46.26470588235294,47.0,48.0,19.02776381124019
"[19.15,19.38)",86.0,45.395348837209305,46.0,48.0,19.264133548025782
"[19.38,19.62)",61.0,44.85245901639344,45.0,47.0,19.500503284811373
"[19.62,19.86)",92.0,45.09782608695652,45.5,47.0,19.73687302159697
"[19.86,20.09)",88.0,43.97727272727273,44.5,47.0,19.97324275838256
"[20.09,20.33)",89.0,44.02247191011236,44.0,46.0,20.20961249516815
"[20.33,20.56)",147.0,43.42176870748299,44.0,46.0,20.445982231953742
"[20.56,20.80)",153.0,43.64052287581699,44.0,46.0,20.68235196873934
"[20.80,21.04)",197.0,42.6243654822335,44.0,45.0,20.91872170552493
"[21.04,21.27)",198.0,42.67171717171717,44.0,45.0,21.15509144231052
"[21.27,21.51)",224.0,42.92857142857143,44.0,45.0,21.391461179096112
"[21.51,21.75)",306.0,42.27124183006536,43.0,45.0,21.62783091588171
"[21.75,21.98)",303.0,41.92409240924093,43.0,44.0,21.8642006526673
"[21.98,22.22)",382.0,41.96335078534032,42.0,44.0,22.10057038945289
"[22.22,22.46)",401.0,41.47630922693267,42.0,44.0,22.33694012623848
"[22.46,22.69)",399.0,40.80200501253133,41.0,44.0,22.57330986302408
"[22.69,22.93)",380.0,40.13157894736842,40.0,43.0,22.80967959980967
"[22.93,23.16)",457.0,40.04157549234136,40.0,43.0,23.04604933659526
"[23.16,23.40)",493.0,40.0,40.0,43.0,23.28241907338085
"[23.40,23.64)",586.0,39.45221843003413,40.0,42.0,23.51878881016645
"[23.64,23.87)",582.0,39.276632302405496,40.0,42.0,23.75515854695204
"[23.87,24.11)",703.0,39.24039829302987,40.0,42.0,23.99152828373763
"[24.11,24.35)",790.0,38.765822784810126,39.0,42.0,24.22789802052322
"[24.35,24.58)",885.0,38.742372881355934,40.0,42.0,24.464267757308818
"[24.58,24.82)",826.0,38.1138014527845,39.0,41.0,24.70063749409441
"[24.82,25.06)",1024.0,37.9150390625,38.0,41.0,24.93700723088
"[25.06,25.29)",1136.0,37.73151408450704,38.0,41.0,25.17337696766559
"[25.29,25.53)",1313.0,37.530845392231534,38.0,41.0,25.409746704451187
"[25.53,25.76)",1397.0,37.21474588403722,37.0,40.0,25.646116441236778
"[25.76,26.00)",1402.0,37.12767475035663,37.0,40.0,25.88248617802237
"[26.00,26.24)",1561.0,36.817424727738626,37.0,40.0,26.11885591480796
"[26.24,26.47)",1722.0,36.72241579558653,36.0,40.0,26.355225651593557
"[26.47,26.71)",1847.0,36.596643205197616,36.0,40.0,26.591595388379147
"[26.71,26.95)",1586.0,35.222572509457756,36.0,39.0,26.827965125164738
"[26.95,27.18)",1717.0,35.06755969714619,36.0,39.0,27.06433486195033
"[27.18,27.42)",1871.0,35.09834313201497,36.0,39.0,27.300704598735926
"[27.42,27.66)",2186.0,34.930466605672464,36.0,39.0,27.537074335521517
"[27.66,27.89)",2174.0,34.75528978840846,35.0,39.0,27.773444072307107
"[27.89,28.13)",2361.0,34.288437102922494,35.0,38.0,28.009813809092698
"[28.13,28.36)",2461.0,34.206420154408775,35.0,38.0,28.246183545878296
"[28.36,28.60)",2668.0,34.04647676161919,34.0,38.0,28.482553282663886
"[28.60,28.84)",2840.0,33.81760563380282,34.0,38.0,28.718923019449477
"[28.84,29.07)",3076.0,33.69408322496749,34.0,38.0,28.955292756235067
"[29.07,29.31)",3107.0,33.27743804312842,33.0,37.0,29.191662493020665
"[29.31,29.55)",3376.0,33.03258293838863,33.0,37.0,29.428032229806256
"[29.55,29.78)",3492.0,32.868556701030926,32.0,37.0,29.664401966591846
"[29.78,30.02)",3643.0,32.68734559429042,32.0,36.0,29.900771703377437
"[30.02,30.26)",3827.0,32.55369741311733,32.0,36.0,30.137141440163035
"[30.26,30.49)",4082.0,32.333659970602646,32.0,36.0,30.373511176948625
"[30.49,30.73)",4121.0,31.971851492356222,32.0,36.0,30.609880913734216
"[30.73,30.96)",4151.0,31.856661045531197,32.0,36.0,30.846250650519806
"[30.96,31.20)",4432.0,31.666064981949457,32.0,36.0,31.082620387305404
"[31.20,31.44)",4566.0,31.577748576434516,32.0,36.0,31.318990124090995
"[31.44,31.67)",4542.0,31.448480845442536,32.0,36.0,31.555359860876585
"[31.67,31.91)",4613.0,30.963147626273575,32.0,36.0,31.791729597662176
"[31.91,32.15)",4246.0,30.29062647197362,30.0,34.0,32.028099334447774
"[32.15,32.38)",4324.0,30.108464384828864,30.0,34.0,32.264469071233364
"[32.38,32.62)",4563.0,29.99474030243261,30.0,34.0,32.500838808018955
"[32.62,32.86)",4674.0,29.705177578091572,30.0,34.0,32.737208544804545
"[32.86,33.09)",4787.0,29.63609776477961,29.0,34.0,32.97357828159014
"[33.09,33.33)",4812.0,29.403990024937656,29.0,34.0,33.209948018375734
"[33.33,33.56)",4935.0,29.15359675785208,29.0,33.0,33.446317755161324
"[33.56,33.80)",4962.0,28.976219266424827,28.0,33.0,33.682687491946915
"[33.80,34.04)",5138.0,28.851304009342158,28.0,33.0,33.91905722873251
"[34.04,34.27)",5357.0,28.661190965092402,28.0,33.0,34.1554269655181
"[34.27,34.51)",5258.0,28.48212248003043,28.0,33.0,34.391796702303694
