x_bin,count,mean,median,std,p95,x_mid
"[5.20,5.44)",2.0,27.456595061964514,27.456595061964514,13.084756075900573,35.783682838261576,5.318319077675834
"[5.44,5.67)",2.0,56.425745527902635,56.425745527902635,0.0,56.425745527902635,5.554688814461426
"[5.67,5.91)",1.0,85.97650259514116,85.97650259514116,,85.97650259514116,5.791058551247018
"[5.91,6.15)",,,,,,6.027428288032611
"[6.15,6.38)",,,,,,6.263798024818203
"[6.38,6.62)",1.0,46.8604149345168,46.8604149345168,,46.8604149345168,6.500167761603795
"[6.62,6.85)",2.0,52.7313245884162,52.7313245884162,46.94702605356143,82.60822901952952,6.736537498389388
"[6.85,7.09)",2.0,78.57460379802937,78.57460379802937,46.19600278535311,107.97355994794161,6.97290723517498
"[7.09,7.33)",,,,,,7.2092769719605725
"[7.33,7.56)",2.0,18.69710499982013,18.69710499982013,0.0,18.69710499982013,7.445646708746165
"[7.56,7.80)",3.0,100.7737181871142,95.41038416780415,9.291596025674767,109.89349454837033,7.682016445531757
"[7.80,8.04)",1.0,25.207729853341817,25.207729853341817,,25.207729853341817,7.91838618231735
"[8.04,8.27)",,,,,,8.154755919102943
"[8.27,8.51)",6.0,60.481996671614105,58.839758993746486,43.713103522767845,115.76674627589227,8.391125655888533
"[8.51,8.75)",2.0,107.4005761566365,107.4005761566365,42.496612960726765,134.44525503842752,8.627495392674128
"[8.75,8.98)",2.0,34.26234066312782,34.26234066312782,34.41749238095628,56.16549869173729,8.863865129459718
"[8.98,9.22)",2.0,133.8929911877014,133.8929911877014,10.687884309806398,140.69471911250264,9.100234866245312
"[9.22,9.45)",,,,,,9.336604603030903
"[9.45,9.69)",3.0,97.20275401458584,129.81289814715592,63.25318247248348,136.72792325945855,9.572974339816497
"[9.69,9.93)",3.0,49.086743911465696,24.71051747496038,42.22086268483084,90.52632885352472,9.809344076602088
"[9.93,10.16)",3.0,108.35374129674342,114.34285476671587,13.853990156912506,117.81934451639813,10.045713813387682
"[10.16,10.40)",1.0,162.1636652463476,162.1636652463476,,162.1636652463476,10.282083550173272
"[10.40,10.64)",4.0,89.80184509789743,112.67588463333018,54.36655940989366,123.91374833752583,10.518453286958866
"[10.64,10.87)",2.0,87.94388140700181,87.94388140700181,27.728457801874708,105.59016389619738,10.754823023744457
