strength_mean_core,radius_m,core_count,border_count,encounters,core_fraction,radius_p80_m,strength_p95_core,strength_mean_all,strength_p95_all,eps_km,min_samples,method,center_estimator,strength_min,wp_id,lat,lon
4.4,1428.6,6,5,10,0.5,1355.3,8.5,3.7,7.0,1.1,5,dbscan,median,2.0,0,-31.286333910789253,117.34411074459301
5.2,1800.1,6,3,7,0.7,1386.0,8.1,4.6,7.8,1.1,5,dbscan,median,2.0,1,-31.101127442956354,116.80469536521463
5.5,1015.4,2,3,5,0.4,927.4,7.7,3.8,7.0,1.1,5,dbscan,median,2.0,2,-32.97886348093948,117.08049858402583
4.8,1377.3,5,4,9,0.6,1313.8,7.3,4.2,6.8,1.1,5,dbscan,median,2.0,3,-31.401603667114696,116.83932543275142
3.3,3031.1,21,7,26,0.8,2126.3,7.1,3.3,6.5,1.1,5,dbscan,median,2.0,4,-32.45802223135965,117.03317235449737
3.9,2510.7,7,5,12,0.6,1604.5,7.1,3.7,6.4,1.1,5,dbscan,median,2.0,5,-31.64928878329551,117.47946379398148
6.8,1095.6,1,4,5,0.2,947.6,6.8,4.1,6.4,1.1,5,dbscan,median,2.0,6,-32.466629880401236,116.9057320601852
4.0,1314.6,6,1,7,0.9,671.5,6.8,3.8,6.6,1.1,5,dbscan,median,2.0,7,-31.484348827238335,117.1343304000397
3.9,1770.2,10,5,15,0.7,1406.3,6.4,3.7,5.5,1.1,5,dbscan,median,2.0,8,-32.76512945635308,117.17591515154359
6.3,969.5,1,4,5,0.2,779.5,6.3,3.5,5.7,1.1,5,dbscan,median,2.0,9,-31.852628750722417,117.09053553301308
3.8,2557.5,10,5,14,0.7,2009.4,6.2,3.5,5.6,1.1,5,dbscan,median,2.0,10,-31.425344683914265,117.28675723790604
6.0,1008.5,1,4,5,0.2,554.6,6.0,4.2,5.8,1.1,5,dbscan,median,2.0,11,-32.41296362370397,117.69808087852736
3.6,2393.4,16,6,19,0.7,1904.4,6.0,3.5,5.2,1.1,5,dbscan,median,2.0,12,-31.80368804049443,117.5211677143649
3.6,2246.0,11,5,16,0.7,1866.0,6.0,3.7,6.9,1.1,5,dbscan,median,2.0,13,-32.978536011904765,117.10942209703325
4.0,2000.3,8,3,10,0.7,1258.1,5.9,4.1,6.1,1.1,5,dbscan,median,2.0,14,-31.298843334448364,117.00975926436344
4.3,1642.9,6,2,8,0.8,1282.6,5.9,3.9,5.8,1.1,5,dbscan,median,2.0,15,-32.110298133620496,117.51878168069993
3.4,7026.4,242,16,200,0.9,3852.8,5.8,3.4,5.9,1.1,5,dbscan,median,2.0,16,-32.92883487276913,117.08218621553931
3.7,2264.4,10,4,14,0.7,1298.5,5.8,3.8,5.7,1.1,5,dbscan,median,2.0,17,-31.942453208498677,117.40297317319806
3.5,2712.5,16,7,21,0.7,2173.5,5.6,3.4,4.4,1.1,5,dbscan,median,2.0,18,-31.641952143134432,117.09298396624453
4.0,1401.3,6,3,9,0.7,1179.5,5.5,3.7,5.2,1.1,5,dbscan,median,2.0,19,-31.42631507233471,116.86658153875709
3.8,1838.8,4,6,10,0.4,1614.2,5.4,4.0,6.6,1.1,5,dbscan,median,2.0,20,-31.50612368621254,117.05589113037249
3.3,1318.4,7,2,9,0.8,1076.4,5.4,3.3,5.2,1.1,5,dbscan,median,2.0,21,-31.40833318838899,117.20478399452112
3.2,2348.1,17,4,19,0.8,1499.1,5.2,3.2,4.2,1.1,5,dbscan,median,2.0,22,-31.7798919481271,117.1428751999158
5.2,1034.2,1,4,5,0.2,856.8,5.2,3.5,4.9,1.1,5,dbscan,median,2.0,23,-31.76897681285225,117.61398204652632
3.3,11083.2,138,24,132,0.9,6386.3,5.2,3.3,5.1,1.1,5,dbscan,median,2.0,24,-31.218867489417974,117.04126032077482
4.0,811.3,3,2,5,0.6,530.7,5.1,3.7,5.0,1.1,5,dbscan,median,2.0,25,-32.10847631481482,117.19517702436067
3.5,2591.3,15,3,17,0.8,1728.8,5.1,3.5,5.0,1.1,5,dbscan,median,2.0,26,-31.76729766369048,116.98390462962962
3.4,1443.8,5,1,6,0.8,731.4,5.1,3.4,5.0,1.1,5,dbscan,median,2.0,27,-31.933278220435344,117.86410954329968
3.5,4742.9,38,15,53,0.7,3470.1,5.1,3.4,5.0,1.1,5,dbscan,median,2.0,28,-32.06870077735254,117.19914862256176
3.6,1657.8,7,1,8,0.9,884.9,5.1,3.6,5.1,1.1,5,dbscan,median,2.0,29,-32.32202134224934,117.82620679392818
3.6,1556.0,5,2,6,0.7,951.8,5.1,3.9,5.5,1.1,5,dbscan,median,2.0,30,-31.197144507988384,117.57450824790564
5.1,1014.1,1,4,5,0.2,930.3,5.1,3.1,4.6,1.1,5,dbscan,median,2.0,31,-31.64899239095857,117.40158353092122
3.4,1274.1,5,2,7,0.7,1016.4,5.0,3.4,4.9,1.1,5,dbscan,median,2.0,32,-31.489786965977608,116.86803919279932
3.4,1792.8,11,5,16,0.7,1497.2,5.0,3.2,4.5,1.1,5,dbscan,median,2.0,33,-32.906949764591204,117.23282655135569
3.6,4341.2,15,11,26,0.6,2777.9,5.0,3.4,4.9,1.1,5,dbscan,median,2.0,34,-32.04591804988662,117.12782609872768
3.3,3418.0,25,6,29,0.8,2481.0,5.0,3.3,4.8,1.1,5,dbscan,median,2.0,35,-31.35290381944445,116.83607803694036
3.5,2146.6,13,5,18,0.7,1394.5,5.0,3.4,4.9,1.1,5,dbscan,median,2.0,36,-31.64660221340388,117.30465060405643
4.0,1756.5,5,3,8,0.6,1242.2,5.0,3.5,4.9,1.1,5,dbscan,median,2.0,37,-31.32533554138729,117.44864115531207
5.0,1079.7,1,4,5,0.2,775.9,5.0,4.2,6.5,1.1,5,dbscan,median,2.0,38,-31.574477742063493,117.97734417460318
3.4,2118.1,11,5,15,0.7,1755.4,5.0,3.5,5.0,1.1,5,dbscan,median,2.0,39,-31.575523521969178,116.87046829070972
4.1,747.0,5,0,5,1.0,746.8,5.0,4.1,5.0,1.1,5,dbscan,median,2.0,40,-30.96639038026296,117.13732644271414
3.3,2817.5,19,8,27,0.7,2465.7,4.9,3.1,4.2,1.1,5,dbscan,median,2.0,41,-32.01110828373017,117.36862705268052
4.9,683.6,1,2,3,0.3,496.5,4.9,3.6,4.8,1.1,5,dbscan,median,2.0,42,-32.78908585144552,117.17877850503164
3.6,2015.4,8,2,10,0.8,1171.0,4.9,3.6,4.9,1.1,5,dbscan,median,2.0,43,-31.36021214675843,117.021369444507
3.7,930.4,2,5,7,0.3,873.9,4.9,3.3,4.8,1.1,5,dbscan,median,2.0,44,-32.45412304210369,116.99558740891949
3.4,3086.3,21,6,25,0.8,2225.6,4.9,3.4,4.8,1.1,5,dbscan,median,2.0,45,-31.71482122044052,117.01387300747862
3.3,1916.1,11,3,14,0.8,1306.3,4.9,3.4,5.1,1.1,5,dbscan,median,2.0,46,-32.89708153235653,117.3010124537037
3.8,1732.5,9,2,11,0.8,1098.3,4.9,3.5,4.8,1.1,5,dbscan,median,2.0,47,-31.90004471408408,117.38577356575996
4.9,837.9,1,4,5,0.2,713.1,4.9,3.4,4.6,1.1,5,dbscan,median,2.0,48,-32.93264151067964,117.2678725993455
3.6,2203.7,7,4,11,0.6,1314.4,4.9,3.7,5.1,1.1,5,dbscan,median,2.0,49,-32.232377675653595,117.25272517138752
4.9,942.7,1,4,4,0.2,874.5,4.9,3.6,4.7,1.1,5,dbscan,median,2.0,50,-31.62298700637069,116.90683073460748
4.9,963.2,1,2,3,0.3,899.3,4.9,3.6,4.8,1.1,5,dbscan,median,2.0,51,-31.18180342552721,117.08843309727948
4.9,1004.5,1,4,5,0.2,928.1,4.9,4.3,6.9,1.1,5,dbscan,median,2.0,52,-32.62793077123054,117.3441094346135
4.2,1789.6,3,4,7,0.4,1235.8,4.8,3.7,4.7,1.1,5,dbscan,median,2.0,53,-31.432015244708992,117.56249018259038
3.6,1306.6,2,4,6,0.3,948.8,4.8,3.2,4.7,1.1,5,dbscan,median,2.0,54,-31.677087844928817,117.34012763180797
3.2,2615.5,13,6,19,0.7,1738.1,4.8,3.2,4.9,1.1,5,dbscan,median,2.0,55,-31.73186369047619,117.14781139922329
3.2,3128.8,23,9,30,0.7,2678.5,4.8,3.1,4.7,1.1,5,dbscan,median,2.0,56,-32.033685266830986,117.31215470305656
4.1,1725.4,6,5,11,0.5,1287.4,4.8,3.6,4.7,1.1,5,dbscan,median,2.0,57,-31.367294512701108,117.43479066687954
3.0,913.2,5,0,5,1.0,709.7,4.8,3.0,4.8,1.1,5,dbscan,median,2.0,58,-31.61084089682539,117.69004992559525
4.8,1069.2,1,4,5,0.2,953.8,4.8,4.3,5.0,1.1,5,dbscan,median,2.0,59,-32.66016053067707,116.9227659904389
4.8,1000.6,1,4,5,0.2,976.9,4.8,4.1,5.9,1.1,5,dbscan,median,2.0,60,-32.851328643859176,117.11603578886216
3.3,3660.3,27,6,32,0.8,2464.3,4.8,3.3,4.7,1.1,5,dbscan,median,2.0,61,-31.600720723967616,117.88865870039682
3.7,1080.5,4,2,6,0.7,1014.6,4.8,3.4,4.7,1.1,5,dbscan,median,2.0,62,-32.70119620084828,116.88387567141284
3.3,1197.6,5,2,7,0.7,957.9,4.8,3.4,4.7,1.1,5,dbscan,median,2.0,63,-31.760308950617283,117.03883343017684
4.6,988.7,2,3,5,0.4,819.0,4.8,3.9,4.7,1.1,5,dbscan,median,2.0,64,-33.00529543792779,117.06468313266896
3.5,2803.5,6,5,10,0.5,2276.7,4.8,3.5,4.6,1.1,5,dbscan,median,2.0,65,-31.525032736522633,116.99343178786432
3.2,4408.8,21,15,35,0.6,3192.2,4.7,3.3,5.0,1.1,5,dbscan,median,2.0,66,-32.02181280458089,117.40214213800736
3.6,2050.1,5,3,7,0.6,1211.9,4.7,3.3,4.6,1.1,5,dbscan,median,2.0,67,-32.47998839065255,116.89994509034526
4.7,972.0,1,4,5,0.2,930.2,4.7,3.0,4.4,1.1,5,dbscan,median,2.0,68,-31.269812971950984,117.27933042524673
3.4,1079.5,4,2,6,0.7,1031.8,4.7,3.0,4.6,1.1,5,dbscan,median,2.0,69,-32.97301155101236,116.96405330955946
3.6,1537.6,3,4,7,0.4,1031.9,4.7,3.4,4.5,1.1,5,dbscan,median,2.0,70,-31.504049851190477,117.26164391203704
3.7,1421.7,6,4,10,0.6,1250.7,4.7,3.8,5.3,1.1,5,dbscan,median,2.0,71,-31.872078234254488,117.30218884200308
3.4,656.0,5,0,5,1.0,606.9,4.7,3.4,4.7,1.1,5,dbscan,median,2.0,72,-31.530764429012343,117.77328673471848
3.3,1275.3,5,1,6,0.8,540.1,4.7,3.2,4.6,1.1,5,dbscan,median,2.0,73,-32.891173309098306,117.337484375
3.3,2148.3,10,4,14,0.7,1291.3,4.7,3.2,4.5,1.1,5,dbscan,median,2.0,74,-31.814481729527536,117.39146440270378
3.6,1571.2,2,5,7,0.3,1387.1,4.7,3.3,4.4,1.1,5,dbscan,median,2.0,75,-31.418897930480654,117.44825459090805
3.3,2788.1,20,6,24,0.8,1691.9,4.7,3.1,4.6,1.1,5,dbscan,median,2.0,76,-31.316825836341938,117.03717971562027
4.6,1087.1,1,4,5,0.2,1068.2,4.6,3.5,4.5,1.1,5,dbscan,median,2.0,77,-31.32615074891835,116.86519605343872
4.6,936.7,1,4,5,0.2,847.3,4.6,3.3,4.6,1.1,5,dbscan,median,2.0,78,-32.627331792725144,117.20047457121636
3.2,3023.5,19,6,25,0.8,2601.5,4.6,3.1,4.5,1.1,5,dbscan,median,2.0,79,-32.05809883973326,117.08622147389846
3.8,1858.7,6,6,11,0.5,1476.1,4.6,3.5,4.5,1.1,5,dbscan,median,2.0,80,-31.479883440301663,117.18223213549757
4.6,1063.5,1,4,5,0.2,917.1,4.6,3.9,4.5,1.1,5,dbscan,median,2.0,81,-30.96676193348577,116.71163090261189
3.2,5311.7,45,10,51,0.8,4221.4,4.6,3.5,4.9,1.1,5,dbscan,median,2.0,82,-31.897425755660052,117.05917636892303
3.2,1980.8,12,6,18,0.7,1637.1,4.6,3.2,4.3,1.1,5,dbscan,median,2.0,83,-31.71584967165134,117.67901261757385
